source_id,source_class,age,source_measure,survival_probability,source_unit,transformation,included_weight,weight_year
wards_weighted_nhtsa_legacy,Light Truck,6,survival_probability,0.9252684242945557,dimensionless,Latest complete Wards class shares aggregate NHTSA Vans/SUVs and Pickups,1.0,2021
wards_weighted_nhtsa_legacy,Light Truck,7,survival_probability,0.9012115321258611,dimensionless,Latest complete Wards class shares aggregate NHTSA Vans/SUVs and Pickups,1.0,2021
wards_weighted_nhtsa_legacy,Light Truck,8,survival_probability,0.8724102257095654,dimensionless,Latest complete Wards class shares aggregate NHTSA Vans/SUVs and Pickups,1.0,2021
wards_weighted_nhtsa_legacy,Light Truck,9,survival_probability,0.8382888830051738,dimensionless,Latest complete Wards class shares aggregate NHTSA Vans/SUVs and Pickups,1.0,2021
wards_weighted_nhtsa_legacy,Light Truck,10,survival_probability,0.7986343225879391,dimensionless,Latest complete Wards class shares aggregate NHTSA Vans/SUVs and Pickups,1.0,2021
wards_weighted_nhtsa_legacy,Light Truck,11,survival_probability,0.7529262861633399,dimensionless,Latest complete Wards class shares aggregate NHTSA Vans/SUVs and Pickups,1.0,2021
wards_weighted_nhtsa_legacy,Light Truck,12,survival_probability,0.7018765247727956,dimensionless,Latest complete Wards class shares aggregate NHTSA Vans/SUVs and Pickups,1.0,2021
wards_weighted_nhtsa_legacy,Light Truck,13,survival_probability,0.6468294885743746,dimensionless,Latest complete Wards class shares aggregate NHTSA Vans/SUVs and Pickups,1.0,2021
wards_weighted_nhtsa_legacy,Light Truck,14,survival_probability,0.5886888168095077,dimensionless,Latest complete Wards class shares aggregate NHTSA Vans/SUVs and Pickups,1.0,2021
wards_weighted_nhtsa_legacy,Light Truck,15,survival_probability,0.5297345305731074,dimensionless,Latest complete Wards class shares aggregate NHTSA Vans/SUVs and Pickups,1.0,2021
wards_weighted_nhtsa_legacy,Light Truck,16,survival_probability,0.4724324480649412,dimensionless,Latest complete Wards class shares aggregate NHTSA Vans/SUVs and Pickups,1.0,2021
wards_weighted_nhtsa_legacy,Light Truck,17,survival_probability,0.4184913912900913,dimensionless,Latest complete Wards class shares aggregate NHTSA Vans/SUVs and Pickups,1.0,2021
wards_weighted_nhtsa_legacy,Light Truck,18,survival_probability,0.36903825358727144,dimensionless,Latest complete Wards class shares aggregate NHTSA Vans/SUVs and Pickups,1.0,2021
wards_weighted_nhtsa_legacy,Light Truck,19,survival_probability,0.3247643705342457,dimensionless,Latest complete Wards class shares aggregate NHTSA Vans/SUVs and Pickups,1.0,2021
wards_weighted_nhtsa_legacy,Light Truck,20,survival_probability,0.28610874422822846,dimensionless,Latest complete Wards class shares aggregate NHTSA Vans/SUVs and Pickups,1.0,2021
wards_weighted_nhtsa_legacy,Light Truck,21,survival_probability,0.2527180098377816,dimensionless,Latest complete Wards class shares aggregate NHTSA Vans/SUVs and Pickups,1.0,2021
wards_weighted_nhtsa_legacy,Light Truck,22,survival_probability,0.2241949552576416,dimensionless,Latest complete Wards class shares aggregate NHTSA Vans/SUVs and Pickups,1.0,2021
wards_weighted_nhtsa_legacy,Light Truck,23,survival_probability,0.19987963419720545,dimensionless,Latest complete Wards class shares aggregate NHTSA Vans/SUVs and Pickups,1.0,2021
wards_weighted_nhtsa_legacy,Light Truck,24,survival_probability,0.1792766053196742,dimensionless,Latest complete Wards class shares aggregate NHTSA Vans/SUVs and Pickups,1.0,2021
wards_weighted_nhtsa_legacy,Light Truck,25,survival_probability,0.1617953187861591,dimensionless,Latest complete Wards class shares aggregate NHTSA Vans/SUVs and Pickups,1.0,2021
wards_weighted_nhtsa_legacy,Light Truck,26,survival_probability,0.14694501162642948,dimensionless,Latest complete Wards class shares aggregate NHTSA Vans/SUVs and Pickups,1.0,2021
wards_weighted_nhtsa_legacy,Light Truck,27,survival_probability,0.13439247092004414,dimensionless,Latest complete Wards class shares aggregate NHTSA Vans/SUVs and Pickups,1.0,2021
wards_weighted_nhtsa_legacy,Light Truck,28,survival_probability,0.12368310419504039,dimensionless,Latest complete Wards class shares aggregate NHTSA Vans/SUVs and Pickups,1.0,2021
wards_weighted_nhtsa_legacy,Light Truck,29,survival_probability,0.11459807986504253,dimensionless,Latest complete Wards class shares aggregate NHTSA Vans/SUVs and Pickups,1.0,2021
wards_weighted_nhtsa_legacy,Light Truck,30,survival_probability,0.09777809168537996,dimensionless,Latest complete Wards class shares aggregate NHTSA Vans/SUVs and Pickups,1.0,2021
wards_weighted_nhtsa_legacy,Light Truck,31,survival_probability,0.08355186029130403,dimensionless,Latest complete Wards class shares aggregate NHTSA Vans/SUVs and Pickups,1.0,2021
wards_weighted_nhtsa_legacy,Light Truck,32,survival_probability,0.07150138402897593,dimensionless,Latest complete Wards class shares aggregate NHTSA Vans/SUVs and Pickups,1.0,2021
wards_weighted_nhtsa_legacy,Light Truck,33,survival_probability,0.06127849897069544,dimensionless,Latest complete Wards class shares aggregate NHTSA Vans/SUVs and Pickups,1.0,2021
wards_weighted_nhtsa_legacy,Light Truck,34,survival_probability,0.0525928858950357,dimensionless,Latest complete Wards class shares aggregate NHTSA Vans/SUVs and Pickups,1.0,2021
wards_weighted_nhtsa_legacy,Light Truck,35,survival_probability,0.045202177940862495,dimensionless,Latest complete Wards class shares aggregate NHTSA Vans/SUVs and Pickups,1.0,2021
wards_weighted_nhtsa_legacy,Light Truck,36,survival_probability,0.03890379591433383,dimensionless,Latest complete Wards class shares aggregate NHTSA Vans/SUVs and Pickups,1.0,2021
wards_weighted_nhtsa_legacy,Light Truck,37,survival_probability,0.03352820507872185,dimensionless,Latest complete Wards class shares aggregate NHTSA Vans/SUVs and Pickups,1.0,2021
wards_weighted_nhtsa_legacy,Light Truck,38,survival_probability,0.02893334205401955,dimensionless,Latest complete Wards class shares aggregate NHTSA Vans/SUVs and Pickups,1.0,2021
wards_weighted_nhtsa_legacy,Light Truck,39,survival_probability,0.02500000537873169,dimensionless,Latest complete Wards class shares aggregate NHTSA Vans/SUVs and Pickups,1.0,2021
