source_id,source_class,age,source_measure,survival_probability,source_unit,transformation,included_weight,weight_year,nrcan_ceud_class
eia_nems_hd_truck_scrappage,Cls 4-6,5,annual_scrappage_rate,0.9890353136375898,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 4-6,6,annual_scrappage_rate,0.9818680079012527,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 4-6,7,annual_scrappage_rate,0.9719816581313453,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 4-6,8,annual_scrappage_rate,0.9590906596833007,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 4-6,9,annual_scrappage_rate,0.9430690335049277,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 4-6,10,annual_scrappage_rate,0.9239557136299986,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 4-6,11,annual_scrappage_rate,0.9019386690882503,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 4-6,12,annual_scrappage_rate,0.8773246334554627,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 4-6,13,annual_scrappage_rate,0.8505020455802744,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 4-6,14,annual_scrappage_rate,0.8219037815733728,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 4-6,15,annual_scrappage_rate,0.7919742884372363,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 4-6,16,annual_scrappage_rate,0.7611436043543438,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 4-6,17,annual_scrappage_rate,0.7298089727508781,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 4-6,18,annual_scrappage_rate,0.698323535205838,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 4-6,19,annual_scrappage_rate,0.6669909171808598,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 4-6,20,annual_scrappage_rate,0.636064283398463,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 4-6,21,annual_scrappage_rate,0.605748488003476,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 4-6,22,annual_scrappage_rate,0.5762041460934305,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 4-6,23,annual_scrappage_rate,0.5475527109069828,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
