source_id,year,report,raw_file,cached_zip,VEHICLE_CLASS,AGE,VALUE,NATIVE_COUNT,AGE_DIST
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,BUS,22,2000,51,0.0016047323872754162
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,BUS,23,1999,34,0.001069821591516944
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,BUS,24,1998,22,0.0006922375003933168
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,BUS,25,1997,9,0.0002831880683427205
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,BUS,26,1996,6,0.00018879204556181367
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,BUS,27,1995,2,6.293068185393789e-05
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,BUS,28,1994,0,0.0
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,BUS,29,1993,0,0.0
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,BUS,30,1992,0,0.0
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,COMMERCIAL,0,2022,137532,0.08443021026518423
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,COMMERCIAL,1,2021,119084,0.07310507488598435
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,COMMERCIAL,2,2020,108736,0.06675248919084338
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,COMMERCIAL,3,2019,142510,0.08748617968830094
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,COMMERCIAL,4,2018,124810,0.0766202377860981
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,COMMERCIAL,5,2017,118853,0.07296326513573526
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,COMMERCIAL,6,2016,101993,0.06261299505262001
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,COMMERCIAL,7,2015,81733,0.05017548189224546
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,COMMERCIAL,8,2014,72720,0.04464244605244014
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,COMMERCIAL,9,2013,61315,0.037640973318280625
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,COMMERCIAL,10,2012,59785,0.036701713933513944
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,COMMERCIAL,11,2011,69164,0.042459435351636
