source_id,report_year,VEHICLE_CLASS,MAKE,MODEL,MODEL_YEAR,FIT_ACTIVE,FIT_INACTIVE,UNFIT,WRECKED,OUT_OF_PROV,SOLD,SUSPENDED,TEMPORARY,TOTAL,entry_type,mto_make_code,mto_model_code,model_year_from,model_year_to,canonical_make,canonical_model,vehicle_scope,nrcan_vehicle_class,nlr_atb_class,nrcan_ceud_class,match_method,mapping_status,evidence_source,supporting_rating_rows,review_notes,mapping_outcome,mapping_accepted
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1955,93,236,155,9,26,8,0,3,530,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1956,44,194,150,12,11,9,0,2,422,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1956,118,259,186,10,28,5,0,4,610,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1957,13,156,94,12,2,5,0,1,283,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1957,123,226,157,8,33,9,0,7,563,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1958,9,101,65,15,5,5,0,0,200,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1958,103,271,180,10,23,13,0,6,606,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1959,11,164,69,20,2,3,0,0,269,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1959,117,359,238,33,32,9,0,7,795,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1960,11,182,74,26,8,12,0,0,313,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1960,150,453,242,51,44,16,0,8,964,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1961,13,216,94,25,4,5,0,0,357,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1961,131,448,236,67,36,9,0,8,935,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1962,10,269,87,24,11,7,0,2,410,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1962,125,426,225,76,38,8,0,10,908,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1963,14,423,131,60,12,13,0,2,655,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1963,118,435,256,118,40,20,0,11,998,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1964,24,648,146,93,28,22,0,3,964,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1964,141,596,269,179,44,19,0,9,1257,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1965,20,837,151,126,26,28,0,2,1190,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1965,223,828,335,336,56,31,0,11,1820,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1966,26,1138,242,158,28,37,0,3,1632,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1966,203,1047,438,424,69,29,0,7,2217,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1967,28,1639,243,285,39,47,0,2,2283,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1967,217,1252,466,434,101,39,0,18,2527,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1968,17,1764,309,309,37,44,0,4,2484,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1968,187,1675,575,706,75,57,0,7,3282,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1969,17,1259,232,238,42,39,0,1,1828,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1969,215,2246,705,1039,88,70,0,13,4376,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1970,16,1295,231,205,39,57,0,0,1843,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1970,184,1899,639,787,107,67,0,12,3695,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
