report_year,weight_basis,model_year,vintage,nrcan_ceud_class,nrcan_vehicle_class,fit_active_stock,aggregation_weight
2025,five_year_vintage,,2000,Light Truck,Van: Passenger,141,0.005412044678156066
2025,five_year_vintage,,2005,Car,Compact,26083,0.3454335964401123
2025,five_year_vintage,,2005,Car,Full-size,5113,0.06771467923928591
2025,five_year_vintage,,2005,Car,Mid-size,12840,0.17004820681252317
2025,five_year_vintage,,2005,Car,Minicompact,621,0.00822429411453091
2025,five_year_vintage,,2005,Car,Station wagon: Mid-size,2241,0.029678974413307198
2025,five_year_vintage,,2005,Car,Station wagon: Small,4469,0.059185781639031626
2025,five_year_vintage,,2005,Car,Subcompact,17024,0.22545955395454786
2025,five_year_vintage,,2005,Car,Two-seater,7117,0.09425491338666102
2025,five_year_vintage,,2005,Light Truck,Minivan,13378,0.12852092379817853
2025,five_year_vintage,,2005,Light Truck,Pickup truck: Small,695,0.006676785920147562
2025,five_year_vintage,,2005,Light Truck,Pickup truck: Standard,57361,0.5510606002382508
2025,five_year_vintage,,2005,Light Truck,Sport utility vehicle: Small,19572,0.18802597702032817
2025,five_year_vintage,,2005,Light Truck,Sport utility vehicle: Standard,7724,0.07420358913269032
2025,five_year_vintage,,2005,Light Truck,Van: Cargo,3834,0.03683280175229604
2025,five_year_vintage,,2005,Light Truck,Van: Passenger,1528,0.014679322138108596
2025,five_year_vintage,,2010,Car,Compact,77305,0.37930120848441434
2025,five_year_vintage,,2010,Car,Full-size,9818,0.04817255371450721
2025,five_year_vintage,,2010,Car,Mid-size,31048,0.15233870928172946
2025,five_year_vintage,,2010,Car,Minicompact,3288,0.016132751743053547
2025,five_year_vintage,,2010,Car,Station wagon: Mid-size,1766,0.008664975540824987
2025,five_year_vintage,,2010,Car,Station wagon: Small,30471,0.1495076272392289
2025,five_year_vintage,,2010,Car,Subcompact,42583,0.2089358173584091
2025,five_year_vintage,,2010,Car,Two-seater,7530,0.03694635663783248
2025,five_year_vintage,,2010,Light Truck,Minivan,53853,0.13421877063950374
2025,five_year_vintage,,2010,Light Truck,Pickup truck: Small,18497,0.046100395530776384
2025,five_year_vintage,,2010,Light Truck,Pickup truck: Standard,110435,0.2752390755496183
2025,five_year_vintage,,2010,Light Truck,Sport utility vehicle: Small,184821,0.46063260001046774
2025,five_year_vintage,,2010,Light Truck,Sport utility vehicle: Standard,23953,0.05969847943713503
2025,five_year_vintage,,2010,Light Truck,Van: Cargo,4902,0.012217340049298038
2025,five_year_vintage,,2010,Light Truck,Van: Passenger,4772,0.011893338783200784
2025,five_year_vintage,,2015,Car,Compact,206237,0.5409112010428114
2025,five_year_vintage,,2015,Car,Full-size,15182,0.03981881938852855
2025,five_year_vintage,,2015,Car,Mid-size,88989,0.23339724137569273
2025,five_year_vintage,,2015,Car,Minicompact,4586,0.012028000639954678
2025,five_year_vintage,,2015,Car,Station wagon: Mid-size,6405,0.016798810313761386
2025,five_year_vintage,,2015,Car,Station wagon: Small,25347,0.0664792263892131
2025,five_year_vintage,,2015,Car,Subcompact,21794,0.05716054207308597
2025,five_year_vintage,,2015,Car,Two-seater,12737,0.03340615877695219
2025,five_year_vintage,,2015,Light Truck,Minivan,119467,0.12796996427634152
2025,five_year_vintage,,2015,Light Truck,Pickup truck: Small,18711,0.020042739849285795
2025,five_year_vintage,,2015,Light Truck,Pickup truck: Standard,166399,0.1782423103084446
2025,five_year_vintage,,2015,Light Truck,Sport utility vehicle: Small,548385,0.5874158458794607
2025,five_year_vintage,,2015,Light Truck,Sport utility vehicle: Standard,64879,0.06949670881737016
2025,five_year_vintage,,2015,Light Truck,Van: Cargo,5991,0.006417404437874576
2025,five_year_vintage,,2015,Light Truck,Van: Passenger,9723,0.010415026431222585
2025,five_year_vintage,,2020,Car,Compact,112054,0.23322329943512232
