report_year,weight_basis,model_year,vintage,nrcan_ceud_class,nlr_atb_class,fit_active_stock,aggregation_weight
2025,model_year,1987,,Light Truck,Small SUV,13,0.0273109243697479
2025,model_year,1988,,Car,Compact,1648,0.6751331421548545
2025,model_year,1988,,Car,Midsize,793,0.3248668578451454
2025,model_year,1988,,Light Truck,Midsize SUV,42,0.10824742268041238
2025,model_year,1988,,Light Truck,Pickup,329,0.8479381443298969
2025,model_year,1988,,Light Truck,Small SUV,17,0.04381443298969072
2025,model_year,1989,,Car,Compact,1769,0.7728265618173875
2025,model_year,1989,,Car,Midsize,520,0.22717343818261249
2025,model_year,1989,,Light Truck,Midsize SUV,42,0.041666666666666664
2025,model_year,1989,,Light Truck,Pickup,774,0.7678571428571429
2025,model_year,1989,,Light Truck,Small SUV,192,0.19047619047619047
2025,model_year,1990,,Car,Compact,710,0.29608006672226855
2025,model_year,1990,,Car,Midsize,1688,0.7039199332777314
2025,model_year,1990,,Light Truck,Midsize SUV,19,0.02219626168224299
2025,model_year,1990,,Light Truck,Pickup,783,0.9147196261682243
2025,model_year,1990,,Light Truck,Small SUV,54,0.0630841121495327
2025,model_year,1991,,Car,Compact,796,0.6466287571080422
2025,model_year,1991,,Car,Midsize,435,0.35337124289195776
2025,model_year,1991,,Light Truck,Midsize SUV,28,0.03535353535353535
2025,model_year,1991,,Light Truck,Pickup,738,0.9318181818181818
2025,model_year,1991,,Light Truck,Small SUV,26,0.03282828282828283
2025,model_year,1992,,Car,Compact,717,0.668219944082013
2025,model_year,1992,,Car,Midsize,356,0.3317800559179869
2025,model_year,1992,,Light Truck,Midsize SUV,60,0.05842259006815969
2025,model_year,1992,,Light Truck,Pickup,827,0.8052580331061344
2025,model_year,1992,,Light Truck,Small SUV,140,0.13631937682570594
2025,model_year,1993,,Car,Compact,411,0.4762456546929316
2025,model_year,1993,,Car,Midsize,452,0.5237543453070683
2025,model_year,1993,,Light Truck,Midsize SUV,93,0.07548701298701299
2025,model_year,1993,,Light Truck,Pickup,1009,0.8189935064935064
2025,model_year,1993,,Light Truck,Small SUV,130,0.10551948051948051
2025,model_year,1994,,Car,Compact,1054,0.7883320867614061
2025,model_year,1994,,Car,Midsize,283,0.21166791323859388
2025,model_year,1994,,Light Truck,Midsize SUV,113,0.08188405797101449
2025,model_year,1994,,Light Truck,Pickup,1092,0.7913043478260869
2025,model_year,1994,,Light Truck,Small SUV,175,0.12681159420289856
2025,model_year,1995,,Car,Compact,1439,0.8061624649859944
2025,model_year,1995,,Car,Midsize,346,0.1938375350140056
2025,model_year,1995,,Light Truck,Midsize SUV,182,0.0862968231389284
2025,model_year,1995,,Light Truck,Pickup,1629,0.7724039829302988
2025,model_year,1995,,Light Truck,Small SUV,298,0.14129919393077287
2025,model_year,1996,,Car,Compact,1294,0.7415472779369627
2025,model_year,1996,,Car,Midsize,451,0.25845272206303727
2025,model_year,1996,,Light Truck,Midsize SUV,311,0.13428324697754748
2025,model_year,1996,,Light Truck,Pickup,1891,0.8164939550949913
2025,model_year,1996,,Light Truck,Small SUV,114,0.04922279792746114
2025,model_year,1997,,Car,Compact,1775,0.728952772073922
2025,model_year,1997,,Car,Midsize,660,0.27104722792607805
2025,model_year,1997,,Light Truck,Midsize SUV,822,0.21372854914196568
2025,model_year,1997,,Light Truck,Pickup,2667,0.6934477379095164
2025,model_year,1997,,Light Truck,Small SUV,357,0.09282371294851795
2025,model_year,1998,,Car,Compact,2058,0.5910396323951752
2025,model_year,1998,,Car,Midsize,1424,0.4089603676048248
2025,model_year,1998,,Light Truck,Midsize SUV,852,0.16530849825378346
2025,model_year,1998,,Light Truck,Pickup,3832,0.743500194024059
2025,model_year,1998,,Light Truck,Small SUV,470,0.09119130772215754
2025,model_year,1999,,Car,Compact,3195,0.6321725366046695
