,alvw_lbs,application_id,base_year_curbweight_lbs,base_year_footprint_ft2,base_year_powertrain_type,battery_gross_kwh,battery_kwh,battery_mass_lbs,body_style,cert_fuel_id,compliance_id,context_size_class,cost_curve_class,curbweight_lbs,delta_glider_non_structure_mass_lbs,drive_system,dual_rear_wheel,electrification_class,eng_rated_hp,engine_cylinders,engine_displacement_liters,etw_lbs,footprint_ft2,gcwr_lbs,glider_non_structure_cost_dollars,glider_non_structure_mass_lbs,glider_structure_cost_dollars,ground_clearance_in,gvwr_lbs,height_in,in_use_fuel_id,interior_volume_cuft,length_in,long_bed_8ft,manufacturer_id,model_year,msrp_dollars,onroad_charge_depleting_range_mi,passenger_capacity,payload_capacity_lbs,powertrain_mass_lbs,powertrain_type,prior_redesign_year,rated_hp,redesign_interval,reg_class_id,sales,structure_mass_lbs,structure_material,target_coef_a,target_coef_b,target_coef_c,tot_road_load_hp,total_emachine_kw,towing_capacity_lbs,tractive_motor_kw,unibody_structure,usable_battery_capacity_norm,vehicle_name,wheelbase_in,width_in,workfactor
739,5005.0,SLA,4340.0,50.5,ICE,0.0,0.0,0.0,sedan,gasoline,Toyota,Subcompact,ICE_SLA_RWD_GDI_TRX22R_SS0,4340.0,0.0,RWD,0.0,N,471.0,8.0,4.969,4750.0,50.5,10000.0,77459.67494271326,3013.97005,4593.2897072525,5.2,5260.0,53.0,{'pump gasoline':1.0},91.3,187.4,0.0,Toyota,2022,93150.0,0.0,4.0,920.0,482.5999999999999,ICE,2017.0,471.0,5.0,car,286.0,843.4299500000001,steel,43.97151116,0.396611583,0.017714789,14.390541760000001,0.0,0.0,0.0,1.0,1.0,Subcompact:sedan:ICE:1.0:gasoline:car:RWD:0.0:2022:2017.0:5.0:ICE_SLA_RWD_GDI_TRX22R_SS0:steel:SLA:gasoline:Toyota,113.0,75.6,0.0
740,4244.927536231884,SLA,3564.0,47.66552795031056,ICE,0.0,0.0,0.0,sedan,gasoline,Ford,Subcompact,ICE_SLA_RWD_TDS11_TRX10R_SS0,3564.0,0.0,RWD,0.0,N,310.0,4.0,2.3,3894.927536231884,47.66552795031056,10000.0,20582.148093276883,2368.8952230745344,4507.761388596877,7.435116884687866,4594.927536231884,54.7,{'pump gasoline':1.0},93.5,188.9,0.0,Ford,2022,32732.5,0.0,4.0,0.0,386.0,ICE,2017.0,310.0,5.0,car,966.0,809.1047769254658,steel,36.83845755776398,0.26997318857142855,0.019304824099378882,13.152173910828159,0.0,0.0,0.0,1.0,1.0,Subcompact:sedan:ICE:1.0:gasoline:car:RWD:0.0:2022:2017.0:5.0:ICE_SLA_RWD_TDS11_TRX10R_SS0:steel:SLA:gasoline:Ford,107.1,75.4,0.0
741,4850.0,SLA,4200.0,47.6,ICE,0.0,0.0,0.0,sedan,gasoline,Ford,Subcompact,ICE_SLA_RWD_TDS11_TRX12R_SS0,4200.0,0.0,RWD,0.0,N,760.0,8.0,5.2,4500.0,47.6,10000.0,60800.35374827721,2735.68876,4505.7841260531795,7.435116884687866,5200.0,66.018612153234,{'pump gasoline':1.0},0.0,0.0,0.0,Ford,2022,76820.0,0.0,0.0,0.0,656.0,ICE,2017.0,760.0,5.0,car,3494.0,808.3112400000002,steel,36.37,1.0256,0.02071,17.8093589,0.0,0.0,0.0,1.0,1.0,Subcompact:sedan:ICE:1.0:gasoline:car:RWD:0.0:2022:2017.0:5.0:ICE_SLA_RWD_TDS11_TRX12R_SS0:steel:SLA:gasoline:Ford,107.0,0.0,0.0
742,4350.0,SLA,3700.0,47.9,ICE,0.0,0.0,0.0,sedan,gasoline,Ferrari,Subcompact,ICE_SLA_RWD_TDS11_TRX12R_SS1,3700.0,0.0,RWD,0.0,N,612.0,8.0,3.9000000000000004,4000.0,47.9,10000.0,207313.61230532776,2320.85579,4514.836427556558,7.435116884687865,4700.0,66.018612153234,{'pump gasoline':1.0},0.0,0.0,0.0,Ferrari,2022,222620.0,0.0,0.0,0.0,567.2,ICE,2017.0,612.0,5.0,car,631.0,811.9442100000001,steel,30.349,0.729,0.016,14.199999999999998,0.0,0.0,0.0,1.0,1.0,Subcompact:sedan:ICE:1.0:gasoline:car:RWD:0.0:2022:2017.0:5.0:ICE_SLA_RWD_TDS11_TRX12R_SS1:steel:SLA:gasoline:Ferrari,105.09999999999998,0.0,0.0
743,4571.2948151737455,SLA,3815.0,48.06580253723111,ICE,0.0,0.0,0.0,sedan,gasoline,Nissan,Subcompact,ICE_SLA_RWD_TDS11_TRX21R_SS0,3815.0,0.0,RWD,0.0,N,344.73248758963047,6.0,3.0,4237.58963034749,48.06580253723111,10000.0,35359.36632477751,2594.2084453006064,4519.839409413362,7.435116884687865,4905.0,54.5,{'pump gasoline':1.0},93.56666666999999,184.4,0.0,Nissan,2022,50083.33333,0.0,4.0,998.0,406.83949255377826,ICE,2017.0,344.73248758963047,5.0,car,1813.0,813.9520621456151,steel,36.12301709873138,0.4185172090457805,0.015557357970215112,12.761445117363486,0.0,0.0,0.0,1.0,1.0,Subcompact:sedan:ICE:1.0:gasoline:car:RWD:0.0:2022:2017.0:5.0:ICE_SLA_RWD_TDS11_TRX21R_SS0:steel:SLA:gasoline:Nissan,112.2,72.8,0.0
744,4278.974873310811,SLA,3564.0,47.69205025337839,ICE,0.0,0.0,0.0,sedan,gasoline,Ford,Subcompact,ICE_SLA_RWD_TDS11_TRX22R_SS0,3564.0,0.0,RWD,0.0,N,310.0,4.0,2.3,3928.974873310811,47.69205025337839,10000.0,19950.85280033044,2368.574040636613,4508.561681543323,7.435116884687865,4628.974873310811,54.7,{'pump gasoline':1.0},93.5,188.89999999999998,0.0,Ford,2022,32732.5,0.0,4.0,0.0,386.0,ICE,2017.0,310.0,5.0,car,18944.0,809.4259593633869,steel,35.361331292229735,0.18116794763513513,0.0209354835304054,12.641987461012985,0.0,0.0,0.0,1.0,1.0,Subcompact:sedan:ICE:1.0:gasoline:car:RWD:0.0:2022:2017.0:5.0:ICE_SLA_RWD_TDS11_TRX22R_SS0:steel:SLA:gasoline:Ford,107.1,75.4,0.0
745,4565.0,SLA,3934.75,49.5,ICE,0.0,0.0,0.0,sedan,gasoline,BMW,Subcompact,ICE_SLA_RWD_TDS11_TRX10R_SS1,3934.75,0.0,RWD,0.0,N,473.0,6.0,3.0,4250.0,49.5,10000.0,52513.252035282974,2619.6299499999996,4563.1153689079065,4.875,4880.0,54.7,{'pump gasoline':1.0},0.0,188.55,0.0,BMW,2022,66950.0,0.0,4.0,813.3333333,483.8,ICE,2018.0,473.0,5.0,car,418.0,831.32005,steel,51.3,0.207,0.02095,15.2,0.0,0.0,0.0,1.0,1.0,Subcompact:sedan:ICE:1.0:gasoline:car:RWD:0.0:2022:2018.0:5.0:ICE_SLA_RWD_TDS11_TRX10R_SS1:steel:SLA:gasoline:BMW,112.35,73.6,0.0
746,4411.299454149613,SLA,3782.1522285811734,49.01005002386236,ICE,0.0,0.0,0.0,sedan,gasoline,BMW,Subcompact,ICE_SLA_RWD_TDS11_TRX21R_SS1,3782.1522285811734,0.0,RWD,0.0,N,283.0818553888131,4.226466575716235,2.1132332878581175,4093.0536607548884,49.01005002386236,10000.0,37134.638058424716,2586.9163105639145,4548.331452556004,5.133640291336971,4729.545247544338,55.26161891473398,{'pump gasoline':1.0},0.0,188.15095497953618,0.0,BMW,2022,50234.44747612551,0.0,4.295588903751705,882.2055479725784,369.8491132332879,ICE,2018.0,283.0818553888131,5.0,car,6597.0,825.3868047839709,steel,51.38944832504623,-0.16517174933136275,0.019222391737304834,12.181499807160831,0.0,0.0,0.0,1.0,1.0,Subcompact:sedan:ICE:1.0:gasoline:car:RWD:0.0:2022:2018.0:5.0:ICE_SLA_RWD_TDS11_TRX21R_SS1:steel:SLA:gasoline:BMW,112.27610280354708,72.97926330150068,0.0
747,4414.0,SLA,3748.0,46.699999999999996,ICE,0.0,0.0,0.0,sedan,gasoline,Toyota,Subcompact,ICE_SLA_RWD_ATK_TRX21R_SS0,3748.0,0.0,RWD,0.0,N,311.0,6.0,3.4560000000000004,4000.0,46.699999999999996,10000.0,33449.14998918585,2563.98767,4478.6272215430445,5.3,4828.0,54.9,{'pump gasoline':1.0},94.2,185.0,0.0,Toyota,2022,47985.0,0.0,4.0,0.0,386.59999999999997,ICE,2019.0,311.0,5.0,car,1461.0,797.4123300000001,steel,48.493,-0.02485,0.020614,12.895550989999998,0.0,0.0,0.0,1.0,1.0,Subcompact:sedan:ICE:1.0:gasoline:car:RWD:0.0:2022:2019.0:5.0:ICE_SLA_RWD_ATK_TRX21R_SS0:steel:SLA:gasoline:Toyota,107.5,72.4,0.0
748,4410.0,SLA,3737.0,46.7,ICE,0.0,0.0,0.0,sedan,gasoline,Toyota,Subcompact,ICE_SLA_RWD_TDS_TRX21R_SS0,3737.0,0.0,RWD,0.0,N,241.0,4.0,1.9979999999999998,4000.0,46.7,10000.0,32426.03945670247,2594.98767,4478.6272215430445,5.3,4820.0,54.9,{'pump gasoline':1.0},94.2,185.0,0.0,Toyota,2022,45055.0,0.0,4.0,0.0,344.6,ICE,2019.0,241.0,5.0,car,470.0,797.4123300000001,steel,56.28,0.42906,0.018438,12.71489362,0.0,0.0,0.0,1.0,1.0,Subcompact:sedan:ICE:1.0:gasoline:car:RWD:0.0:2022:2019.0:5.0:ICE_SLA_RWD_TDS_TRX21R_SS0:steel:SLA:gasoline:Toyota,107.5,72.4,0.0
