id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,technology
25123,on,2020,legislated,high,low,ref,low,no,high,1.166051981,other
25172,on,2020,legislated,ref,low,low,low,no,high,1.166079848,other
25221,on,2020,legislated,low,low,low,low,no,high,1.166120246,other
25270,on,2020,legislated,high,low,low,low,no,high,1.166051981,other
25319,on,2020,legislated,ref,low,high,low,no,high,1.166079848,other
25368,on,2020,legislated,low,low,high,low,no,high,1.166120246,other
25417,on,2020,legislated,high,ref,high,ref,no,high,1.166044894,other
25466,on,2020,legislated,high,low,high,low,no,high,1.166051981,other
25515,on,2020,legislated,ref,low,ref,low,yes,high,1.166079848,other
25564,on,2020,legislated,low,low,ref,low,yes,high,1.166120246,other
25613,on,2020,legislated,high,low,ref,low,yes,high,1.166051981,other
25662,on,2020,legislated,ref,low,low,low,yes,high,1.166079848,other
25711,on,2020,legislated,low,low,low,low,yes,high,1.166120246,other
25760,on,2020,legislated,high,low,low,low,yes,high,1.166051981,other
25809,on,2020,legislated,ref,low,high,low,yes,high,1.166079848,other
25858,on,2020,legislated,low,low,high,low,yes,high,1.166120246,other
25907,on,2020,legislated,high,low,high,low,yes,high,1.166051981,other
25956,on,2020,legislated,ref,ref,ref,ref,yes,high,1.166074299,other
26005,on,2020,legislated,ref,high,ref,low,no,high,1.166068351,other
26054,on,2020,legislated,low,high,ref,low,no,high,1.166106556,other
26103,on,2020,legislated,high,high,ref,low,no,high,1.166039226,other
26152,on,2020,legislated,ref,high,low,low,no,high,1.166068351,other
26201,on,2020,legislated,low,high,low,low,no,high,1.166106556,other
26250,on,2020,legislated,high,high,low,low,no,high,1.166039226,other
26299,on,2020,legislated,ref,high,high,low,no,high,1.166068351,other
26348,on,2020,legislated,low,high,high,low,no,high,1.166106556,other
26397,on,2020,legislated,high,high,high,low,no,high,1.166039226,other
26446,on,2020,legislated,ref,high,ref,low,yes,high,1.166068351,other
63539,on,2020,netzero,ref,ref,ref,ref,no,high,1.166074299,other
63588,on,2020,netzero,low,ref,ref,ref,no,high,1.166112437,other
63637,on,2020,netzero,low,ref,ref,ref,yes,high,1.166112437,other
