id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,eu_name,technology
21014,on,2020,legislated,ref,ref,ref,low,yes,high,100.0,heavy-duty,ice
21056,on,2020,legislated,low,ref,ref,low,yes,high,100.0,heavy-duty,ice
21098,on,2020,legislated,high,ref,ref,low,yes,high,100.0,heavy-duty,ice
21140,on,2020,legislated,ref,ref,low,low,yes,high,100.0,heavy-duty,ice
21182,on,2020,legislated,low,ref,low,low,yes,high,100.0,heavy-duty,ice
21224,on,2020,legislated,high,ref,low,low,yes,high,100.0,heavy-duty,ice
21266,on,2020,legislated,ref,ref,high,low,yes,high,100.0,heavy-duty,ice
21308,on,2020,legislated,low,ref,high,ref,no,high,100.0,heavy-duty,ice
21350,on,2020,legislated,low,ref,high,low,yes,high,100.0,heavy-duty,ice
21392,on,2020,legislated,high,ref,high,low,yes,high,100.0,heavy-duty,ice
21434,on,2020,legislated,ref,low,ref,low,no,high,100.0,heavy-duty,ice
21476,on,2020,legislated,low,low,ref,low,no,high,100.0,heavy-duty,ice
21518,on,2020,legislated,high,low,ref,low,no,high,100.0,heavy-duty,ice
21560,on,2020,legislated,ref,low,low,low,no,high,100.0,heavy-duty,ice
21602,on,2020,legislated,low,low,low,low,no,high,100.0,heavy-duty,ice
21644,on,2020,legislated,high,low,low,low,no,high,100.0,heavy-duty,ice
21686,on,2020,legislated,ref,low,high,low,no,high,100.0,heavy-duty,ice
21728,on,2020,legislated,low,low,high,low,no,high,100.0,heavy-duty,ice
21770,on,2020,legislated,high,ref,high,ref,no,high,100.0,heavy-duty,ice
21812,on,2020,legislated,high,low,high,low,no,high,100.0,heavy-duty,ice
21854,on,2020,legislated,ref,low,ref,low,yes,high,100.0,heavy-duty,ice
21896,on,2020,legislated,low,low,ref,low,yes,high,100.0,heavy-duty,ice
21938,on,2020,legislated,high,low,ref,low,yes,high,100.0,heavy-duty,ice
21980,on,2020,legislated,ref,low,low,low,yes,high,100.0,heavy-duty,ice
22022,on,2020,legislated,low,low,low,low,yes,high,100.0,heavy-duty,ice
