id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value
520,on,2050,legislated,ref,low,ref,low,yes,high,2.034622387
521,on,2050,legislated,low,low,ref,low,yes,high,2.057234486
522,on,2050,legislated,high,low,ref,low,yes,high,2.011764258
523,on,2050,legislated,ref,low,low,low,yes,high,2.034748835
524,on,2050,legislated,low,low,low,low,yes,high,2.054040695
525,on,2050,legislated,high,low,low,low,yes,high,2.011918451
526,on,2050,legislated,ref,low,high,low,yes,high,2.03472318
527,on,2050,legislated,low,low,high,low,yes,high,2.057844549
528,on,2050,legislated,high,low,high,low,yes,high,2.011541927
529,on,2050,legislated,ref,ref,ref,ref,yes,high,2.014167702
530,on,2050,legislated,ref,high,ref,low,no,high,2.035609046
531,on,2050,legislated,low,high,ref,low,no,high,2.054538957
532,on,2050,legislated,high,high,ref,low,no,high,2.01248416
533,on,2050,legislated,ref,high,low,low,no,high,2.035175021
534,on,2050,legislated,low,high,low,low,no,high,2.054082536
535,on,2050,legislated,high,high,low,low,no,high,2.011926114
536,on,2050,legislated,ref,high,high,low,no,high,2.03580222
537,on,2050,legislated,low,high,high,low,no,high,2.052770961
538,on,2050,legislated,high,high,high,low,no,high,2.012639902
539,on,2050,legislated,ref,high,ref,low,yes,high,2.035609046
1296,on,2050,netzero,ref,ref,ref,ref,no,high,1.590949235
1297,on,2050,netzero,low,ref,ref,ref,no,high,1.683713333
1298,on,2050,netzero,low,ref,ref,ref,yes,high,1.967915509
1299,on,2050,netzero,low,high,ref,low,yes,high,1.953747096
1300,on,2050,netzero,high,high,ref,low,yes,high,1.88248584
1301,on,2050,netzero,ref,high,low,low,yes,high,1.908641817
1302,on,2050,netzero,low,high,low,low,yes,high,1.95198315
1303,on,2050,netzero,high,high,low,low,yes,high,1.881804471
1304,on,2050,netzero,ref,high,high,low,yes,high,1.911236961
1305,on,2050,netzero,low,high,high,low,yes,high,1.953954978
1306,on,2050,netzero,high,high,high,low,yes,high,1.883170788
1307,on,2050,netzero,high,ref,ref,ref,yes,high,1.875217155
1308,on,2050,netzero,ref,ref,low,ref,yes,high,1.912163772
1309,on,2050,netzero,low,ref,low,ref,yes,high,1.964739752
1310,on,2050,netzero,high,ref,low,ref,yes,high,1.876844395
1311,on,2050,netzero,ref,ref,high,ref,yes,high,1.920135316
1312,on,2050,netzero,low,ref,high,ref,yes,high,1.967706021
1313,on,2050,netzero,high,ref,high,ref,yes,high,1.873342013
1314,on,2050,netzero,ref,low,ref,ref,no,high,1.573996554
1315,on,2050,netzero,low,low,ref,ref,no,high,1.698887647
1316,on,2050,netzero,high,ref,ref,ref,no,high,1.427832929
1317,on,2050,netzero,high,low,ref,ref,no,high,1.346289477
1318,on,2050,netzero,ref,low,low,ref,no,high,1.57475951
1319,on,2050,netzero,low,low,low,ref,no,high,1.699101321
1320,on,2050,netzero,high,low,low,ref,no,high,1.437126649
1321,on,2050,netzero,ref,low,high,ref,no,high,1.561571391
1322,on,2050,netzero,low,low,high,ref,no,high,1.694693567
1323,on,2050,netzero,high,low,high,ref,no,high,1.396527583
1324,on,2050,netzero,ref,low,ref,ref,yes,high,1.904407492
1325,on,2050,netzero,low,low,ref,ref,yes,high,1.959815121
1326,on,2050,netzero,high,low,ref,ref,yes,high,1.872116271
1327,on,2050,netzero,ref,ref,low,ref,no,high,1.594731146
1328,on,2050,netzero,ref,low,low,ref,yes,high,1.900642434
