id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,sector
35336,on,2020,legislated,low,ref,low,low,yes,high,502.3881945,residential buildings
35406,on,2020,legislated,high,ref,low,low,yes,high,502.3912777,residential buildings
35476,on,2020,legislated,ref,ref,high,low,yes,high,502.3921117,residential buildings
35546,on,2020,legislated,low,ref,high,ref,no,high,502.3881945,residential buildings
35616,on,2020,legislated,low,ref,high,low,yes,high,502.3881945,residential buildings
35686,on,2020,legislated,high,ref,high,low,yes,high,502.3912777,residential buildings
35756,on,2020,legislated,ref,low,ref,low,no,high,502.3866723,residential buildings
35826,on,2020,legislated,low,low,ref,low,no,high,502.3823037,residential buildings
35896,on,2020,legislated,high,low,ref,low,no,high,502.3852898,residential buildings
35966,on,2020,legislated,ref,low,low,low,no,high,502.3866723,residential buildings
36036,on,2020,legislated,low,low,low,low,no,high,502.3823037,residential buildings
36106,on,2020,legislated,high,low,low,low,no,high,502.3852898,residential buildings
36176,on,2020,legislated,ref,low,high,low,no,high,502.3866723,residential buildings
36246,on,2020,legislated,low,low,high,low,no,high,502.3823037,residential buildings
36316,on,2020,legislated,high,ref,high,ref,no,high,502.3912777,residential buildings
36386,on,2020,legislated,high,low,high,low,no,high,502.3852898,residential buildings
36456,on,2020,legislated,ref,low,ref,low,yes,high,502.3866723,residential buildings
36526,on,2020,legislated,low,low,ref,low,yes,high,502.3823037,residential buildings
36596,on,2020,legislated,high,low,ref,low,yes,high,502.3852898,residential buildings
36666,on,2020,legislated,ref,low,low,low,yes,high,502.3866723,residential buildings
36736,on,2020,legislated,low,low,low,low,yes,high,502.3823037,residential buildings
36806,on,2020,legislated,high,low,low,low,yes,high,502.3852898,residential buildings
36876,on,2020,legislated,ref,low,high,low,yes,high,502.3866723,residential buildings
36946,on,2020,legislated,low,low,high,low,yes,high,502.3823037,residential buildings
37016,on,2020,legislated,high,low,high,low,yes,high,502.3852898,residential buildings
37086,on,2020,legislated,ref,ref,ref,ref,yes,high,502.3921094,residential buildings
37156,on,2020,legislated,ref,high,ref,low,no,high,502.3970931,residential buildings
37226,on,2020,legislated,low,high,ref,low,no,high,502.3930567,residential buildings
37296,on,2020,legislated,high,high,ref,low,no,high,502.3960535,residential buildings
37366,on,2020,legislated,ref,high,low,low,no,high,502.3970931,residential buildings
37436,on,2020,legislated,low,high,low,low,no,high,502.3930567,residential buildings
37506,on,2020,legislated,high,high,low,low,no,high,502.3960535,residential buildings
37576,on,2020,legislated,ref,high,high,low,no,high,502.3970931,residential buildings
37646,on,2020,legislated,low,high,high,low,no,high,502.3930567,residential buildings
37716,on,2020,legislated,high,high,high,low,no,high,502.3960535,residential buildings
37786,on,2020,legislated,ref,high,ref,low,yes,high,502.3970931,residential buildings
90776,on,2020,netzero,ref,ref,ref,ref,no,high,502.3921094,residential buildings
90846,on,2020,netzero,low,ref,ref,ref,no,high,502.3881945,residential buildings
90916,on,2020,netzero,low,ref,ref,ref,yes,high,502.3881945,residential buildings
90986,on,2020,netzero,low,high,ref,low,yes,high,502.3930567,residential buildings
91056,on,2020,netzero,high,high,ref,low,yes,high,502.3960535,residential buildings
91126,on,2020,netzero,ref,high,low,low,yes,high,502.3970931,residential buildings
91196,on,2020,netzero,low,high,low,low,yes,high,502.3930567,residential buildings
91266,on,2020,netzero,high,high,low,low,yes,high,502.3960535,residential buildings
91336,on,2020,netzero,ref,high,high,low,yes,high,502.3970931,residential buildings
91406,on,2020,netzero,low,high,high,low,yes,high,502.3930567,residential buildings
91476,on,2020,netzero,high,high,high,low,yes,high,502.3960535,residential buildings
91546,on,2020,netzero,high,ref,ref,ref,yes,high,502.3912777,residential buildings
91616,on,2020,netzero,ref,ref,low,ref,yes,high,502.3921117,residential buildings
91686,on,2020,netzero,low,ref,low,ref,yes,high,502.3881945,residential buildings
91756,on,2020,netzero,high,ref,low,ref,yes,high,502.3912777,residential buildings
91826,on,2020,netzero,ref,ref,high,ref,yes,high,502.3921117,residential buildings
91896,on,2020,netzero,low,ref,high,ref,yes,high,502.3881945,residential buildings
91966,on,2020,netzero,high,ref,high,ref,yes,high,502.3912777,residential buildings
92036,on,2020,netzero,ref,low,ref,ref,no,high,502.3866723,residential buildings
92106,on,2020,netzero,low,low,ref,ref,no,high,502.3823037,residential buildings
92176,on,2020,netzero,high,ref,ref,ref,no,high,502.391281,residential buildings
92246,on,2020,netzero,high,low,ref,ref,no,high,502.3852898,residential buildings
92316,on,2020,netzero,ref,low,low,ref,no,high,502.3866723,residential buildings
92386,on,2020,netzero,low,low,low,ref,no,high,502.3823037,residential buildings
92456,on,2020,netzero,high,low,low,ref,no,high,502.3852898,residential buildings
92526,on,2020,netzero,ref,low,high,ref,no,high,502.3866723,residential buildings
92596,on,2020,netzero,low,low,high,ref,no,high,502.3823037,residential buildings
92666,on,2020,netzero,high,low,high,ref,no,high,502.3852898,residential buildings
92736,on,2020,netzero,ref,low,ref,ref,yes,high,502.3866723,residential buildings
92806,on,2020,netzero,low,low,ref,ref,yes,high,502.3823037,residential buildings
92876,on,2020,netzero,high,low,ref,ref,yes,high,502.3852898,residential buildings
92946,on,2020,netzero,ref,ref,low,ref,no,high,502.3921117,residential buildings
93016,on,2020,netzero,ref,low,low,ref,yes,high,502.3866723,residential buildings
93086,on,2020,netzero,low,low,low,ref,yes,high,502.3823037,residential buildings
93156,on,2020,netzero,high,low,low,ref,yes,high,502.3852898,residential buildings
93226,on,2020,netzero,ref,low,high,ref,yes,high,502.3866723,residential buildings
93296,on,2020,netzero,low,low,high,ref,yes,high,502.3823037,residential buildings
93366,on,2020,netzero,high,low,high,ref,yes,high,502.3852898,residential buildings
93436,on,2020,netzero,ref,high,ref,ref,no,high,502.3970931,residential buildings
93506,on,2020,netzero,low,high,ref,ref,no,high,502.3930567,residential buildings
93576,on,2020,netzero,high,high,ref,ref,no,high,502.3960535,residential buildings
93646,on,2020,netzero,ref,high,low,ref,no,high,502.3970931,residential buildings
93716,on,2020,netzero,low,ref,low,ref,no,high,502.3881945,residential buildings
93786,on,2020,netzero,low,high,low,ref,no,high,502.3930567,residential buildings
93856,on,2020,netzero,high,high,low,ref,no,high,502.3960535,residential buildings
93926,on,2020,netzero,ref,high,high,ref,no,high,502.3970931,residential buildings
93996,on,2020,netzero,low,high,high,ref,no,high,502.3930567,residential buildings
94066,on,2020,netzero,high,high,high,ref,no,high,502.3960535,residential buildings
94136,on,2020,netzero,ref,high,ref,ref,yes,high,502.3970931,residential buildings
94206,on,2020,netzero,low,high,ref,ref,yes,high,502.3930567,residential buildings
94276,on,2020,netzero,high,high,ref,ref,yes,high,502.3960535,residential buildings
94346,on,2020,netzero,ref,high,low,ref,yes,high,502.3970931,residential buildings
94416,on,2020,netzero,low,high,low,ref,yes,high,502.3930567,residential buildings
94486,on,2020,netzero,high,ref,low,ref,no,high,502.3912777,residential buildings
94556,on,2020,netzero,high,high,low,ref,yes,high,502.3960535,residential buildings
94626,on,2020,netzero,ref,high,high,ref,yes,high,502.3970931,residential buildings
94696,on,2020,netzero,low,high,high,ref,yes,high,502.3930567,residential buildings
94766,on,2020,netzero,high,high,high,ref,yes,high,502.3960535,residential buildings
94836,on,2020,netzero,ref,ref,ref,low,no,high,502.3921117,residential buildings
94906,on,2020,netzero,low,ref,ref,low,no,high,502.3881945,residential buildings
94976,on,2020,netzero,high,ref,ref,low,no,high,502.3912777,residential buildings
95046,on,2020,netzero,ref,ref,low,low,no,high,502.3921117,residential buildings
95116,on,2020,netzero,low,ref,low,low,no,high,502.3881945,residential buildings
95186,on,2020,netzero,high,ref,low,low,no,high,502.3912777,residential buildings
95256,on,2020,netzero,ref,ref,high,ref,no,high,502.3921117,residential buildings
95326,on,2020,netzero,ref,ref,high,low,no,high,502.3921117,residential buildings
95396,on,2020,netzero,low,ref,high,low,no,high,502.3881945,residential buildings
95466,on,2020,netzero,high,ref,high,low,no,high,502.3912777,residential buildings
95536,on,2020,netzero,ref,ref,ref,low,yes,high,502.3921117,residential buildings
95606,on,2020,netzero,low,ref,ref,low,yes,high,502.3881945,residential buildings
95676,on,2020,netzero,high,ref,ref,low,yes,high,502.3912777,residential buildings
95746,on,2020,netzero,ref,ref,low,low,yes,high,502.3921117,residential buildings
95816,on,2020,netzero,low,ref,low,low,yes,high,502.3881945,residential buildings
95886,on,2020,netzero,high,ref,low,low,yes,high,502.3912777,residential buildings
95956,on,2020,netzero,ref,ref,high,low,yes,high,502.3921117,residential buildings
96026,on,2020,netzero,low,ref,high,ref,no,high,502.3881945,residential buildings
96096,on,2020,netzero,low,ref,high,low,yes,high,502.3881945,residential buildings
96166,on,2020,netzero,high,ref,high,low,yes,high,502.3912777,residential buildings
96236,on,2020,netzero,ref,low,ref,low,no,high,502.3866723,residential buildings
96306,on,2020,netzero,low,low,ref,low,no,high,502.3823037,residential buildings
96376,on,2020,netzero,high,low,ref,low,no,high,502.3852898,residential buildings
96446,on,2020,netzero,ref,low,low,low,no,high,502.3866723,residential buildings
96516,on,2020,netzero,low,low,low,low,no,high,502.3823037,residential buildings
96586,on,2020,netzero,high,low,low,low,no,high,502.3852898,residential buildings
96656,on,2020,netzero,ref,low,high,low,no,high,502.3866723,residential buildings
96726,on,2020,netzero,low,low,high,low,no,high,502.3823037,residential buildings
96796,on,2020,netzero,high,ref,high,ref,no,high,502.3912777,residential buildings
96866,on,2020,netzero,high,low,high,low,no,high,502.3852898,residential buildings
96936,on,2020,netzero,ref,low,ref,low,yes,high,502.3866723,residential buildings
97006,on,2020,netzero,low,low,ref,low,yes,high,502.3823037,residential buildings
97076,on,2020,netzero,high,low,ref,low,yes,high,502.3852898,residential buildings
97146,on,2020,netzero,ref,low,low,low,yes,high,502.3866723,residential buildings
97216,on,2020,netzero,low,low,low,low,yes,high,502.3823037,residential buildings
97286,on,2020,netzero,high,low,low,low,yes,high,502.3852898,residential buildings
97356,on,2020,netzero,ref,low,high,low,yes,high,502.3866723,residential buildings
97426,on,2020,netzero,low,low,high,low,yes,high,502.3823037,residential buildings
97496,on,2020,netzero,high,low,high,low,yes,high,502.3852898,residential buildings
97566,on,2020,netzero,ref,ref,ref,ref,yes,high,502.3921117,residential buildings
97636,on,2020,netzero,ref,high,ref,low,no,high,502.3970931,residential buildings
97706,on,2020,netzero,low,high,ref,low,no,high,502.3930567,residential buildings
97776,on,2020,netzero,high,high,ref,low,no,high,502.3960535,residential buildings
97846,on,2020,netzero,ref,high,low,low,no,high,502.3970931,residential buildings
97916,on,2020,netzero,low,high,low,low,no,high,502.3930567,residential buildings
97986,on,2020,netzero,high,high,low,low,no,high,502.3960535,residential buildings
98056,on,2020,netzero,ref,high,high,low,no,high,502.3970931,residential buildings
98126,on,2020,netzero,low,high,high,low,no,high,502.3930567,residential buildings
98196,on,2020,netzero,high,high,high,low,no,high,502.3960535,residential buildings
98266,on,2020,netzero,ref,high,ref,low,yes,high,502.3970931,residential buildings
151256,on,2020,netzero,ref,ref,ref,ref,no,low,502.3921094,residential buildings
151326,on,2020,netzero,low,ref,ref,ref,no,low,502.3881945,residential buildings
151396,on,2020,netzero,low,ref,ref,ref,yes,low,502.3881945,residential buildings
151466,on,2020,netzero,low,high,ref,low,yes,low,502.3930567,residential buildings
151536,on,2020,netzero,high,high,ref,low,yes,low,502.3960535,residential buildings
151606,on,2020,netzero,ref,high,low,low,yes,low,502.3970931,residential buildings
151676,on,2020,netzero,low,high,low,low,yes,low,502.3930567,residential buildings
151746,on,2020,netzero,high,high,low,low,yes,low,502.3960535,residential buildings
151816,on,2020,netzero,ref,high,high,low,yes,low,502.3970931,residential buildings
151886,on,2020,netzero,low,high,high,low,yes,low,502.3930567,residential buildings
151956,on,2020,netzero,high,high,high,low,yes,low,502.3960535,residential buildings
152026,on,2020,netzero,high,ref,ref,ref,yes,low,502.3912777,residential buildings
152096,on,2020,netzero,ref,ref,low,ref,yes,low,502.3921117,residential buildings
152166,on,2020,netzero,low,ref,low,ref,yes,low,502.3881945,residential buildings
152236,on,2020,netzero,high,ref,low,ref,yes,low,502.3912777,residential buildings
152306,on,2020,netzero,ref,ref,high,ref,yes,low,502.3921117,residential buildings
152376,on,2020,netzero,low,ref,high,ref,yes,low,502.3881945,residential buildings
152446,on,2020,netzero,high,ref,high,ref,yes,low,502.3912777,residential buildings
152516,on,2020,netzero,ref,low,ref,ref,no,low,502.3866723,residential buildings
152586,on,2020,netzero,low,low,ref,ref,no,low,502.3823037,residential buildings
152656,on,2020,netzero,high,ref,ref,ref,no,low,502.3912777,residential buildings
152726,on,2020,netzero,high,low,ref,ref,no,low,502.3852898,residential buildings
152796,on,2020,netzero,ref,low,low,ref,no,low,502.3866723,residential buildings
152866,on,2020,netzero,low,low,low,ref,no,low,502.3823037,residential buildings
152936,on,2020,netzero,high,low,low,ref,no,low,502.3852898,residential buildings
153006,on,2020,netzero,ref,low,high,ref,no,low,502.3866723,residential buildings
153076,on,2020,netzero,low,low,high,ref,no,low,502.3823037,residential buildings
153146,on,2020,netzero,high,low,high,ref,no,low,502.3852898,residential buildings
153216,on,2020,netzero,ref,low,ref,ref,yes,low,502.3866723,residential buildings
153286,on,2020,netzero,low,low,ref,ref,yes,low,502.3823037,residential buildings
153356,on,2020,netzero,high,low,ref,ref,yes,low,502.3852898,residential buildings
153426,on,2020,netzero,ref,ref,low,ref,no,low,502.3921117,residential buildings
153496,on,2020,netzero,ref,low,low,ref,yes,low,502.3866723,residential buildings
153566,on,2020,netzero,low,low,low,ref,yes,low,502.3823037,residential buildings
153636,on,2020,netzero,high,low,low,ref,yes,low,502.3852898,residential buildings
153706,on,2020,netzero,ref,low,high,ref,yes,low,502.3866723,residential buildings
153776,on,2020,netzero,low,low,high,ref,yes,low,502.3823037,residential buildings
153846,on,2020,netzero,high,low,high,ref,yes,low,502.3852898,residential buildings
153916,on,2020,netzero,ref,high,ref,ref,no,low,502.3970931,residential buildings
153986,on,2020,netzero,low,high,ref,ref,no,low,502.3930567,residential buildings
154056,on,2020,netzero,high,high,ref,ref,no,low,502.3960535,residential buildings
154126,on,2020,netzero,ref,high,low,ref,no,low,502.3970931,residential buildings
154196,on,2020,netzero,low,ref,low,ref,no,low,502.3881945,residential buildings
154266,on,2020,netzero,low,high,low,ref,no,low,502.3930567,residential buildings
154336,on,2020,netzero,high,high,low,ref,no,low,502.3952499,residential buildings
