id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,fuel_name
32025,on,2020,legislated,low,ref,high,low,yes,high,516.6951154,electricity
32088,on,2020,legislated,high,ref,high,low,yes,high,516.5531385,electricity
32151,on,2020,legislated,ref,low,ref,low,no,high,516.6120327,electricity
32214,on,2020,legislated,low,low,ref,low,no,high,516.6893103,electricity
32277,on,2020,legislated,high,low,ref,low,no,high,516.551999,electricity
32340,on,2020,legislated,ref,low,low,low,no,high,516.6120327,electricity
32403,on,2020,legislated,low,low,low,low,no,high,516.6893103,electricity
32466,on,2020,legislated,high,low,low,low,no,high,516.551999,electricity
32529,on,2020,legislated,ref,low,high,low,no,high,516.6120327,electricity
32592,on,2020,legislated,low,low,high,low,no,high,516.6893103,electricity
32655,on,2020,legislated,high,ref,high,ref,no,high,516.5531385,electricity
32718,on,2020,legislated,high,low,high,low,no,high,516.551999,electricity
32781,on,2020,legislated,ref,low,ref,low,yes,high,516.6120327,electricity
32844,on,2020,legislated,low,low,ref,low,yes,high,516.6893103,electricity
32907,on,2020,legislated,high,low,ref,low,yes,high,516.551999,electricity
32970,on,2020,legislated,ref,low,low,low,yes,high,516.6120327,electricity
33033,on,2020,legislated,low,low,low,low,yes,high,516.6893103,electricity
33096,on,2020,legislated,high,low,low,low,yes,high,516.551999,electricity
33159,on,2020,legislated,ref,low,high,low,yes,high,516.6120327,electricity
33222,on,2020,legislated,low,low,high,low,yes,high,516.6893103,electricity
33285,on,2020,legislated,high,low,high,low,yes,high,516.551999,electricity
33348,on,2020,legislated,ref,ref,ref,ref,yes,high,516.6082088,electricity
33411,on,2020,legislated,ref,high,ref,low,no,high,516.6050993,electricity
33474,on,2020,legislated,low,high,ref,low,no,high,516.6922652,electricity
33537,on,2020,legislated,high,high,ref,low,no,high,516.5500893,electricity
33600,on,2020,legislated,ref,high,low,low,no,high,516.6050993,electricity
33663,on,2020,legislated,low,high,low,low,no,high,516.6922652,electricity
33726,on,2020,legislated,high,high,low,low,no,high,516.5500893,electricity
33789,on,2020,legislated,ref,high,high,low,no,high,516.6050993,electricity
33852,on,2020,legislated,low,high,high,low,no,high,516.6922652,electricity
