id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,fuel_type,fuel_phase
14084,on,2020,legislated,ref,ref,low,low,yes,high,0.0,biofuel,gas
14112,on,2020,legislated,low,ref,low,low,yes,high,0.0,biofuel,gas
14140,on,2020,legislated,high,ref,low,low,yes,high,0.0,biofuel,gas
14168,on,2020,legislated,ref,ref,high,low,yes,high,0.0,biofuel,gas
14196,on,2020,legislated,low,ref,high,ref,no,high,0.0,biofuel,gas
14224,on,2020,legislated,low,ref,high,low,yes,high,0.0,biofuel,gas
14252,on,2020,legislated,high,ref,high,low,yes,high,0.0,biofuel,gas
14280,on,2020,legislated,ref,low,ref,low,no,high,0.0,biofuel,gas
14308,on,2020,legislated,low,low,ref,low,no,high,0.0,biofuel,gas
14336,on,2020,legislated,high,low,ref,low,no,high,0.0,biofuel,gas
14364,on,2020,legislated,ref,low,low,low,no,high,0.0,biofuel,gas
14392,on,2020,legislated,low,low,low,low,no,high,0.0,biofuel,gas
14420,on,2020,legislated,high,low,low,low,no,high,0.0,biofuel,gas
14448,on,2020,legislated,ref,low,high,low,no,high,0.0,biofuel,gas
14476,on,2020,legislated,low,low,high,low,no,high,0.0,biofuel,gas
14504,on,2020,legislated,high,ref,high,ref,no,high,0.0,biofuel,gas
14532,on,2020,legislated,high,low,high,low,no,high,0.0,biofuel,gas
14560,on,2020,legislated,ref,low,ref,low,yes,high,0.0,biofuel,gas
14588,on,2020,legislated,low,low,ref,low,yes,high,0.0,biofuel,gas
14616,on,2020,legislated,high,low,ref,low,yes,high,0.0,biofuel,gas
14644,on,2020,legislated,ref,low,low,low,yes,high,0.0,biofuel,gas
14672,on,2020,legislated,low,low,low,low,yes,high,0.0,biofuel,gas
14700,on,2020,legislated,high,low,low,low,yes,high,0.0,biofuel,gas
14728,on,2020,legislated,ref,low,high,low,yes,high,0.0,biofuel,gas
14756,on,2020,legislated,low,low,high,low,yes,high,0.0,biofuel,gas
14784,on,2020,legislated,high,low,high,low,yes,high,0.0,biofuel,gas
14812,on,2020,legislated,ref,ref,ref,ref,yes,high,0.0,biofuel,gas
14840,on,2020,legislated,ref,high,ref,low,no,high,0.0,biofuel,gas
14868,on,2020,legislated,low,high,ref,low,no,high,0.0,biofuel,gas
14896,on,2020,legislated,high,high,ref,low,no,high,0.0,biofuel,gas
14924,on,2020,legislated,ref,high,low,low,no,high,0.0,biofuel,gas
14952,on,2020,legislated,low,high,low,low,no,high,0.0,biofuel,gas
14980,on,2020,legislated,high,high,low,low,no,high,0.0,biofuel,gas
15008,on,2020,legislated,ref,high,high,low,no,high,0.0,biofuel,gas
