id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value
3626,on,2020,legislated,high,ref,high,ref,no,high,54.39902951
3633,on,2020,legislated,high,low,high,low,no,high,54.40059557
3640,on,2020,legislated,ref,low,ref,low,yes,high,54.44323956
3647,on,2020,legislated,low,low,ref,low,yes,high,54.49895627
3654,on,2020,legislated,high,low,ref,low,yes,high,54.40059557
3661,on,2020,legislated,ref,low,low,low,yes,high,54.44323956
3668,on,2020,legislated,low,low,low,low,yes,high,54.49895627
3675,on,2020,legislated,high,low,low,low,yes,high,54.40059557
3682,on,2020,legislated,ref,low,high,low,yes,high,54.44323956
3689,on,2020,legislated,low,low,high,low,yes,high,54.49895627
3696,on,2020,legislated,high,low,high,low,yes,high,54.40059557
3703,on,2020,legislated,ref,ref,ref,ref,yes,high,54.45032788
3710,on,2020,legislated,ref,high,ref,low,no,high,54.44908654
3717,on,2020,legislated,low,high,ref,low,no,high,54.48749623
3724,on,2020,legislated,high,high,ref,low,no,high,54.39779122
3731,on,2020,legislated,ref,high,low,low,no,high,54.44908654
3738,on,2020,legislated,low,high,low,low,no,high,54.48749623
3745,on,2020,legislated,high,high,low,low,no,high,54.39779122
3752,on,2020,legislated,ref,high,high,low,no,high,54.44908654
3759,on,2020,legislated,low,high,high,low,no,high,54.48749623
3766,on,2020,legislated,high,high,high,low,no,high,54.39779122
3773,on,2020,legislated,ref,high,ref,low,yes,high,54.44908654
9072,on,2020,netzero,ref,ref,ref,ref,no,high,54.45032788
9079,on,2020,netzero,low,ref,ref,ref,no,high,54.48881251
9086,on,2020,netzero,low,ref,ref,ref,yes,high,54.48881251
9093,on,2020,netzero,low,high,ref,low,yes,high,54.48749623
9100,on,2020,netzero,high,high,ref,low,yes,high,54.39779122
9107,on,2020,netzero,ref,high,low,low,yes,high,54.44908654
9114,on,2020,netzero,low,high,low,low,yes,high,54.48749623
9121,on,2020,netzero,high,high,low,low,yes,high,54.39779122
9128,on,2020,netzero,ref,high,high,low,yes,high,54.44908654
9135,on,2020,netzero,low,high,high,low,yes,high,54.48749623
9142,on,2020,netzero,high,high,high,low,yes,high,54.39779122
9149,on,2020,netzero,high,ref,ref,ref,yes,high,54.39902951
9156,on,2020,netzero,ref,ref,low,ref,yes,high,54.450238
9163,on,2020,netzero,low,ref,low,ref,yes,high,54.48881251
9170,on,2020,netzero,high,ref,low,ref,yes,high,54.39902951
9177,on,2020,netzero,ref,ref,high,ref,yes,high,54.450238
9184,on,2020,netzero,low,ref,high,ref,yes,high,54.48881251
9191,on,2020,netzero,high,ref,high,ref,yes,high,54.39902951
9198,on,2020,netzero,ref,low,ref,ref,no,high,54.44323956
9205,on,2020,netzero,low,low,ref,ref,no,high,54.49895627
9212,on,2020,netzero,high,ref,ref,ref,no,high,54.3990426
9219,on,2020,netzero,high,low,ref,ref,no,high,54.40059557
9226,on,2020,netzero,ref,low,low,ref,no,high,54.44323956
9233,on,2020,netzero,low,low,low,ref,no,high,54.49895627
9240,on,2020,netzero,high,low,low,ref,no,high,54.40059557
9247,on,2020,netzero,ref,low,high,ref,no,high,54.44323956
9254,on,2020,netzero,low,low,high,ref,no,high,54.49895627
9261,on,2020,netzero,high,low,high,ref,no,high,54.40059557
9268,on,2020,netzero,ref,low,ref,ref,yes,high,54.44323956
9275,on,2020,netzero,low,low,ref,ref,yes,high,54.49895627
9282,on,2020,netzero,high,low,ref,ref,yes,high,54.40059557
9289,on,2020,netzero,ref,ref,low,ref,no,high,54.450238
9296,on,2020,netzero,ref,low,low,ref,yes,high,54.44323956
9303,on,2020,netzero,low,low,low,ref,yes,high,54.49895627
9310,on,2020,netzero,high,low,low,ref,yes,high,54.40059557
9317,on,2020,netzero,ref,low,high,ref,yes,high,54.44323956
9324,on,2020,netzero,low,low,high,ref,yes,high,54.49895627
