id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,sector
14301,on,2020,legislated,ref,low,ref,low,no,high,275.3278313,transport
14329,on,2020,legislated,low,low,ref,low,no,high,272.6058291,transport
14357,on,2020,legislated,high,low,ref,low,no,high,278.5587926,transport
14385,on,2020,legislated,ref,low,low,low,no,high,275.3278313,transport
14413,on,2020,legislated,low,low,low,low,no,high,272.6058291,transport
14441,on,2020,legislated,high,low,low,low,no,high,278.5587926,transport
14469,on,2020,legislated,ref,low,high,low,no,high,275.3278313,transport
14497,on,2020,legislated,low,low,high,low,no,high,272.6058291,transport
14525,on,2020,legislated,high,ref,high,ref,no,high,278.6242049,transport
14553,on,2020,legislated,high,low,high,low,no,high,278.5587926,transport
14581,on,2020,legislated,ref,low,ref,low,yes,high,275.3278313,transport
14609,on,2020,legislated,low,low,ref,low,yes,high,272.6058291,transport
14637,on,2020,legislated,high,low,ref,low,yes,high,278.5587926,transport
14665,on,2020,legislated,ref,low,low,low,yes,high,275.3278313,transport
14693,on,2020,legislated,low,low,low,low,yes,high,272.6058291,transport
14721,on,2020,legislated,high,low,low,low,yes,high,278.5587926,transport
14749,on,2020,legislated,ref,low,high,low,yes,high,275.3278313,transport
14777,on,2020,legislated,low,low,high,low,yes,high,272.6058291,transport
14805,on,2020,legislated,high,low,high,low,yes,high,278.5587926,transport
14833,on,2020,legislated,ref,ref,ref,ref,yes,high,275.3614225,transport
14861,on,2020,legislated,ref,high,ref,low,no,high,275.4075388,transport
14889,on,2020,legislated,low,high,ref,low,no,high,272.7386028,transport
14917,on,2020,legislated,high,high,ref,low,no,high,278.6828858,transport
14945,on,2020,legislated,ref,high,low,low,no,high,275.4075388,transport
14973,on,2020,legislated,low,high,low,low,no,high,272.7386028,transport
15001,on,2020,legislated,high,high,low,low,no,high,278.6828858,transport
15029,on,2020,legislated,ref,high,high,low,no,high,275.4075388,transport
15057,on,2020,legislated,low,high,high,low,no,high,272.7386028,transport
15085,on,2020,legislated,high,high,high,low,no,high,278.6828858,transport
15113,on,2020,legislated,ref,high,ref,low,yes,high,275.4075388,transport
36309,on,2020,netzero,ref,ref,ref,ref,no,high,275.3614225,transport
36337,on,2020,netzero,low,ref,ref,ref,no,high,272.679399,transport
36365,on,2020,netzero,low,ref,ref,ref,yes,high,272.679399,transport
36393,on,2020,netzero,low,high,ref,low,yes,high,272.7386028,transport
36421,on,2020,netzero,high,high,ref,low,yes,high,278.6828858,transport
36449,on,2020,netzero,ref,high,low,low,yes,high,275.4075388,transport
36477,on,2020,netzero,low,high,low,low,yes,high,272.7386028,transport
36505,on,2020,netzero,high,high,low,low,yes,high,278.6828858,transport
