source_id,source_class,age,source_measure,survival_probability,source_unit,transformation,nrcan_ceud_class
nlr_atb_source_anchor,Midsize,3,survival_probability,0.9738923005478504,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,4,survival_probability,0.9591923893028744,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,5,survival_probability,0.9407079455013112,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,6,survival_probability,0.9168887987280316,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,7,survival_probability,0.8869960122301214,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,8,survival_probability,0.850496388626437,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,9,survival_probability,0.8067482998740281,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,10,survival_probability,0.755276043410783,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,11,survival_probability,0.6957236714976064,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,12,survival_probability,0.6297536729244139,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,13,survival_probability,0.5602610958657724,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,14,survival_probability,0.4894735422997605,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,15,survival_probability,0.4210374678539818,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,16,survival_probability,0.3583181319489291,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,17,survival_probability,0.3031998680258771,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,18,survival_probability,0.2561965619986988,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
