source_id,source_class,age,source_measure,source_value,source_unit
eia_nems_hd_truck_scrappage,Cls 4-6,21,annual_scrappage_rate,0.0476615275943668,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 4-6,22,annual_scrappage_rate,0.0487732821379753,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 4-6,23,annual_scrappage_rate,0.0497244516213564,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 4-6,24,annual_scrappage_rate,0.0505354383841376,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 4-6,25,annual_scrappage_rate,0.0512249138440989,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 4-6,26,annual_scrappage_rate,0.0518096717024273,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 4-6,27,annual_scrappage_rate,0.0523046151762105,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 4-6,28,annual_scrappage_rate,0.0527228304562664,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 4-6,29,annual_scrappage_rate,0.0530757114796161,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 4-6,30,annual_scrappage_rate,0.0533731113734493,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 4-6,31,annual_scrappage_rate,0.0536235037866297,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 4-6,32,annual_scrappage_rate,0.0538341431499052,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 4-6,33,annual_scrappage_rate,0.0540112171027211,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 4-6,34,annual_scrappage_rate,0.0541599872667546,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 7-8,1,annual_scrappage_rate,3.3153731306090377e-37,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 7-8,2,annual_scrappage_rate,8.740866382867658e-18,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 7-8,3,annual_scrappage_rate,4.058481969085921e-09,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 7-8,4,annual_scrappage_rate,2.992310468518418e-05,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 7-8,5,annual_scrappage_rate,0.0015921273801368,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 7-8,6,annual_scrappage_rate,0.0093801171759334,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 7-8,7,annual_scrappage_rate,0.0206981087336021,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 7-8,8,annual_scrappage_rate,0.0294659153171884,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 7-8,9,annual_scrappage_rate,0.0344962038310927,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 7-8,10,annual_scrappage_rate,0.0370099378892995,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 7-8,11,annual_scrappage_rate,0.0381900527081533,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 7-8,12,annual_scrappage_rate,0.0387287623741397,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 7-8,13,annual_scrappage_rate,0.0389716123887118,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 7-8,14,annual_scrappage_rate,0.0390804772788397,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 7-8,15,annual_scrappage_rate,0.0391291573200326,annual scrappage-rate fraction
