region,period,commodity,demand,units,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
NLLAB,2030,T_D_pkm_ldv_c,3.345294669300584,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2035,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
NLLAB,2035,T_D_pkm_ldv_c,3.6219598527390344,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2040,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
NLLAB,2040,T_D_pkm_ldv_c,3.874078075461041,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2045,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
NLLAB,2045,T_D_pkm_ldv_c,4.1763831427212885,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2050,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
NS,2025,T_D_pkm_ldv_c,9.487950799671559,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2030,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
NS,2030,T_D_pkm_ldv_c,10.378793967376735,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2035,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
NS,2035,T_D_pkm_ldv_c,11.23714912610316,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2040,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
NS,2040,T_D_pkm_ldv_c,12.01934721258742,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2045,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
NS,2045,T_D_pkm_ldv_c,12.957250243127943,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2050,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
PEI,2025,T_D_pkm_ldv_c,1.361854778712837,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2030,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
