region,tech,vintage,cost,units,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
AB,T_HDV_AJP_SPK_N,2045,1032.1218289023984,$M 2020CAD / bn passenger-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-air-e97ac762:composite:1:ca4132bec8ddc7b3
AB,T_HDV_RF_DSL_N,2025,39.10602039451965,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-7153c4b0:composite:1:67df951b6b1f4bd6
AB,T_HDV_RF_DSL_N,2030,39.10602039451965,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-7153c4b0:composite:1:67df951b6b1f4bd6
AB,T_HDV_RF_DSL_N,2035,39.10602039451965,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-7153c4b0:composite:1:67df951b6b1f4bd6
AB,T_HDV_RF_DSL_N,2040,39.10602039451965,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-7153c4b0:composite:1:67df951b6b1f4bd6
AB,T_HDV_RF_DSL_N,2045,39.10602039451965,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-7153c4b0:composite:1:67df951b6b1f4bd6
AB,T_HDV_RF_H2_N,2025,74.69249895353255,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-2b87d19f:composite:1:515b0963e9e286db
AB,T_HDV_RF_H2_N,2030,74.69249895353255,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-2b87d19f:composite:1:515b0963e9e286db
AB,T_HDV_RF_H2_N,2035,74.69249895353255,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-2b87d19f:composite:1:515b0963e9e286db
AB,T_HDV_RF_H2_N,2040,68.4355356904094,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-2b87d19f:composite:1:515b0963e9e286db
AB,T_HDV_RF_H2_N,2045,62.178572427286255,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-2b87d19f:composite:1:515b0963e9e286db
AB,T_HDV_RF_LNG_N,2025,61.39645201939587,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-2b87d19f:composite:1:515b0963e9e286db
AB,T_HDV_RF_LNG_N,2030,61.39645201939587,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-2b87d19f:composite:1:515b0963e9e286db
