tech,vintage,fixed,invest,var,var_upstream,var_total,lifetime,emission_per_activity,upstream_emission_per_activity,cost_per_emission,emission_activity_cost,emission_upstream_cost,emission,capfac,lcoe
E_PUMP_4H-EXS,2024.0,15.844,0.0,0.277778,0.0,0.277778,100.0,,,,,,0.0,1.0,0.7801879441907662
E_BAT_1H-EXS,2015.0,32.76641202526315,0.0,0.0,,,15.0,,,,,,0.0,1.0,1.0390161093754169
E_BIO_M-NEW,2025.0,187.36736756120476,4763.518770776926,1.6684551865992776,0.0,1.6684551865992776,45.0,,,,,,0.0,1.0,13.770443954530855
E_BIO_M-NEW,2030.0,187.36736756120476,4604.754939806435,1.6684551865992776,0.0,1.6684551865992776,45.0,,,,,,0.0,1.0,13.565116368664997
E_BIO_M-NEW,2035.0,187.36736756120476,4442.090830336428,1.6684551865992774,0.0,1.6684551865992774,45.0,,,,,,0.0,1.0,13.35474459380713
E_BIO_M-NEW,2040.0,187.36736756120476,4289.384347139448,1.6684551865992776,0.0,1.6684551865992776,45.0,,,,,,0.0,1.0,13.15725091184421
E_BIO_M-NEW,2045.0,187.36736756120476,4107.446794526599,1.6684551865992776,0.0,1.6684551865992776,45.0,,,,,,0.0,1.0,12.921952996519385
E_NG_CC-NEW,2025.0,36.06168267657484,1352.2558596054034,0.6487292020536051,6.955269265930212,7.603998467983818,45.0,0.0,125.37213154688992,0.35476500000000005,0.0,27.40731509455841,27.40731509455841,1.0,30.94841097472446
E_NG_CC-NEW,2030.0,34.22997815966946,1282.6510879629986,0.6232888411887578,9.089012299181396,9.712301140370155,45.0,0.0,124.40962089960082,0.38406900000000005,0.0,29.334490605029412,29.334490605029412,1.0,32.70204403906498
E_NG_CC-NEW,2035.0,32.85619977199042,1229.9895831019687,0.6042085705401223,8.66796693231411,9.272175502854232,45.0,0.0,124.40962089960082,0.41430199999999995,0.0,31.563636578375025,31.563636578375025,1.0,34.800440946786026
E_NG_CC-NEW,2040.0,31.596902916617957,1177.213596708632,0.585128299891487,9.22299170163526,9.808120001526747,45.0,0.0,124.40962089960082,0.44738999999999995,0.0,33.979433907183335,33.979433907183335,1.0,37.08897133778852
E_NG_CC-NEW,2045.0,30.337606061245506,1124.4376103152956,0.5660480292428516,8.96863317173568,9.534681200978532,45.0,0.0,124.40962089960082,0.481404,0.0,36.48676137995953,36.48676137995953,1.0,39.4690318727589
E_NG_CCS-NEW,2025.0,64.56758422091497,2477.7238037114585,1.373779486701752,7.77440502887299,9.148184515574743,45.0,-96.65287389623192,140.13745445530347,0.35476500000000005,-26.391647134609507,30.635128584133156,4.243481449523651,1.0,10.869099628497652
E_NG_CCS-NEW,2030.0,57.813173814826335,2220.2548375539445,1.2656579530261511,10.083941217528002,11.349599170554153,45.0,-95.19806664629596,138.02812261124438,0.38406900000000005,-28.028024385869163,32.54559122269931,4.51756683683014,1.0,10.487900638414779
E_NG_CCS-NEW,2035.0,54.72217244254849,2093.180336693633,1.2211373215126682,9.616806110913103,10.83794343242577,45.0,-95.19806664629596,138.02812261124438,0.41430199999999995,-30.1499892914151,35.01875070588439,4.868761414469294,1.0,10.532215464093925
