HOUSEID,PERSONID,TRIPID,SEQ_TRIPID,VEHCASEID,FRSTHM,PARK,HHMEMDRV,TDWKND,TRAVDAY,LOOP_TRIP,DWELTIME,PUBTRANS,TRIPPURP,WHYFROM,WHYTRP1S,TRVLCMIN,STRTTIME,ENDTIME,TRPHHVEH,VEHID,TRPTRANS,NUMONTRP,ONTD_P1,ONTD_P2,ONTD_P3,ONTD_P4,ONTD_P5,ONTD_P6,ONTD_P7,ONTD_P8,ONTD_P9,ONTD_P10,NONHHCNT,HHACCCNT,WHODROVE,DRVR_FLG,PSGR_FLG,WHODROVE_IMP,PARK2_PAMOUNT,PARK2_PAYTYPE,PARK2,WHYTO,WALK,TRPMILES,WTTRDFIN,WTTRDFIN5D,WTTRDFIN2D,TDCASEID,VMT_MILE,GASPRICE,WHYTRP90,NUMADLT,HOMEOWN,RAIL,CENSUS_D,CENSUS_R,HH_HISP,DRVRCNT,CDIVMSAR,HHFAMINC,HH_RACE,HHSIZE,HHVEHCNT,LIF_CYC,MSACAT,MSASIZE,URBAN,URBANSIZE,URBRUR,TDAYDATE,WRKCOUNT,STRATUMID,R_AGE,R_SEX,WORKER,DRIVER,R_RACE,R_HISP,PROXY,EDUC,PRMACT,R_SEX_IMP,VEHTYPE
9000013016,2,2,2,9.00001E+11,1,-1,1,2,4,2,105,2,5,11,40,15,1400,1415,1,1,1,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,2,1,2,2,-1,-1,-1,14,1,4.59850839,1172993.564,1042810.599,0,9.00001E+13,4.59850839,344.9,4,2,3,2,1,1,2,2,13,7,1,2,1,2,3,3,1,2,1,202202,2,1021,41,1,1,1,1,2,2,4,-1,1,1
9000013016,2,3,3,9.00001E+11,1,-1,1,2,4,2,-9,2,4,14,1,30,1600,1630,1,1,1,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,2,1,2,2,-1,-1,-1,1,2,5.423244251,1172993.564,1042810.599,0,9.00001E+13,5.423244251,344.9,6,2,3,2,1,1,2,2,13,7,1,2,1,2,3,3,1,2,1,202202,2,1021,41,1,1,1,1,2,2,4,-1,1,1
9000013039,1,1,1,9.00001E+11,1,2,1,2,5,2,50,2,2,1,40,10,1700,1710,1,1,1,1,1,2,2,2,-1,-1,-1,-1,-1,-1,0,1,1,1,2,1,-1,-1,-1,13,1,0.635177129,4441214.967,3260579.13,0,9.00001E+13,0.635177129,341.9,3,2,3,1,1,1,2,2,11,7,1,4,1,6,1,4,1,4,1,202201,1,1021,38,1,1,1,1,2,1,6,-1,1,1
9000013039,1,2,2,9.00001E+11,1,2,1,2,5,2,-9,2,2,13,1,10,1800,1810,1,1,1,1,1,2,2,2,-1,-1,-1,-1,-1,-1,0,1,1,1,2,1,-1,-1,-1,1,1,0.635177129,4441214.967,3260579.13,0,9.00001E+13,0.635177129,341.9,3,2,3,1,1,1,2,2,11,7,1,4,1,6,1,4,1,4,1,202201,1,1021,38,1,1,1,1,2,1,6,-1,1,1
9000013042,1,1,1,9.00001E+11,1,2,1,2,6,2,60,2,3,1,50,30,1500,1530,1,1,3,3,1,1,1,-1,-1,-1,-1,-1,-1,-1,0,3,1,1,2,1,-1,-1,-1,16,3,10.538844,2998396.566,2964538.415,0,9.00001E+13,10.538844,350.2,10,2,1,1,1,1,2,2,11,11,3,3,2,4,1,5,1,4,1,202202,2,1021,59,1,1,1,3,2,1,8,-1,1,3
9000013042,1,2,2,9.00001E+11,1,2,1,2,6,2,-9,2,3,16,1,30,1630,1700,1,1,3,3,1,1,1,-1,-1,-1,-1,-1,-1,-1,0,3,1,1,2,1,-1,-1,-1,1,1,12.53635799,2998396.566,2964538.415,0,9.00001E+13,12.53635799,350.2,10,2,1,1,1,1,2,2,11,11,3,3,2,4,1,5,1,4,1,202202,2,1021,59,1,1,1,3,2,1,8,-1,1,3
9000013042,2,1,1,9.00001E+11,1,2,1,2,6,2,60,2,3,1,50,30,1500,1530,1,1,3,3,1,1,1,-1,-1,-1,-1,-1,-1,-1,0,3,1,2,1,1,-1,-1,-1,16,3,10.538844,3012480.234,3109287.157,0,9.00001E+13,-1,350.2,10,2,1,1,1,1,2,2,11,11,3,3,2,4,1,5,1,4,1,202202,2,1021,38,2,1,1,3,2,1,8,-1,2,3
9000013042,2,2,2,9.00001E+11,1,2,1,2,6,2,-9,2,3,16,1,30,1630,1700,1,1,3,3,1,1,1,-1,-1,-1,-1,-1,-1,-1,0,3,1,2,1,1,-1,-1,-1,1,1,12.53635799,3012480.234,3109287.157,0,9.00001E+13,-1,350.2,10,2,1,1,1,1,2,2,11,11,3,3,2,4,1,5,1,4,1,202202,2,1021,38,2,1,1,3,2,1,8,-1,2,3
9000013043,1,1,1,-1,1,2,-1,2,3,1,-9,2,3,1,50,30,1630,1700,-1,-1,20,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,16,-1,2,1141083.713,863775.5797,0,9.00001E+13,-1,350.2,10,1,2,1,1,1,2,1,11,6,1,1,1,9,1,5,1,4,1,202202,0,1021,73,1,2,1,1,2,1,7,5,1,-1
9000013044,1,1,1,-1,1,2,-1,2,6,2,5,2,4,1,40,10,1200,1210,2,-1,20,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,-1,-1,-1,-1,-1,-1,-1,14,-1,0.389683033,2263200.143,2015913.198,0,9.00001E+13,-1,350.2,4,2,3,1,1,1,2,2,11,7,1,2,2,2,1,5,1,4,1,202202,2,1021,29,2,1,1,1,2,1,6,-1,2,-1
