region,road_class,tech,vintage,capacity,units
AB,passenger_light_trucks,T_LDV_LTP_GSL_EX,2010,197.85319224983198,k vehicles
AB,passenger_light_trucks,T_LDV_LTP_GSL_EX,2015,410.74306022303654,k vehicles
AB,passenger_light_trucks,T_LDV_LTP_GSL_EX,2020,451.691171694632,k vehicles
AB,passenger_light_trucks,T_LDV_LTP_GSL_EX,2023,269.11084175660733,k vehicles
AB,passenger_light_trucks,T_LDV_LTP_GSL_HEV_EX,2015,0.9516744616874591,k vehicles
AB,passenger_light_trucks,T_LDV_LTP_GSL_HEV_EX,2020,5.562380540179629,k vehicles
AB,passenger_light_trucks,T_LDV_LTP_GSL_HEV_EX,2023,19.809656994041173,k vehicles
AB,passenger_light_trucks,T_LDV_LTP_GSL_PHEV35_EX,2015,0.02193295661593495,k vehicles
AB,passenger_light_trucks,T_LDV_LTP_GSL_PHEV35_EX,2020,1.6215737827064476,k vehicles
AB,passenger_light_trucks,T_LDV_LTP_GSL_PHEV35_EX,2023,6.766274627650329,k vehicles
BCT,cars,T_LDV_C_BEV150_EX,2020,29.161636197159872,k vehicles
BCT,cars,T_LDV_C_BEV150_EX,2023,49.87424809242336,k vehicles
BCT,cars,T_LDV_C_DSL_EX,2000,0.04031844353649645,k vehicles
BCT,cars,T_LDV_C_DSL_EX,2005,0.46397389861272753,k vehicles
BCT,cars,T_LDV_C_DSL_EX,2010,0.9495398047794783,k vehicles
BCT,cars,T_LDV_C_DSL_EX,2015,1.6480822654291563,k vehicles
BCT,cars,T_LDV_C_DSL_EX,2020,1.1932292350227545,k vehicles
BCT,cars,T_LDV_C_GSL_EX,2000,10.079462107579698,k vehicles
BCT,cars,T_LDV_C_GSL_EX,2005,115.9917625723752,k vehicles
BCT,cars,T_LDV_C_GSL_EX,2010,237.38144735795157,k vehicles
BCT,cars,T_LDV_C_GSL_EX,2015,412.0144848729148,k vehicles
BCT,cars,T_LDV_C_GSL_EX,2020,345.20147806636766,k vehicles
BCT,cars,T_LDV_C_GSL_EX,2023,128.69727648558356,k vehicles
BCT,cars,T_LDV_C_GSL_HEV_EX,2020,14.432797679972873,k vehicles
BCT,cars,T_LDV_C_GSL_HEV_EX,2023,21.295165815098187,k vehicles
BCT,cars,T_LDV_C_GSL_PHEV35_EX,2020,8.266428079705813,k vehicles
BCT,cars,T_LDV_C_GSL_PHEV35_EX,2023,5.50466902548693,k vehicles
BCT,freight_light_trucks,T_LDV_LTF_DSL_EX,2000,0.13268589250646928,k vehicles
BCT,freight_light_trucks,T_LDV_LTF_DSL_EX,2005,1.7589420419245905,k vehicles
BCT,freight_light_trucks,T_LDV_LTF_DSL_EX,2010,5.66280933950037,k vehicles
BCT,freight_light_trucks,T_LDV_LTF_DSL_EX,2015,11.869844924514727,k vehicles
BCT,freight_light_trucks,T_LDV_LTF_DSL_EX,2020,14.126476969760954,k vehicles
BCT,freight_light_trucks,T_LDV_LTF_DSL_EX,2023,9.69118228514065,k vehicles
BCT,freight_light_trucks,T_LDV_LTF_GSL_EX,2000,1.7735999976279049,k vehicles
BCT,freight_light_trucks,T_LDV_LTF_GSL_EX,2005,23.511614855610762,k vehicles
BCT,freight_light_trucks,T_LDV_LTF_GSL_EX,2010,75.69424632400501,k vehicles
BCT,freight_light_trucks,T_LDV_LTF_GSL_EX,2015,158.66311430913038,k vehicles
BCT,freight_light_trucks,T_LDV_LTF_GSL_EX,2020,170.02323931572832,k vehicles
BCT,freight_light_trucks,T_LDV_LTF_GSL_EX,2023,103.86486556509792,k vehicles
BCT,freight_light_trucks,T_LDV_LTF_GSL_HEV_EX,2020,3.891279181981806,k vehicles
BCT,freight_light_trucks,T_LDV_LTF_GSL_HEV_EX,2023,10.788948930227255,k vehicles
BCT,freight_light_trucks,T_LDV_LTF_GSL_PHEV35_EX,2020,1.216079287399219,k vehicles
BCT,freight_light_trucks,T_LDV_LTF_GSL_PHEV35_EX,2023,4.688070779843759,k vehicles
BCT,heavy_trucks,T_HDV_T_DSL_EX,2000,0.472349120467773,k vehicles
BCT,heavy_trucks,T_HDV_T_DSL_EX,2005,4.969851492390918,k vehicles
BCT,heavy_trucks,T_HDV_T_DSL_EX,2010,8.819757996702773,k vehicles
BCT,heavy_trucks,T_HDV_T_DSL_EX,2015,14.7426279396552,k vehicles
BCT,heavy_trucks,T_HDV_T_DSL_EX,2020,20.78701771557472,k vehicles
BCT,heavy_trucks,T_HDV_T_DSL_EX,2023,14.11939573520862,k vehicles
BCT,medium_trucks,T_MDV_T_BEV_EX,2023,2.2529822101927834,k vehicles
BCT,medium_trucks,T_MDV_T_DSL_EX,2000,1.911063877921668,k vehicles
BCT,medium_trucks,T_MDV_T_DSL_EX,2005,20.107380863412402,k vehicles
BCT,medium_trucks,T_MDV_T_DSL_EX,2010,35.683608138864784,k vehicles
BCT,medium_trucks,T_MDV_T_DSL_EX,2015,59.64677925770804,k vehicles
BCT,medium_trucks,T_MDV_T_DSL_EX,2020,84.47868673921123,k vehicles
BCT,medium_trucks,T_MDV_T_DSL_EX,2023,55.248276281327264,k vehicles
BCT,medium_trucks,T_MDV_T_GSL_EX,2000,0.6879390269982303,k vehicles
BCT,medium_trucks,T_MDV_T_GSL_EX,2005,7.23819448761814,k vehicles
BCT,medium_trucks,T_MDV_T_GSL_EX,2010,12.845277934682917,k vehicles
BCT,medium_trucks,T_MDV_T_GSL_EX,2015,21.471468201654638,k vehicles
BCT,medium_trucks,T_MDV_T_GSL_EX,2020,29.897559741142064,k vehicles
BCT,medium_trucks,T_MDV_T_GSL_EX,2023,20.18778323926584,k vehicles
BCT,motorcycles,T_LDV_M_GSL_EX,2010,10.648628355058388,k vehicles
BCT,motorcycles,T_LDV_M_GSL_EX,2015,30.902132607623805,k vehicles
BCT,motorcycles,T_LDV_M_GSL_EX,2020,30.098553958275566,k vehicles
BCT,motorcycles,T_LDV_M_GSL_EX,2023,18.19368507904224,k vehicles
BCT,passenger_light_trucks,T_LDV_LTP_BEV300_EX,2020,4.7822100900907865,k vehicles
BCT,passenger_light_trucks,T_LDV_LTP_BEV300_EX,2023,36.675082264979196,k vehicles
BCT,passenger_light_trucks,T_LDV_LTP_DSL_EX,2000,0.3444846131008938,k vehicles
BCT,passenger_light_trucks,T_LDV_LTP_DSL_EX,2005,4.566638226062697,k vehicles
BCT,passenger_light_trucks,T_LDV_LTP_DSL_EX,2010,14.702020294183132,k vehicles
BCT,passenger_light_trucks,T_LDV_LTP_DSL_EX,2015,30.816983321642127,k vehicles
BCT,passenger_light_trucks,T_LDV_LTP_DSL_EX,2020,36.28528720553008,k vehicles
BCT,passenger_light_trucks,T_LDV_LTP_DSL_EX,2023,22.43643403844596,k vehicles
BCT,passenger_light_trucks,T_LDV_LTP_GSL_EX,2000,4.604693818137493,k vehicles
BCT,passenger_light_trucks,T_LDV_LTP_GSL_EX,2005,61.041828893131225,k vehicles
BCT,passenger_light_trucks,T_LDV_LTP_GSL_EX,2010,196.52053934533598,k vehicles
BCT,passenger_light_trucks,T_LDV_LTP_GSL_EX,2015,411.92775293348376,k vehicles
BCT,passenger_light_trucks,T_LDV_LTP_GSL_EX,2020,437.250871551862,k vehicles
BCT,passenger_light_trucks,T_LDV_LTP_GSL_EX,2023,240.47441059900314,k vehicles
BCT,passenger_light_trucks,T_LDV_LTP_GSL_HEV_EX,2020,9.93421133220261,k vehicles
BCT,passenger_light_trucks,T_LDV_LTP_GSL_HEV_EX,2023,24.699794007859666,k vehicles
BCT,passenger_light_trucks,T_LDV_LTP_GSL_PHEV35_EX,2020,3.104480785629266,k vehicles
BCT,passenger_light_trucks,T_LDV_LTP_GSL_PHEV35_EX,2023,10.715276679320267,k vehicles
MB,cars,T_LDV_C_BEV150_EX,2015,0.055022900838558236,k vehicles
MB,cars,T_LDV_C_BEV150_EX,2020,0.5012278516645621,k vehicles
MB,cars,T_LDV_C_BEV150_EX,2023,1.2272396639498255,k vehicles
MB,cars,T_LDV_C_DSL_EX,2000,0.036688656608091244,k vehicles
MB,cars,T_LDV_C_DSL_EX,2005,0.42220327840559574,k vehicles
MB,cars,T_LDV_C_DSL_EX,2010,0.864054680130034,k vehicles
MB,cars,T_LDV_C_DSL_EX,2015,1.5487999487733137,k vehicles
MB,cars,T_LDV_C_DSL_EX,2020,0.16166550745807823,k vehicles
MB,cars,T_LDV_C_GSL_EX,2000,1.831141821340049,k vehicles
MB,cars,T_LDV_C_GSL_EX,2005,21.072291865406196,k vehicles
MB,cars,T_LDV_C_GSL_EX,2010,43.125227440509974,k vehicles
MB,cars,T_LDV_C_GSL_EX,2015,73.32506136858069,k vehicles
MB,cars,T_LDV_C_GSL_EX,2020,71.22782038844277,k vehicles
MB,cars,T_LDV_C_GSL_EX,2023,33.977080504498424,k vehicles
MB,cars,T_LDV_C_GSL_HEV_EX,2015,1.3716554251817887,k vehicles
MB,cars,T_LDV_C_GSL_HEV_EX,2020,1.3639898406516109,k vehicles
MB,cars,T_LDV_C_GSL_HEV_EX,2023,2.4672517054169045,k vehicles
MB,cars,T_LDV_C_GSL_PHEV35_EX,2015,0.05008343432130848,k vehicles
MB,cars,T_LDV_C_GSL_PHEV35_EX,2020,0.25221551103743445,k vehicles
MB,cars,T_LDV_C_GSL_PHEV35_EX,2023,0.2342782067848486,k vehicles
MB,freight_light_trucks,T_LDV_LTF_DSL_EX,2000,0.016016385239966097,k vehicles
MB,freight_light_trucks,T_LDV_LTF_DSL_EX,2005,0.21232018586198442,k vehicles
MB,freight_light_trucks,T_LDV_LTF_DSL_EX,2010,0.6835522165063165,k vehicles
MB,freight_light_trucks,T_LDV_LTF_DSL_EX,2015,1.3615476369554953,k vehicles
MB,freight_light_trucks,T_LDV_LTF_DSL_EX,2020,1.3258882543347759,k vehicles
MB,freight_light_trucks,T_LDV_LTF_DSL_EX,2023,1.1953637798966115,k vehicles
MB,freight_light_trucks,T_LDV_LTF_GSL_EX,2000,0.3652235603048138,k vehicles
MB,freight_light_trucks,T_LDV_LTF_GSL_EX,2005,4.841562752349099,k vehicles
MB,freight_light_trucks,T_LDV_LTF_GSL_EX,2010,15.587123463022563,k vehicles
