region,tech,vintage,capacity,units,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
NB,T_LDV_C_DSL_EX,2005,0.26093546495485914,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2005:composite:1:31c66436aa6803bc
NB,T_LDV_C_GSL_EX,2005,18.494373305572473,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2005:composite:1:31c66436aa6803bc
NLLAB,T_LDV_C_DSL_EX,2005,0.2502086806132133,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2005:composite:1:31c66436aa6803bc
NLLAB,T_LDV_C_GSL_EX,2005,9.76348021395267,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2005:composite:1:31c66436aa6803bc
NS,T_LDV_C_DSL_EX,2005,0.04935422961138291,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2005:composite:1:31c66436aa6803bc
NS,T_LDV_C_GSL_EX,2005,27.36829127033436,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2005:composite:1:31c66436aa6803bc
ON,T_LDV_C_DSL_EX,2005,8.158799630025849,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2005:composite:1:31c66436aa6803bc
ON,T_LDV_C_GSL_EX,2005,295.5998740020417,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2005:composite:1:31c66436aa6803bc
PEI,T_LDV_C_DSL_EX,2005,0.0781480889975967,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2005:composite:1:31c66436aa6803bc
PEI,T_LDV_C_GSL_EX,2005,4.8251901462469595,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2005:composite:1:31c66436aa6803bc
QC,T_LDV_C_DSL_EX,2005,4.615825679770466,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2005:composite:1:31c66436aa6803bc
QC,T_LDV_C_GSL_EX,2005,222.91964329677333,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2005:composite:1:31c66436aa6803bc
SK,T_LDV_C_DSL_EX,2005,0.8088925351200629,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2005:composite:1:31c66436aa6803bc
SK,T_LDV_C_GSL_EX,2005,19.484644084967552,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2005:composite:1:31c66436aa6803bc
AB,T_LDV_C_DSL_EX,2010,4.142625495611172,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2010:composite:1:31035457137e5edd
AB,T_LDV_C_GSL_EX,2010,161.65083465964938,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2010:composite:1:31035457137e5edd
BCT,T_LDV_C_DSL_EX,2010,0.9495398047794783,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2010:composite:1:31035457137e5edd
BCT,T_LDV_C_GSL_EX,2010,237.38144735795157,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2010:composite:1:31035457137e5edd
MB,T_LDV_C_DSL_EX,2010,0.864054680130034,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2010:composite:1:31035457137e5edd
MB,T_LDV_C_GSL_EX,2010,43.125227440509974,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2010:composite:1:31035457137e5edd
NB,T_LDV_C_DSL_EX,2010,0.5340141141432793,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2010:composite:1:31035457137e5edd
NB,T_LDV_C_GSL_EX,2010,37.849421423488565,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2010:composite:1:31035457137e5edd
NLLAB,T_LDV_C_DSL_EX,2010,0.5120613518432179,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2010:composite:1:31035457137e5edd
NLLAB,T_LDV_C_GSL_EX,2010,19.98132464788312,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2010:composite:1:31035457137e5edd
NS,T_LDV_C_DSL_EX,2010,0.10100526277524638,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2010:composite:1:31035457137e5edd
NS,T_LDV_C_GSL_EX,2010,56.01022391061788,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2010:composite:1:31035457137e5edd
ON,T_LDV_C_DSL_EX,2010,16.69728627212287,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2010:composite:1:31035457137e5edd
