"Category","BEV","PHEV","H2","LPG","CNG","LNG"
2008,,,,,,
2009,,,,,,
2010,,,,,,
2011,,,,,,
2012,,,,,,
2013,,,,,,
2014,,,,,,
2015,1651,,,,,
2016,2624,,,,394,
2017,2624,,,,437,
2018,4861,,,,437,
2019,6774,,,,437,
2020,9505,48,,,437,
2021,15213,106,,,437,
2022,20932,106,,,415,
2023,29612,106,,,414,
2024,32634,106,,,413,
