"Category","BEV","PHEV","H2","LPG","CNG","LNG"
2008,26,,,,,
2009,39,,,,,
2010,8,,,,,
2011,47,,,,,
2012,66,,,,,
2013,260,,,,,
2014,359,,,,,
2015,892,,,,,
2016,1051,,,,,
2017,925,,,,,
2018,1728,,,,,
2019,1908,,,,,
2020,2727,11,,,,
2021,5706,58,,,,
2022,6840,0,,,,
2023,8879,0,,,,
2024,5630,0,,,4,
