VEHICLE_CLASS	DESCRIPTOR	VALUE	FIT-ACTIVE	FIT-INACTIVE	UNFIT	WRECKED	OUT-OF-PROV	SOLD	SUSPENDED	TEMPORARY	TOTAL
PASSENGER	YEAR	1983	2035	189900	11856	108342	26627	7262	3	274	346299
PASSENGER	YEAR	1982	1541	172875	11473	100400	23935	6364	5	204	316797
PASSENGER	YEAR	1981	2688	233677	16500	130988	30099	8222	1	339	422514
PASSENGER	YEAR	1980	2967	240659	19537	134810	30505	8373	1	295	437147
PASSENGER	YEAR	1979	3841	256428	22212	134569	28686	8417	1	415	454569
PASSENGER	YEAR	1978	3197	259815	24117	146090	26211	7788	3	313	467534
PASSENGER	YEAR	1977	2541	244822	24532	137276	21203	7351	4	280	438009
PASSENGER	YEAR	1976	2657	243977	27894	141671	18274	7599	2	286	442360
PASSENGER	YEAR	1975	2086	198111	25969	115708	13188	6715	3	210	361990
PASSENGER	YEAR	1974	2687	203594	36326	120541	11542	7415	5	183	382293
PASSENGER	YEAR	1973	2982	197209	42395	111461	8887	7615	2	229	370780
PASSENGER	YEAR	1972	3619	149854	35724	76456	5924	5542	1	198	277318
PASSENGER	YEAR	1971	2986	106554	28220	51753	3694	4061	3	148	197419
PASSENGER	YEAR	1970	4114	88463	25362	40673	3037	3295	0	151	165095
PASSENGER	YEAR	1969	5462	82849	24946	34270	2788	2821	1	192	153329
PASSENGER	YEAR	1968	4374	60578	18592	24055	2201	2009	0	157	111966
PASSENGER	YEAR	1967	4238	38789	12619	13664	1691	1305	0	127	72433
PASSENGER	YEAR	1966	3785	29106	9295	10245	1360	889	1	129	54810
PASSENGER	YEAR	1965	3047	18780	6096	6322	965	593	1	85	35889
PASSENGER	YEAR	1964	2216	11989	4048	3527	630	350	0	82	22842
PASSENGER	YEAR	1963	1404	6848	2429	1838	449	213	0	69	13250
PASSENGER	YEAR	1962	1064	4862	1877	1031	378	119	1	41	9373
PASSENGER	YEAR	1961	736	2923	1161	476	213	71	0	29	5609
PASSENGER	YEAR	1960	721	2431	1162	311	241	61	0	30	4957
PASSENGER	YEAR	1959	757	1984	1113	155	201	53	0	28	4291
PASSENGER	YEAR	1958	619	1690	887	95	182	51	0	29	3553
PASSENGER	YEAR	1957	1285	2346	1364	91	383	61	1	34	5565
PASSENGER	YEAR	1956	1111	1997	1202	77	296	67	0	32	4782
PASSENGER	YEAR	1955	1274	1988	1176	52	287	57	0	26	4860
PASSENGER	YEAR	1954	531	1002	603	41	132	28	0	20	2357
PASSENGER	YEAR	1953	639	1183	738	42	121	33	0	20	2776
PASSENGER	YEAR	1952	637	1021	621	32	82	23	0	26	2442
PASSENGER	YEAR	1951	651	1013	647	29	107	29	0	16	2492
PASSENGER	YEAR	1950	591	883	623	19	102	24	0	18	2260
PASSENGER	YEAR	1949	413	678	477	11	66	26	0	8	1679
PASSENGER	YEAR	1948	438	695	470	14	72	18	0	11	1718
PASSENGER	YEAR	1947	438	737	599	19	70	23	0	16	1902
PASSENGER	YEAR	1946	223	392	300	6	37	19	0	9	986
PASSENGER	YEAR	1945	44	46	16	1	5	2	0	2	116
PASSENGER	YEAR	1944	28	23	19	1	1	1	0	1	74
PASSENGER	YEAR	1943	20	37	15	1	3	0	0	1	77
PASSENGER	YEAR	1942	93	145	121	4	12	5	0	4	384
PASSENGER	YEAR	1941	234	403	292	2	45	9	0	8	993
PASSENGER	YEAR	1940	358	531	441	5	68	15	0	15	1433
PASSENGER	YEAR	1939	260	454	349	5	53	19	0	10	1150
PASSENGER	YEAR	1938	293	465	347	4	43	21	0	4	1177
PASSENGER	YEAR	1937	357	573	488	9	85	26	0	9	1547
PASSENGER	YEAR	1936	249	390	300	2	49	17	0	3	1010
PASSENGER	YEAR	1935	198	329	244	1	28	8	0	5	813
PASSENGER	YEAR	1934	340	533	364	2	65	19	0	6	1329
PASSENGER	YEAR	1933	172	324	201	0	36	11	0	2	746
PASSENGER	YEAR	1932	403	637	396	3	55	18	0	8	1520
PASSENGER	YEAR	1931	612	961	553	1	99	22	0	12	2260
PASSENGER	YEAR	1930	641	1027	620	5	95	32	0	14	2434
PASSENGER	YEAR	1929	458	728	518	1	63	25	0	6	1799
PASSENGER	YEAR	1928	380	625	420	1	48	17	0	9	1500
PASSENGER	YEAR	1927	170	384	308	3	26	10	0	13	914
PASSENGER	YEAR	1926	135	259	202	2	21	4	0	3	626
PASSENGER	YEAR	1925	45	144	92	0	11	6	0	0	298
PASSENGER	YEAR	1924	43	109	79	1	6	5	0	3	246
PASSENGER	YEAR	1923	135	260	131	2	31	5	0	5	569
PASSENGER	YEAR	1922	8	63	25	0	6	1	0	0	103
PASSENGER	YEAR	1921	12	42	24	0	3	3	0	0	84
PASSENGER	YEAR	1920	11	30	20	0	2	0	0	0	63
PASSENGER	YEAR	1919	13	123	42	52	6	4	0	0	240
PASSENGER	YEAR	1918	8	38	14	1	0	1	0	0	62
PASSENGER	YEAR	1917	15	55	27	4	3	2	0	0	106
PASSENGER	YEAR	1916	4	25	10	1	1	2	0	1	44
PASSENGER	YEAR	1915	26	45	21	1	6	3	0	1	103
PASSENGER	YEAR	1914	16	40	21	0	5	1	0	0	83
PASSENGER	YEAR	1913	13	37	13	0	3	2	0	0	68
PASSENGER	YEAR	1912	10	29	9	0	1	4	0	0	53
PASSENGER	YEAR	1911	5	45	10	4	3	4	0	0	71
