COUNTY	VEHICLE_CLASS	FIT-ACTIVE	FIT-INACTIVE	UNFIT	WRECKED	OUT-OF-PROV	SOLD	SUSPENDED	TEMPORARY	TOTAL
DISTRICT OF ALGOMA	PASSENGER	50607	122653	9455	40354	6465	4301	1	1371	235207
DISTRICT OF ALGOMA	MOTORCYCLE	3033	5901	1333	48	379	164	0	50	10908
DISTRICT OF ALGOMA	MOPED	3	186	4	0	4	9	0	0	206
DISTRICT OF ALGOMA	COMMERCIAL	27677	54356	4281	7531	2537	1412	0	894	98688
DISTRICT OF ALGOMA	BUS	379	557	65	46	16	19	0	13	1095
DISTRICT OF ALGOMA	TRAILER	71621	7508	96	79	822	467	0	0	80593
DISTRICT OF ALGOMA	SNOW VEHICLE	14011	19537	0	120	287	694	0	0	34649
DISTRICT OF ALGOMA	OFF ROAD	23853	2374	39	6	193	133	0	0	26598
BRANT	PASSENGER	77606	123240	16584	138553	6391	3311	2	2122	367809
BRANT	MOTORCYCLE	2937	4826	1311	17	239	101	1	95	9527
BRANT	MOPED	2	214	14	0	2	1	0	0	233
BRANT	COMMERCIAL	21149	34582	3999	14775	1883	629	2	724	77743
BRANT	BUS	1826	1041	141	44	92	186	0	3	3333
BRANT	TRAILER	38709	6948	81	18	698	381	0	0	46835
BRANT	SNOW VEHICLE	1939	3029	0	7	33	156	0	0	5164
BRANT	OFF ROAD	5306	1090	24	0	49	36	0	0	6505
BRUCE	PASSENGER	41845	88818	7683	36610	2419	2664	0	1003	181042
BRUCE	MOTORCYCLE	2574	4173	1031	13	150	101	0	55	8097
BRUCE	MOPED	3	276	8	0	0	11	0	0	298
BRUCE	COMMERCIAL	19384	31277	2743	6316	770	734	1	545	61770
BRUCE	BUS	124	314	97	433	6	14	0	11	999
BRUCE	TRAILER	44262	6141	67	51	368	580	0	0	51469
BRUCE	SNOW VEHICLE	4141	7235	2	130	42	461	0	0	12011
BRUCE	OFF ROAD	9205	1551	17	0	31	43	0	0	10847
OTTAWA-CARLETON	PASSENGER	485722	746955	54207	114731	325592	43535	26	11270	1782038
OTTAWA-CARLETON	MOTORCYCLE	12006	21236	4562	510	8213	450	3	341	47321
OTTAWA-CARLETON	MOPED	35	1169	28	6	134	24	0	1	1397
OTTAWA-CARLETON	COMMERCIAL	58637	94954	6773	8263	41415	5705	15	1875	217637
