VEHICLE_CLASS	MAKE	MODEL	MODEL-YEAR	FIT-ACTIVE	FIT-INACTIVE	UNFIT	WRECKED	OUT-OF-PROV	SOLD	SUSPENDED	TEMPORARY	TOTAL
PASSENGER	ACUR	ARL	2012	10	5	1	0	1	0	0	0	17
PASSENGER	ACUR	ARL	2011	5	3	0	0	0	0	0	0	8
PASSENGER	ACUR	ARL	2010	46	12	3	0	0	2	0	0	63
PASSENGER	ACUR	ARL	2009	30	17	5	1	4	0	0	0	57
PASSENGER	ACUR	ARL	2008	64	26	7	4	7	1	0	1	110
PASSENGER	ACUR	ARL	2007	43	19	10	3	7	0	0	0	82
PASSENGER	ACUR	ARL	2006	60	36	10	5	3	0	0	2	116
PASSENGER	ACUR	ARL	2005	169	152	58	38	26	5	0	3	451
PASSENGER	ACUR	ATL	2014	16	4	0	0	1	0	0	0	21
PASSENGER	ACUR	ATL	2013	132	36	5	2	9	0	0	0	184
PASSENGER	ACUR	ATL	2012	726	225	38	15	59	5	1	3	1072
PASSENGER	ACUR	ATL	2011	187	54	13	4	17	0	0	0	275
PASSENGER	ACUR	ATL	2010	485	138	37	7	22	7	0	5	701
PASSENGER	ACUR	ATL	2009	607	225	64	18	70	4	0	4	992
PASSENGER	ACUR	ATL	2008	1066	410	144	67	157	14	0	13	1871
PASSENGER	ACUR	ATL	2007	629	308	112	56	102	4	0	12	1223
PASSENGER	ACUR	ATL	2005	1141	869	271	239	210	32	3	58	2823
PASSENGER	ACUR	ATL	2004	1052	1096	328	359	203	45	1	76	3160
PASSENGER	ACUR	AWT	2014	38	20	0	0	7	1	0	0	66
PASSENGER	ACUR	AWT	2013	58	13	5	1	15	1	0	0	93
PASSENGER	ACUR	AWT	2012	1164	420	66	19	196	19	0	3	1887
PASSENGER	ACUR	AWT	2011	160	55	9	7	28	1	0	4	264
PASSENGER	ACUR	AWT	2010	545	209	64	22	77	4	0	2	923
PASSENGER	ACUR	AWT	2009	569	247	67	12	92	7	0	7	1001
PASSENGER	ACUR	CCS	2011	137	31	10	4	12	0	0	0	194
PASSENGER	ACUR	CCS	2009	587	164	59	28	63	3	0	0	904
PASSENGER	ACUR	CCS	2008	628	221	89	46	98	9	0	11	1102
PASSENGER	ACUR	CCS	2007	270	109	29	35	28	4	0	7	482
PASSENGER	ACUR	CDX	2018	0	1	0	0	0	0	0	0	1
PASSENGER	ACUR	CDX	2017	979	157	11	1	81	3	0	3	1235
PASSENGER	ACUR	CDX	2016	751	150	20	0	57	0	1	2	981
PASSENGER	ACUR	CEP	2005	530	505	146	254	69	23	0	24	1551
PASSENGER	ACUR	CEP	2004	368	461	145	252	77	26	0	26	1355
PASSENGER	ACUR	CEP	2003	365	669	125	429	83	20	0	36	1727
PASSENGER	ACUR	CEP	2002	372	1057	196	671	103	33	0	65	2497
PASSENGER	ACUR	CEP	2001	297	1145	218	744	119	44	0	69	2636
PASSENGER	ACUR	CET	2005	325	306	77	146	42	8	0	13	917
PASSENGER	ACUR	CET	2004	168	202	63	123	21	4	0	9	590
PASSENGER	ACUR	CET	2003	198	348	71	212	44	23	0	11	907
PASSENGER	ACUR	CET	2002	250	559	80	360	83	16	0	27	1375
PASSENGER	ACUR	CET	2001	200	699	141	517	73	32	0	42	1704
PASSENGER	ACUR	CID	2015	78	16	1	0	6	0	0	0	101
PASSENGER	ACUR	CID	2014	127	29	7	4	12	0	0	0	179
PASSENGER	ACUR	CPN	2007	430	139	57	47	44	4	0	2	723
PASSENGER	ACUR	CST	2006	393	230	91	85	64	6	0	10	879
PASSENGER	ACUR	CSX	2006	678	321	118	135	80	14	0	11	1357
PASSENGER	ACUR	CSX	2005	0	1	1	1	1	0	0	0	4
PASSENGER	ACUR	CSX	2004	2	4	1	3	0	0	0	0	10
PASSENGER	ACUR	CSX	2003	25	55	10	25	16	1	0	4	136
PASSENGER	ACUR	CSX	2002	62	250	65	159	56	14	0	27	633
PASSENGER	ACUR	CTP	2011	555	91	44	7	49	4	0	1	751
PASSENGER	ACUR	CTP	2010	676	119	63	21	82	3	0	3	967
PASSENGER	ACUR	CTP	2009	156	32	13	9	11	0	0	4	225
PASSENGER	ACUR	CTP	2008	210	72	29	13	27	3	0	1	355
PASSENGER	ACUR	CTX	2013	215	41	8	1	6	0	0	0	271
PASSENGER	ACUR	CTX	2012	478	99	24	7	45	0	0	2	655
PASSENGER	ACUR	CTX	2011	78	4	1	0	3	1	0	0	87
PASSENGER	ACUR	CTX	2010	195	45	15	4	19	2	0	1	281
PASSENGER	ACUR	C1P	2000	120	767	225	479	82	38	0	39	1750
PASSENGER	ACUR	C1P	1999	63	548	171	418	55	16	1	30	1302
PASSENGER	ACUR	C1P	1998	79	1005	206	694	105	49	0	63	2201
PASSENGER	ACUR	IES	2022	38	0	0	0	0	0	0	0	38
PASSENGER	ACUR	IES	2021	93	3	0	0	0	0	0	0	96
PASSENGER	ACUR	IES	2020	245	34	3	0	3	0	0	0	285
PASSENGER	ACUR	IES	2019	267	66	3	0	7	0	0	0	343
PASSENGER	ACUR	IES	2018	83	9	0	1	3	0	0	0	96
PASSENGER	ACUR	IES	2017	225	38	5	1	16	0	0	1	286
PASSENGER	ACUR	IES	2016	267	69	4	2	17	0	0	1	360
PASSENGER	ACUR	IPT	2021	126	1	0	0	0	0	0	0	127
PASSENGER	ACUR	IPT	2020	371	50	0	0	3	0	0	1	425
PASSENGER	ACUR	IPT	2019	451	81	4	0	9	1	0	0	546
PASSENGER	ACUR	IPT	2018	532	90	5	1	26	1	0	0	655
PASSENGER	ACUR	IPT	2017	1255	216	30	4	86	2	0	1	1594
PASSENGER	ACUR	IPT	2016	962	177	39	6	55	3	0	3	1245
PASSENGER	ACUR	IWP	2021	4	0	0	0	0	0	0	0	4
PASSENGER	ACUR	IWP	2020	8	3	0	0	0	0	0	0	11
PASSENGER	ACUR	IWP	2019	44	7	0	0	0	0	0	0	51
PASSENGER	ACUR	IWP	2018	23	5	0	0	1	0	0	0	29
PASSENGER	ACUR	IWP	2017	63	8	1	0	7	0	0	0	79
PASSENGER	ACUR	IWP	2016	79	21	3	0	9	0	0	0	112
PASSENGER	ACUR	I2P	2015	224	48	7	6	13	1	0	0	299
PASSENGER	ACUR	I2P	2014	443	103	10	8	35	1	0	0	600
PASSENGER	ACUR	I2P	2013	880	179	38	14	88	2	0	2	1203
PASSENGER	ACUR	I2T	2015	165	29	7	1	12	0	0	0	214
PASSENGER	ACUR	I2T	2014	294	46	15	3	15	0	0	2	375
PASSENGER	ACUR	I2T	2013	625	120	31	4	56	2	0	2	840
PASSENGER	ACUR	I20	2015	45	13	5	1	3	0	0	0	67
PASSENGER	ACUR	I20	2014	80	17	5	2	7	0	0	0	111
PASSENGER	ACUR	I20	2013	152	32	12	2	14	1	0	0	213
PASSENGER	ACUR	MDX	2022	2298	34	3	0	1	2	0	0	2338
PASSENGER	ACUR	MDX	2020	1968	258	21	0	17	0	0	2	2266
PASSENGER	ACUR	MDX	2019	2695	365	27	2	57	5	0	1	3152
PASSENGER	ACUR	MDX	2018	1457	200	8	0	62	0	0	2	1729
PASSENGER	ACUR	MDX	2017	2472	367	25	0	230	2	0	0	3096
PASSENGER	ACUR	MDX	2016	2155	416	47	1	158	8	0	3	2788
PASSENGER	ACUR	MDX	2015	1476	275	44	1	89	6	1	1	1893
PASSENGER	ACUR	MDX	2014	2164	529	78	10	132	10	0	3	2926
PASSENGER	ACUR	MDX	2013	1390	341	55	6	70	6	0	3	1871
PASSENGER	ACUR	MDX	2012	1766	465	65	7	129	13	0	1	2446
PASSENGER	ACUR	MDX	2011	1933	518	99	17	157	33	0	3	2760
PASSENGER	ACUR	MDX	2010	1629	562	112	8	122	18	0	2	2453
PASSENGER	ACUR	MDX	2009	2213	674	161	31	198	33	0	4	3314
PASSENGER	ACUR	MDX	2008	2030	1033	274	57	249	37	1	21	3702
PASSENGER	ACUR	MDX	2007	1569	893	266	63	190	41	1	26	3049
PASSENGER	ACUR	MDX	2006	1042	861	225	188	151	26	1	30	2524
PASSENGER	ACUR	MDX	2005	1022	1101	295	235	140	47	2	45	2887
PASSENGER	ACUR	MDX	2004	744	1253	335	291	125	48	1	43	2840
PASSENGER	ACUR	MDX	2003	541	1472	344	373	135	58	2	49	2974
PASSENGER	ACUR	MDX	2002	408	1397	279	369	151	58	2	36	2700
PASSENGER	ACUR	MDX	2001	211	1206	239	315	119	57	1	52	2200
PASSENGER	ACUR	RDX	2022	528	0	0	0	0	0	0	0	528
PASSENGER	ACUR	RDX	2021	4631	159	11	0	14	1	0	1	4817
PASSENGER	ACUR	RDX	2020	4679	608	27	0	57	1	0	1	5373
PASSENGER	ACUR	RDX	2019	3834	502	28	1	113	4	0	1	4483
PASSENGER	ACUR	RDX	2018	2994	412	19	2	163	5	0	1	3596
PASSENGER	ACUR	RDX	2017	4359	626	31	1	321	5	0	3	5346
PASSENGER	ACUR	RDX	2016	2405	348	21	0	152	6	0	0	2932
PASSENGER	ACUR	RDX	2015	2401	443	35	9	181	2	0	0	3071
PASSENGER	ACUR	RDX	2014	2259	488	33	13	179	8	0	2	2982
PASSENGER	ACUR	RDX	2013	2151	488	61	12	186	5	0	2	2905
PASSENGER	ACUR	RDX	2012	518	185	17	7	61	14	0	1	803
PASSENGER	ACUR	RDX	2011	946	263	37	13	78	8	0	2	1347
PASSENGER	ACUR	RDX	2010	894	258	60	15	71	16	0	3	1317
PASSENGER	ACUR	RDX	2009	785	278	50	25	102	16	0	5	1261
PASSENGER	ACUR	RDX	2008	1300	562	134	42	185	20	0	9	2252
PASSENGER	ACUR	RDX	2007	1156	483	139	46	144	21	0	18	2007
PASSENGER	ACUR	RST	2006	109	85	58	11	27	2	0	5	297
PASSENGER	ACUR	RST	2005	83	112	69	14	25	1	0	11	315
PASSENGER	ACUR	RST	2004	52	85	42	10	18	0	0	9	216
PASSENGER	ACUR	RST	2003	129	256	136	48	53	6	0	26	654
PASSENGER	ACUR	RST	2002	205	566	247	130	120	23	0	50	1341
PASSENGER	ACUR	RSX	2006	320	224	87	75	61	5	0	16	788
PASSENGER	ACUR	RSX	2005	321	348	127	138	86	8	0	30	1058
PASSENGER	ACUR	RSX	2004	144	230	61	91	52	8	0	16	602
PASSENGER	ACUR	RSX	2003	369	689	148	312	129	18	0	74	1739
PASSENGER	ACUR	RSX	2002	374	1038	270	511	220	57	0	98	2568
PASSENGER	ACUR	TAA	2014	95	41	5	1	16	0	0	0	158
PASSENGER	ACUR	TAA	2013	195	55	11	0	18	1	0	0	280
PASSENGER	ACUR	TAT	2014	174	65	7	0	31	0	0	2	279
PASSENGER	ACUR	TAT	2013	242	97	7	4	34	2	0	0	386
PASSENGER	ACUR	TLT	2014	75	22	2	1	3	1	0	0	104
PASSENGER	ACUR	TLT	2013	205	59	8	1	8	0	0	1	282
PASSENGER	ACUR	TLX	2020	5	0	0	0	0	0	0	0	5
PASSENGER	ACUR	TLX	2019	37	5	0	0	1	0	0	0	43
PASSENGER	ACUR	TLX	2018	57	9	2	0	2	0	0	0	70
PASSENGER	ACUR	TLX	2017	72	7	0	0	9	0	0	0	88
PASSENGER	ACUR	TLX	2016	74	13	3	0	6	0	0	0	96
PASSENGER	ACUR	TLX	2015	274	54	5	1	22	0	0	0	356
PASSENGER	ACUR	TST	2014	1	0	0	0	0	0	0	0	1
PASSENGER	ACUR	TST	2013	101	21	4	0	5	0	0	0	131
PASSENGER	ACUR	TST	2012	219	52	13	5	15	0	0	1	305
PASSENGER	ACUR	TSX	2014	2	0	0	0	0	0	0	0	2
PASSENGER	ACUR	TSX	2013	1	1	0	1	0	0	0	0	3
PASSENGER	ACUR	TSX	2012	159	31	12	1	16	3	0	0	222
PASSENGER	ACUR	TSX	2011	240	46	13	2	17	1	0	0	319
PASSENGER	ACUR	TSX	2010	805	205	40	18	52	3	0	3	1126
