param,mu,mu_star,Mu_Star_Conf[0.95],sigma
RT_fuel_cost,-534.1324744127204,4717.08346924727,2646.114712999183,nan
LDV_BEV_cap_cost,93.20077392134799,3732.3369284723294,1488.2476370176926,nan
MHDV_H2_cap_cost,-414.7859698432577,4517.708035029968,1784.2131598244343,nan
H2_supply_cap_cost,84.18855398589777,929.2002049306448,777.2184267075058,nan
LDV_BEV_eff,-267.1390088876379,3640.982059013967,1468.7444199644922,nan
MHDV_H2_eff,324.28144065499913,4872.493547134539,1798.7108167870285,nan
