,Unnamed: 0,Unnamed: 1,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,,,,,,,,,,,,,,,,,,,,,,,,
1,,Urban Transit Energy Use (PJ),4.523867,5.651579,7.036771,5.816358,5.277552,6.021222,4.757839,5.879977,5.867349,6.649423,7.085513,6.985692,6.287829,6.917642,7.39209,6.526522,5.324976,5.607637,5.706763,5.748142,3.63253,3.524391
2,,Energy Use by Energy Source (PJ),,,,,,,,,,,,,,,,,,,,,,
3,,Electricity,0.257,0.259,0.404,0.432,0.523,0.542,0.364,0.441,0.32,0.346,0.392,0.509,0.376,0.383,0.424,0.382,0.375,0.414,0.417,0.407,0.39,0.412
4,,Natural Gas,0.060787,0.040985,0.045194,0.05098,0.049655,0.048794,0.042698,0.048186,0.045991,0.037251,0.042534,0.111597,0.181793,0.190651,0.7731,0.577725,0.591775,0.684245,0.631597,0.588294,0.424961,0.341215
5,,Motor Gasoline,0.007285,0.015151,0.018899,0.020336,0.011022,0.007642,0.003571,0.00555,0.008047,0.0067,0.00751,0.008077,0.007198,0.025182,0.030679,0.03455,0.043749,0.073083,0.090715,0.099859,0.071385,0.081418
6,,Diesel Fuel Oil,4.198795,5.237808,6.389329,5.144645,4.367312,4.734881,4.347571,5.385241,5.493311,6.259473,6.64347,6.356695,5.72244,6.317831,6.162936,5.532247,4.314452,4.436308,4.56745,4.652989,2.746183,2.689758
7,,Ethanol,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.000323,0.000398,0.000977,0.001375,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
8,,Biodiesel Fuel,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
9,,Propane,0,0.098634,0.179349,0.168397,0.326564,0.687904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,,,,,,,,,,,,,,,,,,,,,,,,
11,,Shares (%),,,,,,,,,,,,,,,,,,,,,,
