,Unnamed: 0,Unnamed: 1,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,,,,,,,,,,,,,,,,,,,,,,,,
1,,Passenger Light Truck Energy Use (PJ),14.993463,14.744835,16.46732,17.354081,16.927652,16.740263,17.148089,19.309394,21.357353,22.782184,24.088689,20.772784,24.69529,26.452261,25.254982,27.669468,29.107811,30.422341,30.032108,30.18702,26.403821,26.29068
2,,Energy Use by Energy Source (PJ),,,,,,,,,,,,,,,,,,,,,,
3,,Natural Gas,3.5e-05,4.6e-05,5.7e-05,7.7e-05,7.9e-05,0.000116,0.000201,0.000199,0.000219,0.000171,0.000222,0.00026,0.000139,0.000162,0.000159,0.000129,0.00014,0.000123,0.000134,0.000102,7.3e-05,3.5e-05
4,,Motor Gasoline,14.082578,13.94591,15.49425,16.201572,15.891189,15.607182,16.645002,18.82241,20.877863,22.241384,23.631809,18.969862,22.819769,24.514385,23.245669,27.342892,28.792413,30.080991,29.675678,29.858625,26.053884,25.943346
5,,Diesel Fuel Oil,0.860431,0.740258,0.939957,1.129661,1.011012,1.122128,0.486274,0.469669,0.460605,0.521546,0.439408,0.380747,0.324567,0.307246,0.273636,0.304821,0.298259,0.326218,0.339986,0.31029,0.338506,0.33819
6,,Ethanol,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1.405855,1.528554,1.613995,1.714184,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
7,,Biodiesel Fuel,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
8,,Propane,0.050419,0.05862,0.033056,0.02277,0.025372,0.010837,0.016612,0.017117,0.018666,0.019082,0.017251,0.016061,0.022261,0.016474,0.021334,0.021626,0.016999,0.015007,0.01631,0.018003,0.011358,0.009108
9,,,,,,,,,,,,,,,,,,,,,,,,
10,,Shares (%),,,,,,,,,,,,,,,,,,,,,,
11,,Natural Gas,0.000233,0.000313,0.000349,0.000443,0.000467,0.000696,0.001172,0.001028,0.001028,0.000753,0.000922,0.001252,0.000561,0.000612,0.000628,0.000465,0.000482,0.000406,0.000447,0.000337,0.000277,0.000135
12,,Motor Gasoline,93.924782,94.581665,94.0909,93.35886,93.877104,93.231402,97.066219,97.477992,97.754918,97.626214,98.103339,91.320747,92.40535,92.674061,92.043896,98.819725,98.916448,98.877966,98.81317,98.912132,98.674672,98.678871
