,Unnamed: 0,Unnamed: 1,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,,,,,,,,,,,,,,,,,,,,,,,,
1,,Stock (thousands),,,,,,,,,,,,,,,,,,,,,,
2,,School Buses,9.85,8.655,9.752,10.079,10.208,9.979,10.506,10.153,9.928,10.064,10.407,10.261,10.119,10.18,11.129,10.358,10.605,11.199,11.263,11.426,8.669,9.29
3,,Urban Transit,4.912,4.671,5.225,5.11,5.117,5.107,4.908,5.477,5.546,5.712,5.865,5.928,5.997,5.9,5.899,6.354,6.077,6.011,6.709,6.889,4.907,4.858
4,,Inter-City Buses,1.456,1.577,1.747,1.757,1.621,1.704,1.759,1.848,1.771,1.633,1.682,1.643,1.677,1.991,1.925,1.874,2.248,1.304,1.36,1.404,0.844,0.756
5,,,,,,,,,,,,,,,,,,,,,,,,
6,,Shares (%),,,,,,,,,,,,,,,,,,,,,,
7,,School Buses,60.734985,58.075554,58.311409,59.477161,60.238403,59.434189,61.177425,58.090168,57.570309,57.809181,57.964794,57.542622,56.870682,56.333351,58.718937,55.730118,56.022186,60.489361,58.26091,57.944115,60.117889,62.33226
8,,Urban Transit,30.287334,31.342682,31.242525,30.15461,30.195915,30.416914,28.579748,31.336536,32.160046,32.810612,32.666813,33.243607,33.704266,32.648994,31.124363,34.187023,32.102482,32.467319,34.704121,34.935848,34.029125,32.595276
9,,Inter-City Buses,8.977678,10.581762,10.446066,10.368228,9.565679,10.148898,10.242823,10.573293,10.269644,9.380206,9.368386,9.213773,9.425055,11.017653,10.156703,10.082858,11.87533,7.043318,7.034968,7.120037,5.852982,5.072464
10,,,,,,,,,,,,,,,,,,,,,,,,
11,,Average Distance Travelled per Year (km),,,,,,,,,,,,,,,,,,,,,,
12,,School Buses,17079.050941,14279.111444,13337.469098,18213.005648,15717.567115,17176.497277,24138.674312,20416.873439,23054.229397,23609.119884,26215.06701,26429.634369,24714.348142,24180.144024,18716.058089,22292.098369,25228.089634,31028.252355,23858.517187,24152.381737,19995.33403,21234.33165
13,,Urban Transit,40300.354949,41315.048276,39248.004754,47844.579255,47628.70911,50145.462921,65441.488488,51118.909195,56480.264979,54517.036367,58847.100328,64809.484526,60338.653174,66271.327501,61666.092796,59699.240943,53752.231458,69623.984453,54555.761034,56342.593282,46127.914792,45057.721843
14,,Inter-City Buses,50725.623896,37541.393099,38738.365415,42842.02981,41447.711683,43940.68357,43278.029936,48191.344337,50474.94737,44415.744726,41664.341543,45168.174385,37881.538976,41180.654311,31466.881105,32770.047188,27382.826623,49612.433872,42425.934322,40710.248682,28590.7912,29143.814746
