,Unnamed: 0,Unnamed: 1,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,,,,,,,,,,,,,,,,,,,,,,,,
1,,Motorcycle Energy Use1 (PJ),0.77258,0.8523,0.94495,1.044637,1.122148,1.104113,1.138809,1.195911,1.127396,1.476356,1.43185,1.4954,1.517529,1.5088,1.437173,1.468082,1.515318,1.546639,1.579988,1.624293,1.288919,1.604103
2,,,,,,,,,,,,,,,,,,,,,,,,
3,,Activity ,,,,,,,,,,,,,,,,,,,,,,
4,,Passenger-kilometres (millions),516.623274,632.12385,729.533749,806.512126,866.343193,931.739383,961.037103,1033.161781,974.025783,841.39016,816.02951,852.237147,864.838754,859.886419,819.048893,836.665967,918.616845,967.549598,988.399822,1017.861553,881.589482,1438.354962
5,,,,,,,,,,,,,,,,,,,,,,,,
6,,Energy Intensity (MJ/Pkm),1.495441,1.348312,1.29528,1.295253,1.295269,1.185002,1.18498,1.157525,1.15746,1.754663,1.754655,1.754676,1.754695,1.75465,1.754686,1.754681,1.649564,1.598511,1.598532,1.59579,1.462039,1.115234
7,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,
9,,Motorcycle GHG Emissions1 (Mt of CO2e),0.05208,0.057382,0.063548,0.070188,0.075346,0.074062,0.076348,0.080141,0.075521,0.098866,0.095861,0.100037,0.101496,0.100891,0.096056,0.098179,0.101338,0.103432,0.105663,0.108625,0.090191,0.112246
10,,,,,,,,,,,,,,,,,,,,,,,,
11,,GHG Intensity (tonne/TJ),67.410724,67.325758,67.249885,67.188579,67.144029,67.078184,67.041751,67.012488,66.986739,66.966219,66.948973,66.896328,66.882415,66.868478,66.836678,66.875516,66.875519,66.875519,66.875524,66.875523,69.974397,69.974397
12,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,
14,,Motorcycle Explanatory Variables,,,,,,,,,,,,,,,,,,,,,,
15,,Stock (thousands),109.883,117.235,127.308,137.788,152.118,165.329,174.797,180.836,182.682,182.638,179.67,182.484,189.704,193.853,200.849,204.762,213.836,217.005,226.077,226.888,222.772,243.309
16,,Average Distance Travelled per Year (km),4274.121128,4419.461911,4512.189589,4608.804229,4484.392195,4437.394231,4328.93011,4498.797816,4198.20316,4276.989304,4216.578194,4335.815284,4232.51588,4118.103105,3785.974435,3793.490964,3749.393859,3842.157752,3767.502826,3859.303021,3263.569671,3718.793099
17,,Motorcycle On-Road Average Fuel Consumption (L/100 km),4.7,4.7,4.7,4.7,4.7,4.3,4.3,4.2,4.2,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.3,5.3,5.3,5.3,5.3
18,,,,,,,,,,,,,,,,,,,,,,,,
19,1) Motorcycles consume only motor gasoline.,,,,,,,,,,,,,,,,,,,,,,,
