,Unnamed: 0,Unnamed: 1,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,,,,,,,,,,,,,,,,,,,,,,,,
1,,Stock (thousands),,,,,,,,,,,,,,,,,,,,,,
2,,School Buses,2.364,2.223,2.234,2.272,2.288,2.246,2.294,2.184,2.184,2.245,2.186,2.168,2.19,2.225,2.332,2.237,2.27,2.421,2.258,2.157,1.921,2.102
3,,Urban Transit,1.179,1.2,1.197,1.152,1.147,1.15,1.071,1.178,1.22,1.274,1.232,1.252,1.298,1.29,1.236,1.372,1.301,1.3,1.345,1.3,1.088,1.099
4,,Inter-City Buses,0.35,0.405,0.4,0.396,0.363,0.384,0.384,0.397,0.39,0.364,0.353,0.347,0.363,0.435,0.403,0.405,0.481,0.282,0.273,0.265,0.187,0.171
5,,,,,,,,,,,,,,,,,,,,,,,,
6,,Shares (%),,,,,,,,,,,,,,,,,,,,,,
7,,School Buses,60.724377,58.072102,58.313759,59.47644,60.242237,59.417992,61.189651,58.100555,57.564575,57.816116,57.968712,57.552425,56.868343,56.329113,58.725761,55.729942,56.021721,60.479641,58.255936,57.952713,60.106384,62.336891
8,,Urban Transit,30.285126,31.347963,31.245106,30.157066,30.200104,30.423281,28.567617,31.338123,32.156036,32.809685,32.67038,33.235996,33.705528,32.65823,31.125658,34.180367,32.107601,32.475643,34.700726,34.927456,34.042557,32.591934
9,,Inter-City Buses,8.990496,10.579937,10.441138,10.366492,9.557662,10.158731,10.242732,10.56132,10.279388,9.374195,9.360911,9.211575,9.426123,11.012658,10.148578,10.089686,11.870682,7.044717,7.043344,7.119828,5.851064,5.071174
10,,,,,,,,,,,,,,,,,,,,,,,,
11,,Average Distance Travelled per Year (km),,,,,,,,,,,,,,,,,,,,,,
12,,School Buses,22266.74731,17730.558432,22574.998075,29828.138522,24770.756244,27723.859688,33488.889477,29245.59409,31285.073734,39927.553271,36734.323488,34182.910176,33301.405453,33804.92291,28171.522249,27601.990632,27435.472076,25410.755082,25372.455895,24556.154624,17487.953005,17136.081253
13,,Urban Transit,41349.18913,37561.631918,49973.853053,61810.180259,60050.316332,61070.364531,74057.84906,60653.218467,62453.288135,74618.45431,68039.870074,69712.78934,64706.160879,71713.784399,65282.925894,60507.51391,48178.746682,59144.938097,52311.715272,50725.476757,35779.167763,35520.73833
14,,Inter-City Buses,66098.451892,46787.182189,65372.495299,71284.081322,66686.214615,70671.842984,60243.330959,69502.57869,68491.653519,74900.880744,58294.541334,58449.166252,51072.001328,57660.530395,49552.226847,48194.019541,36344.87579,59966.086,57124.276472,53318.205303,39035.094849,38896.654648
