,Unnamed: 0,Unnamed: 1,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,,,,,,,,,,,,,,,,,,,,,,,,
1,,Marine1 Transportation Energy Use (PJ),33.39,41.481,41.658,52.826,53.005,51.258,50.428,55.315,49.029,47.007,48.78,35.379,36.585,32.531,28.335,29.23,25.477,25.121,26.955,32.371,27.42,27.541
2,,Energy Use by Energy Source (PJ),,,,,,,,,,,,,,,,,,,,,,
3,,Diesel Fuel Oil,14.358,17.392,19.317,15.756,16.201,15.305,15.463,13.218,14.293,10.839,11.143,10.597,10.711,10.76,10.537,13.527,14.641,13.909,14.201,17.563,18.593,23.036
4,,Heavy Fuel Oil,19.032,24.089,22.341,37.07,36.804,35.953,34.965,42.097,34.736,36.168,37.637,24.782,25.874,21.771,17.798,15.703,10.836,11.212,12.754,14.808,8.827,4.505
5,,,,,,,,,,,,,,,,,,,,,,,,
6,,Shares (%),,,,,,,,,,,,,,,,,,,,,,
7,,Diesel Fuel Oil,43.000898,41.92763,46.370445,29.826222,30.565041,29.858754,30.66352,23.895869,29.152134,23.058268,22.843378,29.952797,29.277026,33.076143,37.187224,46.277797,57.46752,55.368019,52.684103,54.255352,67.808169,83.642569
8,,Heavy Fuel Oil,56.999102,58.07237,53.629555,70.173778,69.434959,70.141246,69.33648,76.104131,70.847866,76.941732,77.156622,70.047203,70.722974,66.923857,62.812776,53.722203,42.53248,44.631981,47.315897,45.744648,32.191831,16.357431
9,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,
11,,Marine1 Transportation GHG Emissions (Mt of CO2e),2.442656,3.036464,3.041485,3.894342,3.905859,3.778677,3.715751,4.091896,3.615843,3.479005,3.610674,2.607954,2.697914,2.393658,2.079918,2.134223,1.847975,1.824414,1.96071,2.35249,1.975043,1.964659
12,,GHG Emissions by Energy Source (Mt of CO2e),,,,,,,,,,,,,,,,,,,,,,
13,,Diesel Fuel Oil,1.015275,1.229813,1.365933,1.11413,1.145596,1.082239,1.093411,0.934664,1.010679,0.766441,0.787938,0.749329,0.75739,0.760855,0.745086,0.956514,1.035286,0.983525,1.004173,1.241905,1.313027,1.626789
14,,Heavy Fuel Oil,1.427381,1.806651,1.675552,2.780212,2.760263,2.696438,2.622339,3.157232,2.605165,2.712563,2.822737,1.858625,1.940524,1.632803,1.334832,1.177709,0.812689,0.840889,0.956537,1.110585,0.662016,0.33787
15,,,,,,,,,,,,,,,,,,,,,,,,
16,,Shares (%),,,,,,,,,,,,,,,,,,,,,,
17,,Diesel Fuel Oil,41.564391,40.501499,44.910064,28.608929,29.330198,28.640675,29.426385,22.841828,27.951395,22.030478,21.82245,28.732454,28.073181,31.786292,35.822871,44.817895,56.022734,53.909114,51.214768,52.791088,66.480925,82.802593
18,,Heavy Fuel Oil,58.435609,59.498501,55.089936,71.391071,70.669802,71.359325,70.573615,77.158172,72.048605,77.969522,78.17755,71.267546,71.926819,68.213708,64.177129,55.182105,43.977266,46.090886,48.785232,47.208912,33.519075,17.197407
19,,,,,,,,,,,,,,,,,,,,,,,,
20,,GHG Intensity (tonne/TJ),73.155303,73.20132,73.010832,73.720172,73.688495,73.718778,73.684273,73.974439,73.749074,74.010351,74.019565,73.714745,73.743719,73.580831,73.404566,73.014805,72.535041,72.625058,72.740132,72.672764,72.029273,71.335793
21,,,,,,,,,,,,,,,,,,,,,,,,
22,"1) Due to data limitation, all marine is allocated to freight transportation except recreative boating, which is part of off-road.",,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,
24,NOTE: Activity variable for marine transportation is not available by region.,,,,,,,,,,,,,,,,,,,,,,,
