,Unnamed: 0,Unnamed: 1,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,,,,,,,,,,,,,,,,,,,,,,,,
1,,Urban Transit Energy Use (PJ),0.561249,0.460363,0.610196,0.751995,0.720109,0.792421,0.684317,0.746829,0.835866,0.871753,0.818196,0.87956,0.891346,0.816305,0.783674,0.709925,0.725282,0.734609,0.740913,0.776999,0.437037,0.430917
2,,Energy Use by Energy Source (PJ),,,,,,,,,,,,,,,,,,,,,,
3,,Electricity,0,0,0.001,0.003,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,Natural Gas,0.015692,0.015576,0.016188,0.01829,0.017711,0.018726,0.016755,0.01691,0.016744,0.014057,0.016335,0,0,0,0,0,0,0,0,0,0,0
5,,Motor Gasoline,0.00176,0.003309,0.004347,0.004929,0.002821,0.001934,0.00102,0.001282,0.001762,0.001559,0.001992,0.002504,0.002593,0.008757,0.01071,0.012697,0.016405,0.026974,0.037273,0.041679,0.029086,0.037007
6,,Diesel Fuel Oil,0.543797,0.428355,0.568224,0.701946,0.655657,0.707369,0.666542,0.728637,0.817217,0.856006,0.799711,0.876839,0.88858,0.806998,0.772283,0.697227,0.708877,0.707635,0.70364,0.73532,0.40795,0.39391
7,,Ethanol,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.000144,0.00013,0.000158,0.000218,0.000173,0.00055,0.000681,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
8,,Biodiesel Fuel,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
9,,Propane,0,0.013123,0.020437,0.023831,0.04292,0.064392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,,,,,,,,,,,,,,,,,,,,,,,,
11,,Shares (%),,,,,,,,,,,,,,,,,,,,,,
12,,Electricity,0,0,0.163882,0.398939,0.138868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,,Natural Gas,2.795972,3.383441,2.652884,2.432187,2.459554,2.363093,2.448364,2.264247,2.003136,1.612502,1.996485,0,0,0,0,0,0,0,0,0,0,0
14,,Motor Gasoline,0.313591,0.718788,0.71237,0.655398,0.391762,0.244036,0.148999,0.171637,0.210839,0.178889,0.243409,0.284633,0.290928,1.072753,1.366662,1.788554,2.261945,3.671849,5.030694,5.364125,6.655364,8.587965
15,,Diesel Fuel Oil,96.890438,93.047202,93.121619,93.344451,91.04964,89.266826,97.402637,97.564116,97.768845,98.193729,97.740765,99.690567,99.689707,98.859847,98.54642,98.211446,97.738055,96.328151,94.969306,94.635875,93.344636,91.412035
16,,Ethanol,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.01718,0.01488,0.019341,0.024801,0.019365,0.0674,0.086918,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
17,,Biodiesel Fuel,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
18,,Propane,0,2.850569,3.349244,3.169025,5.960177,8.126045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,,,,,,,,,,,,,,,,,,,,,,,,
20,,Activity ,,,,,,,,,,,,,,,,,,,,,,
21,,Passenger-kilometres (millions),287.833581,260.161808,340.992467,421.502415,412.022878,464.778803,475.007782,408.161239,466.974896,518.20525,492.133881,571.707209,595.035034,489.045774,469.084617,424.0872,391.476672,444.190569,427.050789,449.821972,226.838748,209.238934
22,,,,,,,,,,,,,,,,,,,,,,,,
23,,Energy Intensity (MJ/Pkm),1.949908,1.769527,1.78947,1.784083,1.747741,1.704943,1.440643,1.82974,1.789959,1.682253,1.662547,1.538481,1.497972,1.66918,1.670646,1.674007,1.852683,1.653815,1.734954,1.727347,1.92664,2.059451
24,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,
26,,Urban Transit GHG Emissions Excluding Electricity (Mt of CO2e),0.03949,0.032218,0.042714,0.052583,0.0503,0.055284,0.04832,0.052774,0.059121,0.06174,0.057885,0.062615,0.06346,0.058096,0.055769,0.050513,0.051593,0.052219,0.052631,0.055185,0.031073,0.030634
27,,GHG Emissions by Energy Source (Mt of CO2e),,,,,,,,,,,,,,,,,,,,,,
28,,Electricity,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
29,,Natural Gas,0.000783,0.000778,0.000808,0.00091,0.000881,0.00093,0.000832,0.000839,0.000828,0.000695,0.000806,0,0,0,0,0,0,0,0,0,0,0
30,,Motor Gasoline,0.000118,0.000222,0.000292,0.000332,0.00019,0.00013,6.9e-05,8.6e-05,0.000119,0.000105,0.000134,0.000169,0.000175,0.000592,0.000724,0.000859,0.001109,0.001824,0.00252,0.002818,0.002058,0.002618
31,,Diesel Fuel Oil,0.038588,0.03042,0.040371,0.049892,0.046618,0.050307,0.04742,0.051849,0.058164,0.060931,0.056935,0.062432,0.063273,0.057467,0.054999,0.049654,0.050483,0.050395,0.050111,0.052367,0.029015,0.028016
32,,Ethanol,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1e-05,9e-06,1.1e-05,1.5e-05,1.2e-05,3.7e-05,4.6e-05,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
33,,Biodiesel Fuel,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
34,,Propane,0,0.000798,0.001243,0.001449,0.00261,0.003916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,,,,,,,,,,,,,,,,,,,,,,,,
36,,Shares (%),,,,,,,,,,,,,,,,,,,,,,
37,,Electricity,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
38,,Natural Gas,1.983994,2.413766,1.890681,1.730275,1.751139,1.682289,1.722127,1.588933,1.401101,1.125804,1.392115,0,0,0,0,0,0,0,0,0,0,0
39,,Motor Gasoline,0.29892,0.690164,0.684273,0.630866,0.377804,0.235471,0.14217,0.163763,0.201076,0.170437,0.232271,0.270046,0.276086,1.018682,1.298581,1.69973,2.150109,3.492799,4.788655,5.10697,6.622792,8.546801
