,Unnamed: 0,Unnamed: 1,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,,,,,,,,,,,,,,,,,,,,,,,,
1,,Total Energy Use (PJ),77.115,76.674,83.392,89.091,89.767,93.999,100.174,108.71,115.623,124.719,134.259,123.037,133.476,147.346,141.408,144.233,139.495,146.976,148.637,147.301,128.833,133.955
2,,Passenger Transportation,41.387393,39.6598,43.176226,44.895295,42.996616,42.435659,44.152604,48.392843,52.234488,53.882185,55.306404,46.917183,53.481805,56.199295,54.075314,55.012053,54.429733,54.847089,52.949652,51.769635,42.020654,42.038935
3,,Freight Transportation,32.837607,33.8342,37.145774,41.125705,43.640384,48.413341,52.861396,57.027157,60.018512,67.416815,75.432596,72.529817,76.324195,87.266705,83.412686,85.310947,81.155267,88.188911,91.667348,91.501365,82.782346,87.786065
4,,Off-Road1,2.89,3.18,3.07,3.07,3.13,3.15,3.16,3.29,3.37,3.42,3.52,3.59,3.67,3.88,3.92,3.91,3.91,3.94,4.02,4.03,4.03,4.13
5,,Energy Use by Transportation Mode (PJ),,,,,,,,,,,,,,,,,,,,,,
6,,Cars,21.68227,20.512038,21.998994,22.617239,21.553416,20.508135,21.563485,23.183711,24.419519,24.64107,24.650833,19.51571,21.92914,21.665594,18.807331,19.219188,18.82533,18.388974,17.005469,16.175447,12.451513,11.997597
7,,Passenger Light Trucks,14.993463,14.744835,16.46732,17.354081,16.927652,16.740263,17.148089,19.309394,21.357353,22.782184,24.088689,20.772784,24.69529,26.452261,25.254982,27.669468,29.107811,30.422341,30.032108,30.18702,26.403821,26.29068
8,,Freight Light Trucks,8.75502,8.7013,9.595236,10.071983,9.838664,9.671488,9.924361,11.147593,12.28741,13.084368,13.813943,11.89742,14.071795,15.040637,14.369645,15.736348,16.547394,17.31125,17.115767,17.235699,15.068201,15.071021
9,,Medium Trucks,3.839872,6.474064,5.198478,6.258725,8.158582,7.832358,13.494789,14.504843,14.620138,19.102991,21.650806,20.404977,23.153895,26.324371,23.367324,23.934288,22.898486,21.750904,21.664929,20.67229,18.136091,19.540498
10,,Heavy Trucks,15.114662,14.831381,19.253525,22.410685,23.48806,25.759937,24.651518,28.208729,27.190869,30.481529,31.271926,31.190083,32.002756,37.135459,36.551215,35.541455,31.898432,35.032042,36.824687,36.603412,33.785422,36.841335
11,,Motorcycles,0.046922,0.029346,0.034519,0.042259,0.044044,0.038958,0.046672,0.053868,0.065731,0.092962,0.121119,0.124027,0.135592,0.130487,0.111056,0.103838,0.096937,0.092929,0.078691,0.07873,0.065614,0.080542
12,,School Buses,0.631598,0.461004,0.567728,0.760674,0.605276,0.633932,0.686404,0.694611,0.777458,0.865742,0.748736,0.725088,0.674911,0.68049,0.617591,0.592874,0.620844,0.331406,0.443923,0.479021,0.336618,0.350694
13,,Urban Transit,1.063714,0.900486,1.219229,1.458376,1.394005,1.39856,1.346053,1.55312,1.633861,1.931853,1.697444,1.650292,1.558817,1.913228,1.670221,1.721836,1.438816,1.575502,1.512448,1.411303,0.929247,0.996099
14,,Inter-City Buses,0.310477,0.258546,0.34297,0.368978,0.310303,0.341369,0.33063,0.35913,0.37166,0.317302,0.266504,0.241619,0.244804,0.311473,0.306635,0.268705,0.22195,0.149653,0.117977,0.108077,0.078473,0.059535
15,,Passenger Air,2.474558,2.61606,2.432092,2.21196,2.092054,2.60814,2.8822,3.144565,3.41812,3.080634,3.47076,3.617366,4.066075,4.8452,7.116475,5.210268,3.875974,3.5421,3.3839,2.925504,1.56554,1.9741
16,,Freight Air,0.074442,0.07794,0.070908,0.05404,0.049946,0.06286,0.0648,0.078435,0.07488,0.065366,0.08424,0.088634,0.087925,0.0908,0.148525,0.083732,0.075026,0.0799,0.0781,0.053496,0.08646,0.1589
17,,Passenger Rail,0.184389,0.137486,0.113373,0.081728,0.069867,0.166303,0.149071,0.094444,0.190785,0.170438,0.262319,0.270297,0.177176,0.200562,0.191024,0.225875,0.242072,0.344185,0.375136,0.404532,0.189828,0.28969
18,,Freight Rail,5.053611,3.749514,3.027627,2.330272,2.105133,5.086697,4.725929,3.087556,5.845215,4.682562,8.611681,8.948703,7.007824,8.675438,8.975976,10.015125,9.735928,14.014815,15.983864,16.936468,15.705172,16.17231
19,,Marine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002
20,,Off-Road1,2.89,3.18,3.07,3.07,3.13,3.15,3.16,3.29,3.37,3.42,3.52,3.59,3.67,3.88,3.92,3.91,3.91,3.94,4.02,4.03,4.03,4.13
21,,,,,,,,,,,,,,,,,,,,,,,,
22,,Shares (%),,,,,,,,,,,,,,,,,,,,,,
