,Unnamed: 0,Unnamed: 1,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,,,,,,,,,,,,,,,,,,,,,,,,
1,,Passenger Light Truck Energy Use (PJ),14.332063,13.88474,14.882979,15.443833,16.025309,15.421488,16.570897,16.78477,15.987712,16.714127,19.006186,18.622811,23.772312,24.707797,25.407856,24.962953,26.341778,26.654081,29.814411,30.233045,26.18641,27.456262
2,,Energy Use by Energy Source (PJ),,,,,,,,,,,,,,,,,,,,,,
3,,Natural Gas,3.3e-05,5.4e-05,5.3e-05,5.5e-05,5.7e-05,6.2e-05,7e-05,6.4e-05,6.5e-05,5.5e-05,6.4e-05,0,0,0,0,0,0,0,0,0,0,0
4,,Motor Gasoline,14.024828,13.640554,14.621156,15.137195,15.752588,15.136384,16.445519,16.649469,14.64551,15.300046,17.498952,17.036275,22.189982,23.165425,23.811209,24.885857,26.254137,26.560207,29.710376,30.128558,26.076912,27.355175
5,,Diesel Fuel Oil,0.240058,0.190194,0.229488,0.271207,0.241059,0.272034,0.101574,0.107154,0.116972,0.117196,0.099611,0.085004,0.084508,0.062752,0.06317,0.059769,0.074295,0.071524,0.076035,0.075647,0.080402,0.074312
6,,Ethanol,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1.19335,1.272635,1.390435,1.484402,1.477053,1.455471,1.514368,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
7,,Biodiesel Fuel,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
8,,Propane,0.067145,0.053938,0.032282,0.035376,0.031605,0.013007,0.023733,0.028083,0.031816,0.024195,0.017123,0.01713,0.020769,0.024149,0.019109,0.017327,0.013345,0.02235,0.028,0.028839,0.029096,0.026776
9,,,,,,,,,,,,,,,,,,,,,,,,
10,,Shares (%),,,,,,,,,,,,,,,,,,,,,,
11,,Natural Gas,0.00023,0.000387,0.000358,0.000355,0.000357,0.000405,0.000421,0.000379,0.000404,0.000329,0.000336,0,0,0,0,0,0,0,0,0,0,0
12,,Motor Gasoline,97.856307,98.241336,98.240789,98.014494,98.298185,98.151258,99.243389,99.193904,91.60479,91.539605,92.069775,91.480682,93.343812,93.757548,93.715929,99.69116,99.667294,99.647804,99.651058,99.654395,99.581852,99.631824
13,,Diesel Fuel Oil,1.67497,1.369809,1.541951,1.756089,1.504237,1.763995,0.612969,0.638402,0.731637,0.701177,0.524099,0.456451,0.355489,0.253975,0.248626,0.23943,0.282044,0.268343,0.255027,0.250214,0.307038,0.270655
14,,Ethanol,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,7.464168,7.614129,7.3157,7.970882,6.213334,5.890737,5.960236,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
15,,Biodiesel Fuel,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
16,,Propane,0.468493,0.388468,0.216902,0.229063,0.197222,0.084342,0.143221,0.167315,0.199,0.144761,0.090091,0.091986,0.087365,0.09774,0.07521,0.069411,0.050662,0.083853,0.093915,0.09539,0.11111,0.097521
17,,,,,,,,,,,,,,,,,,,,,,,,
18,,Activity ,,,,,,,,,,,,,,,,,,,,,,
19,,Passenger-kilometres (millions),4729.808024,4614.448195,4963.45705,5143.231049,5343.837599,5203.817611,5624.198419,5748.220781,5519.700118,5836.943134,6700.881069,6710.019615,8641.805781,9089.813741,9445.724268,9387.534453,10031.958067,10269.217872,11614.647992,11878.671643,10845.898097,11465.6447
20,,,,,,,,,,,,,,,,,,,,,,,,
21,,Energy Intensity (MJ/Pkm),3.030157,3.008971,2.998511,3.002749,2.998839,2.963495,2.946357,2.919994,2.896482,2.863507,2.836371,2.775374,2.75085,2.718185,2.689879,2.65916,2.625786,2.595532,2.566966,2.545154,2.414407,2.394655
22,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,
24,,Passenger Light Truck GHG Emissions (Mt of CO2e),1.01302,0.982773,1.053801,1.093439,1.127173,1.079697,1.152072,1.160059,1.098788,1.143848,1.295107,1.262317,1.6042,1.661469,1.702288,1.673872,1.76657,1.787385,1.999332,2.027329,1.837122,1.926229
25,, GHG Emissions by Energy Source (Mt of CO2e),,,,,,,,,,,,,,,,,,,,,,
26,,Natural Gas,2e-06,3e-06,3e-06,3e-06,3e-06,3e-06,3e-06,3e-06,3e-06,3e-06,3e-06,0,0,0,0,0,0,0,0,0,0,0
27,,Motor Gasoline,0.991726,0.965856,1.035383,1.071839,1.107962,1.059403,1.143343,1.150665,1.006496,1.04715,1.192529,1.155284,1.498143,1.558712,1.596447,1.668531,1.760429,1.780894,1.992175,2.020148,1.829592,1.919276
28,,Diesel Fuel Oil,0.017208,0.013634,0.016452,0.019445,0.017285,0.0195,0.007282,0.007683,0.008388,0.008405,0.007144,0.006097,0.006062,0.004501,0.004532,0.004288,0.00533,0.005131,0.005455,0.005427,0.00576,0.005324
29,,Ethanol,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.081965,0.086818,0.09439,0.099894,0.098732,0.096786,0.100148,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
30,,Biodiesel Fuel,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
31,,Propane,0.004084,0.00328,0.001963,0.002152,0.001922,0.000791,0.001443,0.001708,0.001935,0.001472,0.001041,0.001042,0.001263,0.001469,0.001162,0.001054,0.000812,0.001359,0.001703,0.001754,0.00177,0.001628
32,,,,,,,,,,,,,,,,,,,,,,,,
33,,Shares (%),,,,,,,,,,,,,,,,,,,,,,
34,,Natural Gas,0.000162,0.000273,0.000252,0.000249,0.000252,0.000287,0.000301,0.000272,0.000291,0.000238,0.000243,0,0,0,0,0,0,0,0,0,0,0
35,,Motor Gasoline,97.898025,98.278616,98.25222,98.024622,98.295729,98.12039,99.242339,99.190159,91.600587,91.546319,92.079529,91.520931,93.388811,93.815323,93.782397,99.680894,99.652356,99.636884,99.642006,99.645804,99.590126,99.639066
36,,Diesel Fuel Oil,1.69869,1.387313,1.561216,1.778359,1.533483,1.806055,0.63207,0.662333,0.763422,0.734813,0.551639,0.482997,0.377862,0.270924,0.266208,0.256149,0.301699,0.287064,0.272817,0.267679,0.313549,0.276392
37,,Ethanol,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,7.459596,7.58998,7.288178,7.913537,6.154587,5.825352,5.883122,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
38,,Biodiesel Fuel,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
39,,Propane,0.403123,0.333798,0.186311,0.19677,0.170535,0.073268,0.12529,0.147236,0.176104,0.12865,0.080411,0.082536,0.07874,0.088401,0.068274,0.062957,0.045945,0.076051,0.085177,0.086518,0.096324,0.084542
40,,,,,,,,,,,,,,,,,,,,,,,,
41,,GHG Intensity (tonne/TJ),70.682064,70.780786,70.80576,70.801012,70.337023,70.012517,69.5238,69.113814,68.727032,68.435974,68.141367,67.78335,67.481857,67.244713,66.998508,67.054256,67.06343,67.058574,67.059249,67.056715,70.155532,70.156262
