,Unnamed: 0,Unnamed: 1,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,,,,,,,,,,,,,,,,,,,,,,,,
1,,Stock (thousands),,,,,,,,,,,,,,,,,,,,,,
2,,School Buses,7.23,7.157,7.334,7.555,7.704,7.887,8.306,8.213,8.499,8.788,8.818,8.741,8.728,8.93,9.59,9.095,8.848,9.549,9.002,8.652,7.273,7.376
3,,Urban Transit,3.606,3.862,3.929,3.83,3.862,4.037,3.88,4.43,4.748,4.987,4.97,5.05,5.173,5.176,5.083,5.579,5.07,5.126,5.362,5.217,4.117,3.857
4,,Inter-City Buses,1.069,1.304,1.314,1.317,1.223,1.347,1.391,1.495,1.516,1.426,1.425,1.4,1.447,1.746,1.659,1.646,1.875,1.112,1.087,1.063,0.708,0.6
5,,,,,,,,,,,,,,,,,,,,,,,,
6,,Shares (%),,,,,,,,,,,,,,,,,,,,,,
7,,School Buses,60.730785,58.078392,58.31279,59.478821,60.239265,59.430336,61.176991,58.091671,57.569599,57.811989,57.963585,57.540649,56.867344,56.333584,58.719082,55.729168,56.024818,60.486477,58.261604,57.942677,60.117374,62.334148
8,,Urban Transit,30.289793,31.339771,31.239563,30.152733,30.197826,30.419714,28.577742,31.333992,32.161488,32.807053,32.66943,33.243366,33.704716,32.652031,31.12295,34.185047,32.102833,32.469753,34.703255,34.938385,34.030418,32.595287
9,,Inter-City Buses,8.979421,10.581839,10.447643,10.368446,9.562906,10.149951,10.245268,10.574339,10.268916,9.380962,9.366988,9.215983,9.427938,11.014383,10.157971,10.085785,11.872349,7.04377,7.035144,7.118939,5.852207,5.070566
10,,,,,,,,,,,,,,,,,,,,,,,,
11,,Average Distance Travelled per Year (km),,,,,,,,,,,,,,,,,,,,,,
12,,School Buses,28740.780037,32389.464066,36766.313475,32349.33164,24131.867345,28051.610967,30296.250965,27163.972308,27211.819749,33068.501409,35558.658302,32534.139198,30401.845933,27790.441375,25907.807639,24745.534947,25798.322739,30805.024226,28048.835821,28077.022743,25221.110173,25968.576193
13,,Urban Transit,57496.308194,73249.796952,87870.510197,74147.327581,67520.343732,74898.52735,72256.42075,61061.306609,57627.69901,65612.449056,70403.419572,73160.074574,65491.260791,64623.339202,70257.279107,56402.321131,45754.85774,53387.933128,49511.237961,51482.033258,36962.08209,35810.611275
14,,Inter-City Buses,85444.599949,86952.646014,106997.617316,77542.776167,64931.235457,71521.579957,54466.010175,64769.654979,59522.05385,62109.029339,56442.490727,55674.011642,46676.793311,47250.049015,44383.360859,38006.000613,27969.455961,42969.207012,43352.990135,43291.143116,30178.387716,29574.332239
