,Unnamed: 0,Unnamed: 1,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,,,,,,,,,,,,,,,,,,,,,,,,
1,,Total Energy Use (PJ),72.347,69.856,68.838,73.278,77.389,77.147,78.614,80.509,79.304,83.648,89.422,89.385,102.725,97.424,97.393,92.226,95.62,100.035,108.025,108.879,92.22,93.703
2,,Passenger Transportation,42.297797,39.647698,40.838989,42.453699,43.47701,41.024005,43.301865,44.738193,43.059725,43.507326,47.61283,45.308156,54.483848,53.274862,50.951508,48.606093,49.645735,50.880777,56.821893,57.843853,46.299502,47.420885
3,,Freight Transportation,27.179203,26.978302,24.709011,27.464301,30.48199,32.642995,31.802135,32.180807,32.574275,36.450674,38.39917,40.586844,44.681152,40.519138,42.751492,39.889907,42.174265,45.264223,47.253107,47.055147,41.910498,42.192115
4,,Off-Road1,2.87,3.23,3.29,3.36,3.43,3.48,3.51,3.59,3.67,3.69,3.41,3.49,3.56,3.63,3.69,3.73,3.8,3.89,3.95,3.98,4.01,4.09
5,,Energy Use by Transportation Mode (PJ),,,,,,,,,,,,,,,,,,,,,,
6,,Cars,18.622136,17.510566,18.300953,18.542239,18.706386,16.226238,17.077483,18.091177,16.710112,16.663672,17.982839,16.214147,20.136691,19.572996,18.714356,17.169991,16.680649,15.566489,15.995798,15.448468,12.394084,12.310776
7,,Passenger Light Trucks,14.332063,13.88474,14.882979,15.443833,16.025309,15.421488,16.570897,16.78477,15.987712,16.714127,19.006186,18.622811,23.772312,24.707797,25.407856,24.962953,26.341778,26.654081,29.814411,30.233045,26.18641,27.456262
8,,Freight Light Trucks,5.006398,4.822737,5.067636,5.284027,5.477415,5.170372,5.59636,5.693831,5.449699,5.656774,6.385603,6.214394,7.93391,8.253454,8.456753,8.294816,8.71676,8.854109,9.916146,10.067438,8.754938,9.209101
9,,Medium Trucks,5.317411,5.819321,4.994979,4.698244,4.300265,4.862689,5.045141,6.016504,5.678268,5.554772,5.781446,5.535735,6.330829,5.92003,6.018573,5.487611,5.703217,5.090461,5.464128,5.353268,4.451941,4.785163
10,,Heavy Trucks,12.616542,13.095572,13.315342,14.755515,16.851158,18.658218,17.294916,17.099314,17.836407,18.551211,18.279269,20.054478,22.526025,19.06171,19.955353,17.206899,19.411107,21.145589,20.663916,20.193674,18.532855,18.559733
11,,Motorcycles,0.021798,0.033112,0.04959,0.05476,0.057671,0.058072,0.070889,0.062779,0.0644,0.089458,0.104321,0.114908,0.154492,0.165231,0.17486,0.177231,0.193008,0.202108,0.22867,0.238461,0.212471,0.243927
12,,School Buses,0.356887,0.238234,0.281321,0.388261,0.311927,0.341002,0.356589,0.341146,0.39628,0.396505,0.364515,0.397726,0.401145,0.309297,0.317988,0.270366,0.336803,0.17713,0.237121,0.289931,0.172921,0.173389
13,,Urban Transit,0.561249,0.460363,0.610196,0.751995,0.720109,0.792421,0.684317,0.746829,0.835866,0.871753,0.818196,0.87956,0.891346,0.816305,0.783674,0.709925,0.725282,0.734609,0.740913,0.776999,0.437037,0.430917
14,,Inter-City Buses,0.173517,0.128353,0.168002,0.184125,0.15476,0.184499,0.169408,0.173649,0.189256,0.14373,0.129626,0.13224,0.14425,0.141179,0.152586,0.120208,0.121396,0.081423,0.070897,0.074717,0.045343,0.032732
15,,Passenger Air,8.085572,7.282008,6.504186,7.00059,7.38013,7.879095,8.257856,8.441379,8.764808,8.393093,8.97102,8.687578,8.789225,7.397625,5.22575,4.99707,5.04223,7.2191,9.47615,10.516176,6.733518,6.6119
16,,Freight Air,0.262428,0.214992,0.195814,0.19341,0.18887,0.212905,0.202144,0.189621,0.171192,0.158907,0.20098,0.201422,0.201775,0.171375,0.12425,0.10593,0.11477,0.1639,0.21885,0.235824,0.427482,0.6401
17,,Passenger Rail,0.144575,0.110321,0.041761,0.087895,0.120717,0.121189,0.114425,0.096462,0.111291,0.234989,0.236128,0.259185,0.194388,0.164431,0.174437,0.198349,0.204589,0.245836,0.257933,0.266057,0.117719,0.160982
18,,Freight Rail,3.962425,3.008679,1.115239,2.506105,3.637283,3.706811,3.627575,3.153538,3.409709,6.456011,7.751872,8.580815,7.688612,7.112569,8.196563,8.794651,8.228411,10.010164,10.990067,11.138943,9.739281,8.987018
19,,Marine,0.014,0.017,0.02,0.027,0.027,0.032,0.036,0.028,0.029,0.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.004,0.011
20,,Off-Road1,2.87,3.23,3.29,3.36,3.43,3.48,3.51,3.59,3.67,3.69,3.41,3.49,3.56,3.63,3.69,3.73,3.8,3.89,3.95,3.98,4.01,4.09
21,,,,,,,,,,,,,,,,,,,,,,,,
22,,Shares (%),,,,,,,,,,,,,,,,,,,,,,
23,,Cars,25.740025,25.066661,26.585539,25.303965,24.171893,21.032883,21.723208,22.471,21.070957,19.921184,20.110083,18.139674,19.602522,20.090528,19.215299,18.6173,17.444728,15.561043,14.807496,14.188657,13.439692,13.138081
24,,Passenger Light Trucks,19.810169,19.876231,21.620296,21.075675,20.707477,19.989744,21.078811,20.848316,20.160033,19.981502,21.254485,20.834381,23.141701,25.361099,26.08797,27.067153,27.548397,26.644756,27.599547,27.767563,28.395586,29.30137
25,,Freight Light Trucks,6.91998,6.903827,7.361684,7.210932,7.077769,6.701975,7.118783,7.072291,6.87191,6.762593,7.140976,6.95239,7.723446,8.471685,8.683122,8.994011,9.116042,8.851012,9.179491,9.246446,9.493535,9.827968
26,,Medium Trucks,7.349871,8.330453,7.256137,6.411534,5.556688,6.303147,6.417611,7.473083,7.160128,6.640651,6.465351,6.193137,6.16289,6.076562,6.179677,5.950178,5.964461,5.08868,5.058207,4.916713,4.827522,5.106735
27,,Heavy Trucks,17.438929,18.746524,19.343011,20.136351,21.774616,24.18528,21.999791,21.239009,22.491182,22.17771,20.441579,22.436066,21.928474,19.565723,20.489515,18.657319,20.300258,21.138191,19.128828,18.546895,20.096351,19.806978
28,,Motorcycles,0.03013,0.047401,0.072039,0.07473,0.07452,0.075274,0.090174,0.077978,0.081207,0.106946,0.116661,0.128554,0.150394,0.1696,0.17954,0.192171,0.201849,0.202038,0.211683,0.219015,0.230396,0.260319
29,,School Buses,0.493299,0.341037,0.408672,0.529847,0.403064,0.442016,0.453595,0.423737,0.499697,0.474016,0.407635,0.444959,0.390503,0.317476,0.3265,0.293156,0.352231,0.177068,0.219505,0.266287,0.187509,0.185041
30,,Urban Transit,0.775774,0.659018,0.886423,1.026222,0.930506,1.027157,0.870477,0.927634,1.054002,1.042168,0.914982,0.984013,0.867701,0.837889,0.804652,0.769766,0.758505,0.734352,0.685872,0.713635,0.473907,0.459876
31,,Inter-City Buses,0.239839,0.183739,0.244054,0.251269,0.199976,0.239153,0.215494,0.215689,0.238646,0.171827,0.14496,0.147945,0.140424,0.144912,0.15667,0.130341,0.126957,0.081394,0.06563,0.068624,0.049169,0.034931
32,,Passenger Air,11.176099,10.424313,9.44854,9.553468,9.536407,10.213093,10.504307,10.485013,11.052164,10.033824,10.032229,9.71928,8.556072,7.593227,5.365632,5.418288,5.273196,7.216574,8.772182,9.65859,7.301581,7.056231
33,,Freight Air,0.362735,0.307765,0.284456,0.26394,0.244053,0.275973,0.257135,0.235528,0.215868,0.189971,0.224755,0.225342,0.196422,0.175906,0.127576,0.114859,0.120027,0.163843,0.202592,0.216593,0.463546,0.683116
34,,Passenger Rail,0.199836,0.157926,0.060666,0.119948,0.155988,0.157089,0.145554,0.119816,0.140335,0.280926,0.264061,0.289965,0.189231,0.168779,0.179106,0.215069,0.213961,0.24575,0.238772,0.24436,0.12765,0.1718
35,,Freight Rail,5.476972,4.306973,1.620092,3.419996,4.7,4.804867,4.614413,3.917,4.299542,7.71807,8.668864,9.599838,7.484655,7.300633,8.415968,9.535978,8.605324,10.006662,10.173633,10.230571,10.560921,9.590961
36,,Marine,0.019351,0.024336,0.029054,0.036846,0.034889,0.041479,0.045793,0.034779,0.036568,0.08727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060618,0.004337,0.011739
37,,Off-Road1,3.966992,4.623798,4.779337,4.585278,4.432154,4.510869,4.464854,4.459129,4.627762,4.411343,3.813379,3.904458,3.465563,3.725981,3.788773,4.044413,3.974064,3.888639,3.656561,3.655434,4.348298,4.364855
38,,,,,,,,,,,,,,,,,,,,,,,,
39,"NOTE: Activity variables for air, marine and rail transportation are not available by region.",,,,,,,,,,,,,,,,,,,,,,,
40,"1) “Off Road” includes vehicles not registered for on-road travel such as ATVs, snowmobiles, golf carts and some military vehicles.",,,,,,,,,,,,,,,,,,,,,,,
