,Unnamed: 0,Unnamed: 1,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,,,,,,,,,,,,,,,,,,,,,,,,
1,,Car Energy Use (PJ),58.510327,60.589538,60.051149,54.870119,52.679503,53.703543,53.609431,56.340695,53.905695,51.537787,48.91682,43.274551,45.160909,46.059765,45.619517,41.790204,41.697218,41.365142,40.601235,41.079186,30.758721,29.649878
2,,Energy Use by Energy Source (PJ),,,,,,,,,,,,,,,,,,,,,,
3,,Natural Gas,0.029907,0.032309,0.033717,0.033021,0.034851,0.039049,0.044683,0.039667,0.041518,0.03453,0.03908,0.179863,0.121865,0.086325,0.240999,0.106944,0.073394,0.052142,0.033746,0.0187,0.011047,0.013548
4,,Motor Gasoline,56.791714,58.8977,58.53238,53.499475,51.502597,52.683559,52.191122,54.791245,52.632736,50.243169,47.626161,40.169347,41.504582,42.981499,42.211852,40.473804,40.580212,40.370514,39.609483,40.164513,29.967666,28.900163
5,,Diesel Fuel Oil,0.263317,0.371828,0.477089,0.439564,0.408911,0.529646,0.635241,0.77421,0.733304,0.853624,0.910864,0.875819,0.852875,0.858467,0.908855,0.780902,0.652075,0.611532,0.636431,0.572496,0.470784,0.435484
6,,Ethanol,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1.608291,2.29542,1.668218,1.892176,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
7,,Biodiesel Fuel,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
8,,Propane,1.425388,1.287701,1.007963,0.898059,0.733144,0.45129,0.738385,0.735574,0.498136,0.406464,0.340715,0.441231,0.386167,0.465256,0.365634,0.428554,0.391538,0.330954,0.321575,0.323477,0.309225,0.300683
9,,,,,,,,,,,,,,,,,,,,,,,,
10,,Shares (%),,,,,,,,,,,,,,,,,,,,,,
11,,Natural Gas,0.051115,0.053324,0.056147,0.060181,0.066156,0.072711,0.083349,0.070406,0.07702,0.066999,0.07989,0.415633,0.269847,0.18742,0.528281,0.255906,0.176015,0.126052,0.083116,0.045522,0.035914,0.045694
12,,Motor Gasoline,97.062719,97.207706,97.470873,97.502021,97.765913,98.100713,97.354366,97.249856,97.638545,97.488022,97.361523,92.824411,91.903778,93.316801,92.530248,96.84998,97.321148,97.595492,97.557335,97.773391,97.428193,97.47144
13,,Diesel Fuel Oil,0.450035,0.613684,0.794472,0.801099,0.776224,0.98624,1.184942,1.374157,1.360347,1.656306,1.862067,2.023866,1.888526,1.863811,1.992251,1.868624,1.563833,1.478375,1.567516,1.39364,1.530569,1.468754
14,,Ethanol,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3.716481,5.082758,3.621854,4.147733,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
15,,Biodiesel Fuel,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
16,,Propane,2.436131,2.125286,1.678508,1.636699,1.391707,0.840336,1.377342,1.305581,0.924088,0.788672,0.696519,1.019609,0.855091,1.010114,0.801487,1.02549,0.939003,0.80008,0.792032,0.787447,1.005324,1.014112
17,,,,,,,,,,,,,,,,,,,,,,,,
18,,Activity ,,,,,,,,,,,,,,,,,,,,,,
19,,Passenger-kilometres (millions),28329.726919,29675.241316,29896.516326,27862.110285,26868.672246,27685.256208,27939.061754,29743.249235,28474.744086,27402.064728,26181.316302,23193.097275,24437.668098,25158.58005,25058.695194,23099.637695,23120.609297,23045.930422,22723.900809,23137.139032,18157.76209,17543.585751
20,,,,,,,,,,,,,,,,,,,,,,,,
21,,Energy Intensity (MJ/Pkm),2.065333,2.041754,2.008634,1.969345,1.960629,1.939789,1.918799,1.894235,1.893105,1.880799,1.868387,1.865837,1.848004,1.830778,1.820506,1.809128,1.803465,1.7949,1.786719,1.775465,1.693971,1.690069
22,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,
24,,Car GHG Emissions (Mt of CO2e),4.097772,4.248574,4.209899,3.843677,3.668877,3.725628,3.696555,3.867069,3.683973,3.51181,3.323562,2.925696,3.044369,3.097213,3.055301,2.801561,2.795717,2.773867,2.723246,2.755232,2.155881,2.078046
25,,GHG Emissions by Energy Source (Mt of CO2e),,,,,,,,,,,,,,,,,,,,,,
26,,Natural Gas,0.001493,0.001613,0.001682,0.001643,0.001733,0.001939,0.002219,0.001967,0.002054,0.001707,0.001928,0.008864,0.005978,0.004222,0.011742,0.005179,0.003573,0.002539,0.001633,0.000905,0.000534,0.000654
27,,Motor Gasoline,3.990715,4.141991,4.112713,3.755902,3.593236,3.658261,3.603871,3.764838,3.599029,3.424156,3.235579,2.719152,2.800319,2.892086,2.830851,2.714303,2.721557,2.707334,2.656403,2.693588,2.102814,2.027908
