id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,sector
38990,on,2020,legislated,ref,ref,high,low,yes,high,0.0,land use & forestry
39067,on,2020,legislated,low,ref,high,ref,no,high,0.0,land use & forestry
39144,on,2020,legislated,low,ref,high,low,yes,high,0.0,land use & forestry
39221,on,2020,legislated,high,ref,high,low,yes,high,0.0,land use & forestry
39298,on,2020,legislated,ref,low,ref,low,no,high,0.0,land use & forestry
39375,on,2020,legislated,low,low,ref,low,no,high,0.0,land use & forestry
39452,on,2020,legislated,high,low,ref,low,no,high,0.0,land use & forestry
39529,on,2020,legislated,ref,low,low,low,no,high,0.0,land use & forestry
39606,on,2020,legislated,low,low,low,low,no,high,0.0,land use & forestry
39683,on,2020,legislated,high,low,low,low,no,high,0.0,land use & forestry
39760,on,2020,legislated,ref,low,high,low,no,high,0.0,land use & forestry
39837,on,2020,legislated,low,low,high,low,no,high,0.0,land use & forestry
39914,on,2020,legislated,high,ref,high,ref,no,high,0.0,land use & forestry
39991,on,2020,legislated,high,low,high,low,no,high,0.0,land use & forestry
40068,on,2020,legislated,ref,low,ref,low,yes,high,0.0,land use & forestry
40145,on,2020,legislated,low,low,ref,low,yes,high,0.0,land use & forestry
40222,on,2020,legislated,high,low,ref,low,yes,high,0.0,land use & forestry
40299,on,2020,legislated,ref,low,low,low,yes,high,0.0,land use & forestry
40376,on,2020,legislated,low,low,low,low,yes,high,0.0,land use & forestry
40453,on,2020,legislated,high,low,low,low,yes,high,0.0,land use & forestry
40530,on,2020,legislated,ref,low,high,low,yes,high,0.0,land use & forestry
40607,on,2020,legislated,low,low,high,low,yes,high,0.0,land use & forestry
40684,on,2020,legislated,high,low,high,low,yes,high,0.0,land use & forestry
40761,on,2020,legislated,ref,ref,ref,ref,yes,high,0.0,land use & forestry
40838,on,2020,legislated,ref,high,ref,low,no,high,0.0,land use & forestry
40915,on,2020,legislated,low,high,ref,low,no,high,0.0,land use & forestry
40992,on,2020,legislated,high,high,ref,low,no,high,0.0,land use & forestry
41069,on,2020,legislated,ref,high,low,low,no,high,0.0,land use & forestry
41146,on,2020,legislated,low,high,low,low,no,high,0.0,land use & forestry
41223,on,2020,legislated,high,high,low,low,no,high,0.0,land use & forestry
41300,on,2020,legislated,ref,high,high,low,no,high,0.0,land use & forestry
41377,on,2020,legislated,low,high,high,low,no,high,0.0,land use & forestry
41454,on,2020,legislated,high,high,high,low,no,high,0.0,land use & forestry
41531,on,2020,legislated,ref,high,ref,low,yes,high,0.0,land use & forestry
99820,on,2020,netzero,ref,ref,ref,ref,no,high,0.0,land use & forestry
99897,on,2020,netzero,low,ref,ref,ref,no,high,0.0,land use & forestry
