weight_bin,midpoint_kg,pct_trucks
"(11500, 11600]",11550.0,0.0025527569775357388
"(11600, 11700]",11650.0,0.0013614703880190605
"(11700, 11800]",11750.0,0.007147719537100068
"(11800, 11900]",11850.0,0.0018720217835262083
"(11900, 12000]",11950.0,0.003914227365554799
"(12000, 12100]",12050.0,0.0022123893805309734
"(12100, 12200]",12150.0,0.0008509189925119128
"(12200, 12300]",12250.0,0.0051055139550714775
"(12300, 12400]",12350.0,0.0018720217835262083
"(12400, 12500]",12450.0,0.0018720217835262083
"(12500, 12600]",12550.0,0.0028931245745405037
"(12600, 12700]",12650.0,0.0018720217835262083
"(12700, 12800]",12750.0,0.007998638529611982
"(12800, 12900]",12850.0,0.0013614703880190605
"(12900, 13000]",12950.0,0.0037440435670524166
"(13000, 13100]",13050.0,0.0018720217835262083
"(13100, 13200]",13150.0,0.003914227365554799
"(13200, 13300]",13250.0,0.0015316541865214432
"(13300, 13400]",13350.0,0.0028931245745405037
"(13400, 13500]",13450.0,0.003233492171545269
"(13500, 13600]",13550.0,0.0013614703880190605
"(13600, 13700]",13650.0,0.015486725663716814
"(13700, 13800]",13750.0,0.0030633083730428863
"(13800, 13900]",13850.0,0.0030633083730428863
"(13900, 14000]",13950.0,0.0034036759700476512
"(14000, 14100]",14050.0,0.005786249149081007
"(14100, 14200]",14150.0,0.0008509189925119128
"(14200, 14300]",14250.0,0.0010211027910142954
"(14300, 14400]",14350.0,0.0025527569775357388
"(14400, 14500]",14450.0,0.0013614703880190605
"(14500, 14600]",14550.0,0.00867937372362151
"(14600, 14700]",14650.0,0.0022123893805309734
"(14700, 14800]",14750.0,0.002382573179033356
"(14800, 14900]",14850.0,0.0013614703880190605
"(14900, 15000]",14950.0,0.007317903335602451
"(15000, 15100]",15050.0,0.0020422055820285907
"(15100, 15200]",15150.0,0.002382573179033356
"(15200, 15300]",15250.0,0.0018720217835262083
"(15300, 15400]",15350.0,0.0020422055820285907
"(15400, 15500]",15450.0,0.006126616746085773
"(15500, 15600]",15550.0,0.0008509189925119128
"(15600, 15700]",15650.0,0.0017018379850238256
"(15700, 15800]",15750.0,0.002382573179033356
"(15800, 15900]",15850.0,0.011402314499659632
"(15900, 16000]",15950.0,0.0025527569775357388
"(16000, 16100]",16050.0,0.002382573179033356
"(16100, 16200]",16150.0,0.0018720217835262083
"(16200, 16300]",16250.0,0.0018720217835262083
"(16300, 16400]",16350.0,0.0040844111640571815
"(16400, 16500]",16450.0,0.002722940776038121
"(16500, 16600]",16550.0,0.0017018379850238256
"(16600, 16700]",16650.0,0.0017018379850238256
"(16700, 16800]",16750.0,0.004935330156569094
"(16800, 16900]",16850.0,0.0025527569775357388
"(16900, 17000]",16950.0,0.0018720217835262083
"(17000, 17100]",17050.0,0.0028931245745405037
