tech,flag,category,sub_category,unlim_cap,annual,description,notes
T_LDV_LTF_BEV400_N,p,freight_light_trucks,bev_400_miles,,,"New light-duty freight truck (battery electric, 400-mile range)","Vehicle class corresponds to “Freight Light Trucks” from NRCan Comprehensive Energy Use Database; a truck up to 8500 lb of gross weight (classes 1 and 2), including pickup trucks and vans."
T_LDV_LTF_FCEV400_N,p,freight_light_trucks,fcev,,,"New light-duty freight truck (fuel cell electric, gaseous H2 @ 700 bar, 400-mile range)","Vehicle class corresponds to “Freight Light Trucks” from NRCan Comprehensive Energy Use Database; a truck up to 8500 lb of gross weight (classes 1 and 2), including pickup trucks and vans."
T_MDV_T_GSL_N,p,medium_trucks,gasoline,,1,New medium-duty freight truck (gasoline),"Vehicle class corresponds to “Medium Trucks” from NRCan Comprehensive Energy Use Database; a truck with a gross weight from 8,501 to 33,000 lb (classes 2b to 7), including pickup trucks and vans."
T_MDV_T_DSL_N,p,medium_trucks,diesel,,1,New medium-duty freight truck (diesel),"Vehicle class corresponds to “Medium Trucks” from NRCan Comprehensive Energy Use Database; a truck with a gross weight from 8,501 to 33,000 lb (classes 2b to 7), including pickup trucks and vans."
T_MDV_T_DSL_HEV_N,p,medium_trucks,hev,,1,"New medium-duty freight truck (diesel, hybrid electric)","Vehicle class corresponds to “Medium Trucks” from NRCan Comprehensive Energy Use Database; a truck with a gross weight from 8,501 to 33,000 lb (classes 2b to 7), including pickup trucks and vans."
T_MDV_T_DSL_PHEV_N,p,medium_trucks,phev,,,"New medium-duty freight truck (diesel, plug-in hybrid)","Vehicle class corresponds to “Medium Trucks” from NRCan Comprehensive Energy Use Database; a truck with a gross weight from 8,501 to 33,000 lb (classes 2b to 7), including pickup trucks and vans."
T_MDV_T_BEV_N,p,medium_trucks,bev,,,New medium-duty freight truck (battery electric),"Vehicle class corresponds to “Medium Trucks” from NRCan Comprehensive Energy Use Database; a truck with a gross weight from 8,501 to 33,000 lb (classes 2b to 7), including pickup trucks and vans."
T_MDV_T_FCEV_N,p,medium_trucks,fcev,,,"New medium-duty freight truck (fuel cell electric, gaseous H2 @ 700 bar)","Vehicle class corresponds to “Medium Trucks” from NRCan Comprehensive Energy Use Database; a truck with a gross weight from 8,501 to 33,000 lb (classes 2b to 7), including pickup trucks and vans."
T_MDV_T_FCHEV_N,p,medium_trucks,fchev,,,"New medium-duty freight truck (fuel cell hybrid, w/battery to assist during prolonged high-power use)","Vehicle class corresponds to “Medium Trucks” from NRCan Comprehensive Energy Use Database; a truck with a gross weight from 8,501 to 33,000 lb (classes 2b to 7), including pickup trucks and vans."
T_HDV_T_DSL_N,p,heavy_trucks,diesel,,1,New heavy-duty freight truck (diesel),"Vehicle class corresponds to “Heavy Trucks” from NRCan Comprehensive Energy Use Database; a truck with a gross weight of more than 33,000 lb (class 8). "
T_HDV_T_DSL_HEV_N,p,heavy_trucks,hev,,1,"New heavy-duty freight truck (diesel, hybrid electric)","Vehicle class corresponds to “Heavy Trucks” from NRCan Comprehensive Energy Use Database; a truck with a gross weight of more than 33,000 lb (class 8). "
T_HDV_T_DSL_PHEV_N,p,heavy_trucks,phev,,,"New heavy-duty freight truck (diesel, plug-in hybrid)","Vehicle class corresponds to “Heavy Trucks” from NRCan Comprehensive Energy Use Database; a truck with a gross weight of more than 33,000 lb (class 8). "
T_HDV_T_BEV_N,p,heavy_trucks,bev,,,New heavy-duty freight truck (battery electric),"Vehicle class corresponds to “Heavy Trucks” from NRCan Comprehensive Energy Use Database; a truck with a gross weight of more than 33,000 lb (class 8). "
T_HDV_T_FCEV_N,p,heavy_trucks,fcev,,,"New heavy-duty freight truck (fuel cell electric, gaseous H2 @ 700 bar)","Vehicle class corresponds to “Heavy Trucks” from NRCan Comprehensive Energy Use Database; a truck with a gross weight of more than 33,000 lb (class 8). "
