tech,flag,category,sub_category,unlim_cap,annual,description,notes
T_HDV_RICP_DSL_EX,p,passenger_rail,diesel,,1,Existing inter-city passenger rail (diesel),Vehicle class corresponds to “Passenger Rail Transportation” from NRCan Comprehensive Energy Use Database; including intercity rail and urban rail transit.
T_HDV_RF_DSL_EX,p,freight_rail,diesel,,1,Existing freight rail (diesel),Vehicle class corresponds to “Freight Rail Transportation” from NRCan Comprehensive Energy Use Database.
T_HDV_WTF_MDO_EX,p,freight_marine,marine diesel oil,,1,Existing marine freight ship (marine diesel oil) ,Vehicle class corresponds to “Marine Transportation” from NRCan Comprehensive Energy Use Database; excluding passenger transportation and recreative boating.
T_HDV_WTF_HFO_EX,p,freight_marine,heavy fuel oil,,1,Existing marine freight ship (heavy fuel oil) ,Vehicle class corresponds to “Marine Transportation” from NRCan Comprehensive Energy Use Database; excluding passenger transportation and recreative boating.
T_LDV_C_GSL_N,p,cars,gasoline,,1,New light-duty car (gasoline),Vehicle class corresponds to “Cars” from NRCan Comprehensive Energy Use Database.
T_LDV_C_DSL_N,p,cars,diesel,,1,New light-duty car (diesel),Vehicle class corresponds to “Cars” from NRCan Comprehensive Energy Use Database.
T_LDV_C_CNG_N,p,cars,cng,,1,New light-duty car (compressed natural gas),Vehicle class corresponds to “Cars” from NRCan Comprehensive Energy Use Database.
T_LDV_C_GSL_HEV_N,p,cars,hev,,1,"New light-duty car (gasoline, hybrid electric)",Vehicle class corresponds to “Cars” from NRCan Comprehensive Energy Use Database.
T_LDV_C_GSL_PHEV35_N,p,cars,phev_35_miles,,,"New light-duty car (gasoline, parallel plug-in hybrid, 35-mile CD mode)",Vehicle class corresponds to “Cars” from NRCan Comprehensive Energy Use Database.
T_LDV_C_GSL_PHEV50_N,p,cars,phev_50_miles,,,"New light-duty car (gasoline, parallel plug-in hybrid, 50-mile CD mode)",Vehicle class corresponds to “Cars” from NRCan Comprehensive Energy Use Database.
T_LDV_C_BEV150_N,p,cars,bev_150_miles,,,"New light-duty car (battery electric, 150-mile range)",Vehicle class corresponds to “Cars” from NRCan Comprehensive Energy Use Database.
T_LDV_C_BEV200_N,p,cars,bev_200_miles,,,"New light-duty car (battery electric, 200-mile range)",Vehicle class corresponds to “Cars” from NRCan Comprehensive Energy Use Database.
T_LDV_C_BEV300_N,p,cars,bev_300_miles,,,"New light-duty car (battery electric, 300-mile range)",Vehicle class corresponds to “Cars” from NRCan Comprehensive Energy Use Database.
