region,nrcan_ceud_class,age,weighted_vmt_km,normalized_utilization,weight_source
AB,Car,0,25623.975168000004,1.0,ontario_mto
AB,Car,1,24750.101376000002,0.9658962441904283,ontario_mto
AB,Car,2,23921.289216000005,0.9335510614244442,ontario_mto
AB,Car,3,23139.148032000005,0.9030272578821756,ontario_mto
AB,Car,4,22397.240448000004,0.8740736088431101,ontario_mto
AB,Car,5,21695.566464000003,0.8466901143072478,ontario_mto
AB,Car,6,21030.907392,0.8207511619143323,ontario_mto
AB,Car,7,20401.653888,0.7961939454842355,ontario_mto
AB,Car,8,19802.977920000005,0.7728300464765734,ontario_mto
AB,Car,9,19234.879488000002,0.7506594648913453,ontario_mto
AB,Car,10,18692.530560000003,0.7294937821881673,ontario_mto
AB,Car,11,18175.931136000003,0.7093329983670393,ontario_mto
AB,Car,12,17680.253184,0.6899886948875769,ontario_mto
AB,Car,13,17203.88736,0.671398065569652,ontario_mto
AB,Car,14,16745.22432,0.6534983042331365,ontario_mto
AB,Car,15,16301.045376000002,0.6361637985177742,ontario_mto
AB,Car,16,15868.131840000002,0.6192689360633086,ontario_mto
AB,Car,17,15444.874368000003,0.6027509106896118,ontario_mto
AB,Car,18,15028.054272000001,0.5864841100364275,ontario_mto
AB,Car,19,14614.452864000003,0.5703429217434995,ontario_mto
AB,Car,20,14204.070144000001,0.5543273458108278,ontario_mto
AB,Car,21,13792.078080000001,0.5382489636980279,ontario_mto
AB,Car,22,13378.476672,0.5221077754050998,ontario_mto
AB,Car,23,12956.828544,0.5056525562115312,ontario_mto
AB,Car,24,12528.743040000001,0.48894611229745005,ontario_mto
AB,Car,25,12087.782784,0.4717372189423439,ontario_mto
AB,Heavy Trucks,0,168009.18751731043,0.9390110673164137,statcan_tonne_km
AB,Heavy Trucks,1,178921.41356487043,1.0,statcan_tonne_km
AB,Heavy Trucks,2,169936.90652132744,0.9497851773885884,statcan_tonne_km
AB,Heavy Trucks,3,157686.0391376061,0.8813145167804907,statcan_tonne_km
AB,Heavy Trucks,4,145010.00526195116,0.8104675811169789,statcan_tonne_km
AB,Heavy Trucks,5,133734.8226244297,0.7474500673780017,statcan_tonne_km
AB,Heavy Trucks,6,124109.6061425689,0.6936542902818686,statcan_tonne_km
AB,Heavy Trucks,7,114463.47761261385,0.6397416347882449,statcan_tonne_km
AB,Heavy Trucks,8,105568.25105155699,0.5900258048949617,statcan_tonne_km
AB,Heavy Trucks,9,97365.1004078423,0.5441780190974248,statcan_tonne_km
AB,Heavy Trucks,10,89801.0547508027,0.5019022204306701,statcan_tonne_km
AB,Heavy Trucks,11,82825.19732754916,0.4629138328237036,statcan_tonne_km
AB,Heavy Trucks,12,76391.57683852567,0.4269560323523201,statcan_tonne_km
AB,Heavy Trucks,13,70458.48776106512,0.3937957249343965,statcan_tonne_km
AB,Heavy Trucks,14,64986.8610053895,0.36321455163234345,statcan_tonne_km
AB,Heavy Trucks,15,59941.42842483177,0.3350153971542326,statcan_tonne_km
AB,Heavy Trucks,16,55286.92187272487,0.3090011462081359,statcan_tonne_km
AB,Heavy Trucks,17,50994.95541217978,0.2850131484887406,statcan_tonne_km
AB,Heavy Trucks,18,47036.69827252945,0.2628902674943133,statcan_tonne_km
AB,Heavy Trucks,19,43386.53837110685,0.24248935611821815,statcan_tonne_km
AB,Heavy Trucks,20,40019.308459022934,0.22366975345023965,statcan_tonne_km
AB,Heavy Trucks,21,36914.80674072165,0.20631855072695185,statcan_tonne_km
AB,Heavy Trucks,22,34050.502400203,0.19030982218267306,statcan_tonne_km
AB,Heavy Trucks,23,31409.412329910916,0.17554864844907456,statcan_tonne_km
AB,Heavy Trucks,24,28972.806656956378,0.16193034740613588,statcan_tonne_km
AB,Heavy Trucks,25,26725.17419645037,0.149368226328934,statcan_tonne_km
AB,Light Truck,0,27179.094397315643,1.0,ontario_mto
AB,Light Truck,1,26276.927893908207,0.9668066017866829,ontario_mto
AB,Light Truck,2,25409.555457101604,0.9348933811279301,ontario_mto
AB,Light Truck,3,24573.372683181056,0.9041277212535844,ontario_mto
AB,Light Truck,4,23771.27902557273,0.8746163017087322,ontario_mto
AB,Light Truck,5,22998.060736561853,0.8461672931543027,ontario_mto
AB,Light Truck,6,22255.39364128936,0.8188423541988001,ontario_mto
AB,Light Truck,7,21542.120592610943,0.7925989099452321,ontario_mto
AB,Light Truck,8,20855.475099382307,0.7673351729276936,ontario_mto
AB,Light Truck,9,20195.90935845914,0.7430677808181055,ontario_mto
AB,Light Truck,10,19561.042594411912,0.7197091377828935,ontario_mto
AB,Light Truck,11,18950.94128838155,0.6972616898616478,ontario_mto
AB,Light Truck,12,18363.22466493852,0.6756378412207941,ontario_mto
AB,Light Truck,13,17798.34492093852,0.6548542295322535,ontario_mto
AB,Light Truck,14,17253.14984952248,0.6347948756977899,ontario_mto
AB,Light Truck,15,16727.639450690396,0.6154597797174033,ontario_mto
AB,Light Truck,16,16222.3324024389,0.5968680253026056,ontario_mto
AB,Light Truck,17,15732.400672767986,0.5788419747466569,ontario_mto
AB,Light Truck,18,15259.520086818588,0.5614432866580611,ontario_mto
AB,Light Truck,19,14802.533497446402,0.544629386139826,ontario_mto
AB,Light Truck,20,14359.06012922189,0.528312677358377,ontario_mto
AB,Light Truck,21,13928.328550715521,0.5124647770490528,ontario_mto
AB,Light Truck,22,13509.633811638689,0.4970597479867826,ontario_mto
AB,Light Truck,23,13102.204480561853,0.48206920690690486,ontario_mto
AB,Light Truck,24,12704.045497770252,0.46741974960817584,ontario_mto
AB,Light Truck,25,12313.614000404812,0.4530546095612727,ontario_mto
AB,Medium Trucks,0,36887.35918661296,0.9028314917484078,national_wards
AB,Medium Trucks,1,40491.35814375565,0.9910406730637702,national_wards
AB,Medium Trucks,2,40857.41306517514,1.0,national_wards
AB,Medium Trucks,3,39218.505337555405,0.959887139085253,national_wards
AB,Medium Trucks,4,36436.19561489739,0.8917890997350937,national_wards
AB,Medium Trucks,5,33172.869887926696,0.8119180192590711,national_wards
AB,Medium Trucks,6,30202.790231841936,0.7392242427013892,national_wards
AB,Medium Trucks,7,27501.851841930322,0.673117796226104,national_wards
AB,Medium Trucks,8,25043.32711951589,0.6129445121639773,national_wards
AB,Medium Trucks,9,22805.910907088666,0.5581829390595292,national_wards
AB,Medium Trucks,10,20770.475175034073,0.5083649114519639,national_wards
AB,Medium Trucks,11,18946.4882535932,0.46372217015722567,national_wards
AB,Medium Trucks,12,17283.694534902737,0.42302469094976825,national_wards
AB,Medium Trucks,13,15767.0518163291,0.3859043104657099,national_wards
