"Category","BEV","PHEV","H2","LPG","CNG","LNG"
2008,,,,,,
2009,,,,,,
2010,,,,,,
2011,,,,,,
2012,,,,,9,
2013,,,,,4,
2014,,,,,5,
2015,,,,,4,
2016,,,,,4,
2017,,,,,,
2018,,,,,0,
2019,,,,,0,
2020,23,1,5,,0,
2021,75,13,5,,0,
2022,234,218,6,,0,
2023,744,348,41,,0,
2024,1223,400,41,,427,
