"Category","BEV","PHEV","H2","LPG","CNG","LNG"
2008,1243,,,2500,,
2009,1388,,,2600,,
2010,1782,,,2650,,
2011,3982,1,,2750,,
2012,6543,341,,2750,353,
2013,15462,453,4,380,124,
2014,42356,2150,4,428,130,
2015,73312,10164,21,420,158,
2016,101166,30828,44,400,116,
2017,138477,59368,99,,169,
2018,200192,86518,151,,222,
2019,267688,105535,180,,222,
2020,346817,134420,195,,226,
2021,470301,172585,231,,226,
2022,620333,187923,257,,215,
2023,689196,190464,257,,213,
2024,754303,192453,257,,211,
